X,Y,id,Des,AreaSub
-8401237.0707593,726283.303540007,3,VENTORRILLO,14996659.63135
-8401118.80462296,726242.608946531,3,VENTORRILLO,14996659.63135
-8400024.72494536,726157.0103031,3,VENTORRILLO,14996659.63135
-8399766.22191588,726131.430317915,3,VENTORRILLO,14996659.63135
-8399758.81727561,726305.605958264,3,VENTORRILLO,14996659.63135
-8399755.86951077,726399.371623624,3,VENTORRILLO,14996659.63135
-8399752.96527898,726472.400389601,3,VENTORRILLO,14996659.63135
-8399756.14178415,726566.898068273,3,VENTORRILLO,14996659.63135
-8399745.08443372,726804.531801365,3,VENTORRILLO,14996659.63135
-8399538.54653997,727077.510181591,3,VENTORRILLO,14996659.63135
-8399433.46924971,727076.299046096,3,VENTORRILLO,14996659.63135
-8399349.58279614,727070.935751683,3,VENTORRILLO,14996659.63135
-8399303.13174652,727076.157771522,3,VENTORRILLO,14996659.63135
-8399266.11242084,727248.024112909,3,VENTORRILLO,14996659.63135
-8399175.60546046,727154.930433748,3,VENTORRILLO,14996659.63135
-8399147.84678522,727107.449869257,3,VENTORRILLO,14996659.63135
-8399066.17199392,727061.264472336,3,VENTORRILLO,14996659.63135
-8398838.65255154,727034.337881505,3,VENTORRILLO,14996659.63135
-8398079.89185555,726319.78785649,3,VENTORRILLO,14996659.63135
-8397555.73877778,725613.161630242,3,VENTORRILLO,14996659.63135
-8396980.65864536,725175.649194078,3,VENTORRILLO,14996659.63135
-8397255.03755905,724575.68722611,3,VENTORRILLO,14996659.63135
-8396874.20722599,722354.713621507,3,VENTORRILLO,14996659.63135
-8398224.83421488,722275.864577562,3,VENTORRILLO,14996659.63135
-8400057.52572371,722662.507837402,3,VENTORRILLO,14996659.63135
-8400753.26604374,723098.624849517,3,VENTORRILLO,14996659.63135
-8401237.0707593,726283.303540007,3,VENTORRILLO,14996659.63135
-8402673.33552385,727563.15721723,1,CENTRO,2873798.04639
-8402611.91557511,727775.759789458,1,CENTRO,2873798.04639
-8400626.12270623,727520.002558031,1,CENTRO,2873798.04639
-8400613.03168441,727853.350061149,1,CENTRO,2873798.04639
-8400552.89413265,728347.520747347,1,CENTRO,2873798.04639
-8400466.86772377,728314.257386239,1,CENTRO,2873798.04639
-8400437.30697913,728279.895127485,1,CENTRO,2873798.04639
-8400431.54625528,728240.334529964,1,CENTRO,2873798.04639
-8400184.33299059,728122.899361433,1,CENTRO,2873798.04639
-8399697.4229411,727750.770830889,1,CENTRO,2873798.04639
-8399514.86400072,727378.279163356,1,CENTRO,2873798.04639
-8399264.39988556,727305.686986373,1,CENTRO,2873798.04639
-8399321.92545045,727082.480285803,1,CENTRO,2873798.04639
-8399545.51863041,727098.627922064,1,CENTRO,2873798.04639
-8399763.41071941,726810.300421999,1,CENTRO,2873798.04639
-8399782.43656041,726161.413534039,1,CENTRO,2873798.04639
-8401136.07785411,726363.485009313,1,CENTRO,2873798.04639
-8401771.42884568,726634.713577906,1,CENTRO,2873798.04639
-8401763.32889311,726771.899426453,1,CENTRO,2873798.04639
-8401749.15286348,726975.899573572,1,CENTRO,2873798.04639
-8400823.68496264,726767.304237123,1,CENTRO,2873798.04639
-8400796.52887208,727030.017650419,1,CENTRO,2873798.04639
-8400604.11689209,726995.919352374,1,CENTRO,2873798.04639
-8400588.6489076,727213.341956992,1,CENTRO,2873798.04639
-8402673.33552385,727563.15721723,1,CENTRO,2873798.04639
-8402038.00320966,728605.279416516,2,DOSQUEBRADAS,9588288.93164
-8401126.51434594,728452.659400715,2,DOSQUEBRADAS,9588288.93164
-8400569.22273558,728339.747958649,2,DOSQUEBRADAS,9588288.93164
-8400619.19032198,727906.212115438,2,DOSQUEBRADAS,9588288.93164
-8400637.74535724,727528.856270304,2,DOSQUEBRADAS,9588288.93164
-8402010.58720135,727722.427520488,2,DOSQUEBRADAS,9588288.93164
-8402624.6366752,727785.491075004,2,DOSQUEBRADAS,9588288.93164
-8402689.42189283,727554.940237714,2,DOSQUEBRADAS,9588288.93164
-8402609.51838399,727539.859633329,2,DOSQUEBRADAS,9588288.93164
-8401908.19581246,727421.01400369,2,DOSQUEBRADAS,9588288.93164
-8400975.77093697,727268.139018252,2,DOSQUEBRADAS,9588288.93164
-8400588.92729526,727206.649797301,2,DOSQUEBRADAS,9588288.93164
-8400602.46688264,727192.136250998,2,DOSQUEBRADAS,9588288.93164
-8400615.55068547,727013.815496538,2,DOSQUEBRADAS,9588288.93164
-8400820.42808761,727054.917073175,2,DOSQUEBRADAS,9588288.93164
-8400833.31936644,726887.757763221,2,DOSQUEBRADAS,9588288.93164
-8400844.63084709,726782.862895905,2,DOSQUEBRADAS,9588288.93164
-8401766.73535684,726988.608642468,2,DOSQUEBRADAS,9588288.93164
-8401790.83295951,726623.641633383,2,DOSQUEBRADAS,9588288.93164
-8401139.72187485,726347.44732422,2,DOSQUEBRADAS,9588288.93164
-8400435.44791571,726243.596318009,2,DOSQUEBRADAS,9588288.93164
