Lunes,Martes,Miercoles,Jueves,Viernes
23393067.7158,5467962.29023,11027040.3548,12943956.4012,15044506.3985
4526902.95909,3195177.56878,187178506492,2675684.79398,148627566554
8564564.2338,2549093.88343,10102874.5892,104317251.96,92615384.8937
2044544.51445,40243080.9658,250048.68279,2748156.50475,79824055.0516
43908937.1352,19749339.5696,-188632.609377,111608976595,2353936.18799
77542321.67,104581462205,19190050.0013,41149021.1188,10576810.4394
5642909.56864,21230171.7354,196296974624,4855771.41356,28604750.6898
594687.861754,2609488.79671,32968046.7335,47766156.0957,110076494835
8795420.80696,74164764635,38892418051,19737949.0337,17732721.5401
35229812.4862,17741642.6915,29255810.2995,60325855.8371,0.0
10400267.0922,53861346.4415,51432795.4343,43365607.1769,82652693.4727
24117723.5705,47714843.1373,25113642.4735,2130959.00256,6308481.94057
39133852.8841,2054817.09206,26005099.1299,161847021487,56029505.1809
9019243.64878,16703801.5292,27461070.8243,93799471.4493,20071524.9926
-2414130.45005,6498007.07941,0.0,752985.649544,-3115068.03799
1287485.33993,149740531887,-565948.273729,60368268.6142,138540945584
48581369971,75712101.3896,26319490.6729,5357174.44852,4722261.23565
200980186304,73624344.3875,75016255.9694,73938882.7357,32105548.2493
112269375235,601791.569591,-1663563.15832,177716978974,2569944.41281
-1339182.73068,82720811.4077,299524.532762,45745502.3917,20044810.8025
160303365004,2341735.38821,60557246.2694,25751921.6663,21947360.3055
47817301.5221,23498900.2296,48355355.4606,1506397.71755,158689139665
64596145.4103,132782553886,3258907.55253,2832316.9984,2528831.47774
103746430863,41026576.1343,23299519.7369,12084892.4111,28368663.8715
33029600.1294,41427666.4906,907617.219183,0.0,20470539595
10178275.2665,70946800.1473,145600696448,36345538.5076,54542159.5749
19496289.3673,205949340099,140901839335,43203950.4939,35997732.9482
102568826737,21582220.1469,42506740.0565,7074034.80415,88189175.4961
2496554.09695,64167411.6301,0.0,63034725.0934,2513208.39679
64572528.0634,52226621.8044,13072659.1363,13599569.7965,45462814.2266
23857134.4397,0.0,8269054.91962,91657544.5448,135906761888
16217441.5778,82523399.6355,31105170936,65597348.9987,13347901.6592
35084955.9468,70681102.3521,46705640.5556,8934450.02702,56032757.5939
24156872.6157,10891941802,18142477.6835,61028468.6689,674986805658
86198809.9563,34254944.9307,39443732.8207,-2892907.38917,105674179251
1074694.7984,62310395.8085,53700479.1187,54029216.8568,11764887465
10741499.6673,274582493004,65143018.8182,37585305.9518,4501363.07759
-721485.81532,207686279409,142526515894,15404142.3657,33375741.2901
-4590349.71048,3086984.71615,37295484.0951,80636661.1799,56013542.8839
-914145.617112,32422776.1479,13714812.2495,19953342.4889,97646371.3926
61371841.6269,8040510.23588,68259778.3511,0.0,20275239.7365
43938734.4724,-841176.252044,38557561.1149,11219152.9076,41298080.9741
99290391.2731,78907919.6314,27360129.3217,-2233369.06492,6193763.55883
21045391.8243,17100033.85,18397579.5992,49867951.0062,21444597.8416
6306829.42585,38737298.4531,43502850589,5468255.09195,6823465.13804
18033746.4603,0.0,4335264.08237,21368532.1852,13923993.4478
9267928.3604,138673311.85,11312058.9064,78210007.8076,44760540.9998
2217465.62867,3117603.58873,78955358.7312,117240433424,13995247.1014
31999050.7705,11085587.4391,11192681.6033,14966243.0852,5596080.62994
39885343.5431,103382013639,55405521193,5639685.22241,36605498.5268
118154139776,37034632.6313,8181681.35869,-1895723.11881,8246706.03838
100021309473,-5058001.83578,6881343.7308,113159.397776,13000058.4649
17590131.3604,83601711068,58282610425,225352966836,228315440824
36681554.7404,27025722.4794,26691546.4958,59461104.7115,196264976625
59235738.9214,14101219.1689,55017196849,19207008.7325,134861455198
5770445.54182,-10075521.9799,19161777.7818,8615198.24526,14831151.3843
-3122412.57184,107979116132,70339942.5851,92869167.6839,-6591624.0744
15442151.1962,53137553.7392,35804363.5369,36998798.1176,0.0
6296235.40363,8274423.73365,42522509.0298,24121169.5298,40729773.6572
31416548.3128,128540392.93,11895737.1384,9039376.31644,91084748.5129
69091935.6199,23553273.6062,-11267409313,3889006.23439,23594462.6783
35764176244,2140228.15191,1812357.13907,45956802.8384,36550900.6548
136575561.53,0.0,107698419.75,1665966.05136,50600416.6273
19271239.7604,1639819.98554,107872632662,28803728.4491,80910132.3607
-3454733495,33386078.3248,-328758.183655,24078860.9409,30743360.6192
15474239.3986,15730145663,10181793.6399,55067819.3505,32418464.0451
6651863.89639,7956738.7258,189751539987,129709678899,-5213370.03011
40693581.5582,92139800.0521,13690594.8952,10523580.4141,162336331.11
-95607.9168754,42120225.6511,269506860676,32930719.52,7018645.33544
51422635.4861,36123683.3524,136616019994,193993759854,61691174.8562
50609727.2379,39430562.4128,-4386711.13017,11575963.6078,27540179.3794
0.0,968981.614604,15945526.5104,4319773.41109,83795976.9007
64182789005,25377054.2165,124315653821,29771678117,18621395.9367
88818221.6522,48724933.3399,23867101.3942,335965725824,33429342751
36888827.2325,93708352.3124,43827684.7885,24056678.2579,98284398.8176
63970116.8014,78608995.0872,46037906.8546,27109138.5789,262847692212
24594491.9976,68153910.2691,1688900.29862,84430479.8807,7750089.43044
14548082.6252,15236379591,7507861.98372,20763365927,9818989.3211
5195323.35438,48941696.9484,31545055.2141,2237172.69988,2937744.46114
8399363.38869,0.0,80457053.6324,148567519072,9123250.32549
96450696.3887,21196868.4689,15066632.7234,13525114.4332,3819230.77393
56843758.3568,-25784.4894194,4980324.35979,35424616.2558,0.0
58751415.6217,5154844.91176,125622182185,10829065.2544,4775976.48465
144903977712,25638969.3232,184535.629176,142009338147,58510024.4794
13341828325,63615580612,17229074.7842,105753508.19,16162602.5664
3517252.7914,9009377.84535,108551933287,66364534.5128,123043910276
7295690.0168,5534966.36121,59507082.1497,51293163.2293,164419351219
73058521.3372,47205586.2309,8271826.11479,43608700.7639,5987666.25856
-750459.426148,15946581.4434,30037478.4823,13876938.8106,9125261.18364
26803578.4311,62038770.9191,6518709.73112,113469263.31,13075644.1323
23053317.7256,5934529.70761,22583050.2278,49631835161,72957071.2595
158452986477,58227944.0625,-3540314.10276,-910015.676913,0.0
2488383.21498,5512892.21262,-744890.426988,11418395.7463,7654447.03574
55364701.7245,293750.068195,11918304.9232,10581077.1669,45917851.8444
67237526.7474,56062250.4496,77791783.9247,337828.394481,-245850.613932
116942712339,32993844.5503,-1572266.33996,57631008.5752,12431345.3113
106550831584,72016406.5557,29850014.0841,255471441845,195412541634
2374203.27198,30932166.29,271106957566,18650079396,-4993690.74831
192910115734,26038463.3874,6065253.1138,50641246.6879,89951133523
65886666.8726,59717751.2334,3398574.95991,5481222.38827,31724984.3735
13232502.0533,70674635255,16943299.1701,14388998.1619,7370411.46479
32967993.5031,1309249.83369,34210846.8744,153708963558,179898228981
175955.404116,21801000.3895,6656419.9962,18661297702,43179791.3625
12547942.0127,2904884.15424,14878813.4682,74955878.0151,29679145.2117
65698689.6946,1514936.05029,2751949.17909,130509872548,29274510.6136
48589176.5816,35191521.8892,6561401.5733,37011371.6169,59011624.9461
24182703044,50823724.4086,24839916.3538,-1446723.17121,69482434.9818
92238425.8045,36559926.4242,8536850.74362,33940579.1638,9739402.69365
-2817982.65697,73894703.4393,9480237.91944,199861.830089,57543435.6431
446929425687,82417781.0551,354854837304,11158941.7724,18958353.2411
70383633.5424,41847753.5716,76201166.3799,33980107.1467,19222677698
144453396086,268052226782,21818052.8614,17426905.5074,74359181.0862
139842525737,40116122.6242,26106710.3688,812794.118627,44859759.3859
43714555.5613,6094389.47202,787322.010035,10063335.6863,85746740.0416
3357004.71289,96943833481,33859810.3302,2413183.01864,221480401067
6627736.78211,28462194.2393,0.0,41876778.2,23523707.9097
12086857.0984,2985340.9716,157412229251,18579075.8417,12536708.6041
123114151.73,22280530.8445,24918244.6258,64524919.1584,49028980.0393
1663037.60335,11195535.2201,55887343.4765,9127519.69368,72092345228
19977666.2887,30335896.5077,88888766.7915,13106654.5497,41712375.3167
-735920.638126,41304366.68,1712998.79674,22832993.5872,8771423.17155
19925883.9428,1979897.38129,-1939601.37946,6784752.20741,6669701.08617
87420331.3235,2153538.01149,25308412.8013,16919900.1758,8157095.42808
279455966925,163996842673,41835656.2199,18411452.5373,48004345.5398
46860063.6207,35273523.5726,56770518.7321,135672236339,22695215.2415
34038853.1188,21696214.5859,-2146451.54314,30844465.8158,4447513.85035
42020594.5548,786343.464174,5418028.4353,30919293.1502,11080784156
35976867.8513,61608852.3539,64501438.7058,39323756.8445,43437107.4641
97409027.4722,96597757.4145,34481505.3752,-2477753.58427,53706641.1987
18352844.7546,14653917.4238,96518743.9823,80736053.0146,1883607.18576
18108510.4437,63267832.9173,35174081.9181,6171018723,26748976.8028
12178884.7002,11309431.5935,28041984.7771,66952644.0023,35447564.3138
20860599.9014,31375067.4943,45687558.4655,73571165823,25844957.6788
16759366.1928,26883618.4873,6936838.95052,63752358.8109,90028163.2034
2833117.03815,184923782293,116338251909,8867350.79149,455346.796064
275344062.54,86836452.6253,20522227.5435,68446571108,26635652.7609
