Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
42155353.8898,38796051.9132,170590275.606,237104134.176,164846379.594
25749885.8403,20675036.0477,390322165.516,390766847.901,342507802.416
82043272.5656,234281510.449,143860708.362,414130763.048,142870245.473
15268852.1689,54078234.2208,649783780.939,264505210.685,1068478431.6
207144377.281,134891189.412,680660187.424,381003733.496,317530570.701
9879432.22132,403445852.463,378372381.681,502647899.11,414470058.935
23416430.6591,124680455.288,54130765.3688,523362164.219,148220958.042
152803401.228,704725598.511,176676830.051,34675950.3115,185046881.174
19193865.8987,255701233.725,192498325.547,957090990.423,234844113.823
5256587.48326,58145486.8807,476952240.603,293400143.061,273494006.289
28079680.1749,66718286.5782,96117098.1061,80958463.0275,614718893.415
44305309.7757,374996732.952,314109272.917,243079046.904,294885158.523
81281244.5133,192387202.568,39727510.1668,251595454.462,610720978.667
34757555.6225,511162333.363,156893376.833,173513711.094,183095936.647
2947187.73423,142037276.528,682169309.023,949093108.968,109178779.905
18659896.7533,66086183.3831,125597633.765,510462820.006,479981221.213
69459809.2556,121144603.054,40575589.6955,406149975.188,119054913.112
4519262.60005,372432608.101,206444631.739,406826137.668,152819425.737
57389493.7682,199784268.267,160815011.229,459244299.536,245150100.906
182549.379053,30703966.4901,156625679.037,375514358.016,606694453.363
25149542.6089,407162415.316,328751248.465,341594777.891,234574309.62
28814487.9406,23527503.482,60069908.1625,792510793.574,352125294.361
2023412.67213,270755611.864,100722079.799,214631346.263,192764603.254
2789003.28488,489440999.455,281527927.779,697535307.583,661324671.58
16103733.718,474112770.888,49026353.7789,461578844.966,657123261.076
40161432.9024,88733091.3174,269740246.309,520817853.969,86211872.6806
47478893.8612,26662683.5774,157771344.627,326557493.757,420781450.996
101620940.561,224979079.107,547361583.22,139921253.116,190190136.986
30221714.1548,33735717.2128,112879787.959,358097480.268,159051055.273
20343056.3423,45782325.4662,73281527.7939,678818207.36,443768020.316
20221256.9727,157549660.119,139101049.723,301494302.047,299671290.262
31265920.8746,51298905.964,115581560.497,468747141.025,170807138.661
24581989.715,348653602.871,107004380.037,274394777.194,181472984.218
36338234.356,-17378.095778,119524979.606,427206274.444,787417877.061
90887826.2986,169586361.269,193210538.215,487487719.638,871096474.06
113011147.582,232039919.033,223160707.768,481759259.465,430426036.358
110195372.126,140262505.24,276515106.994,302434815.858,103139738.422
55972512.3431,236816679.54,16472007.8041,212464122.281,172109966.491
35683609.8495,529897775.743,158347970.795,245328234.676,117431611.851
83327682.4319,84906198.4717,97601953.5882,274626294.271,677576330.35
33096409.0418,138848005.122,90005667.6689,30816828.6644,346992853.538
60660722.5863,11464391.8433,201499359.648,79919454.5734,294065999.811
174396632.034,321028793.909,285384077.164,189148173.339,175628785.65
-8721076.82629,34474004.2168,234692828.474,199222487.085,297565833.216
5454555.54222,64751664.3862,79313891.5475,734065411.196,288360817.287
8393301.76604,19355771.2952,230211755.483,226225267.431,435065152.57
386960.221598,14419417.6934,37224985.249,567491180.262,185947894.703
26928999.1063,336085363.54,106331561.848,357352371.04,252587610.435
64645001.1012,613165832.777,129444706.701,556284045.452,294348322.123
5563822.96089,99113457.0465,159389274.427,1097017506.59,332680908.579
23868206.6859,-6970139.08121,70546418.3755,435160465.545,471429273.737
1705588.09959,63161015.3312,253134275.455,435858816.076,307216496.379
