X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
4.81820322001,-75.70283093340001,4.8134531551499995,-75.7116798259,"[4.8182692, -75.70282449999999]","[4.81877, -75.70732]",501.0,69.0,1.944896359448024
,,,,"[4.81877, -75.70732]","[4.81705, -75.70752]",193.0,51.0,5.130077078048968
,,,,"[4.81705, -75.70752]","[4.81744, -75.71086]",373.0,54.0,1.5537066795200352
,,,,"[4.81744, -75.71086]","[4.8131746, -75.71136000000001]",478.0,136.0,0.8468063886582193
,,,,"[4.8131746, -75.71136000000001]","[4.8132288, -75.7117145]",40.0,15.0,2.294342464053955
4.814217730019999,-75.6950376684,4.81530972509,-75.7088042971,"[4.8142227, -75.6950853]","[4.813073999999999, -75.695212]",129.0,51.0,3.223496792463122
,,,,"[4.813073999999999, -75.695212]","[4.814627, -75.708652]",1499.0,346.0,1.1850215104828896
,,,,"[4.814627, -75.708652]","[4.8152891, -75.70858919999999]",74.0,37.0,1.7724051298801033
4.8113879937099995,-75.6936528849,4.81896381428,-75.7164812074,"[4.8113974, -75.6937166]","[4.8094678, -75.69391739999999]",216.0,75.0,0.05495756530532355
,,,,"[4.8094678, -75.69391739999999]","[4.814861899999999, -75.71598829999999]",2549.0,416.0,0.7884653148953908
,,,,"[4.814861899999999, -75.71598829999999]","[4.81525, -75.71674999999999]",96.0,14.0,1.4606127432762483
,,,,"[4.81525, -75.71674999999999]","[4.81567, -75.71679]",47.0,11.0,0.5273200296830477
,,,,"[4.81567, -75.71679]","[4.8161285, -75.7166739]",56.0,19.0,1.5277315085479608
,,,,"[4.8161285, -75.7166739]","[4.8166305, -75.7173091]",103.0,27.0,5.069781366672552
,,,,"[4.8166305, -75.7173091]","[4.8170743, -75.7177408]",74.0,13.0,8.53905885071131
,,,,"[4.8170743, -75.7177408]","[4.8179815, -75.7160794]",223.0,34.0,2.280643782874737
,,,,"[4.8179815, -75.7160794]","[4.81881, -75.71661999999999]",110.0,21.0,13.749611163169114
,,,,"[4.81881, -75.71661999999999]","[4.8188964, -75.716447]",21.0,7.0,1.8912423075226366
4.8161236039099995,-75.6928246374,4.82000941231,-75.698661425,"[4.8162262, -75.69281339999999]","[4.815964, -75.690631]",244.0,64.0,0.5058668273155723
,,,,"[4.815964, -75.690631]","[4.818853499999999, -75.6903261]",323.0,111.0,8.683037845457998
,,,,"[4.818853499999999, -75.6903261]","[4.8204879, -75.6977665]",891.0,102.0,0.7279191930285359
,,,,"[4.8204879, -75.6977665]","[4.8193708, -75.69790189999999]",125.0,57.0,10.37737047313007
,,,,"[4.8193708, -75.69790189999999]","[4.8194813, -75.69875449999999]",95.0,26.0,0.0055062915573928575
,,,,"[4.8194813, -75.69875449999999]","[4.8200131, -75.6987056]",59.0,21.0,10.599346350765705
4.81797077659,-75.69095568569999,4.82185363962,-75.7166259349,"[4.817959, -75.6908385]","[4.8176961, -75.6908655]",29.0,8.0,13.800081030619324
,,,,"[4.8176961, -75.6908655]","[4.817632, -75.6904217]",50.0,12.0,1.3119454835930915
,,,,"[4.817632, -75.6904217]","[4.818853499999999, -75.6903261]",136.0,59.0,11.23454754862052
,,,,"[4.818853499999999, -75.6903261]","[4.820159299999999, -75.7105617]",2446.0,293.0,1.1275542191423003
,,,,"[4.820159299999999, -75.7105617]","[4.8212722, -75.71279729999999]",295.0,47.0,1.5353121912206675
,,,,"[4.8212722, -75.71279729999999]","[4.822106, -75.72119599999999]",1161.0,144.0,2.53135313391899
,,,,"[4.822106, -75.72119599999999]","[4.8219135, -75.7167475]",715.0,123.0,1.9855401597883802
4.81755661636,-75.6890199537,4.82024507573,-75.72629723520001,"[4.817507, -75.6890136]","[4.8175688, -75.6887501]",30.0,4.0,4.268420935815966
,,,,"[4.8175688, -75.6887501]","[4.8186558, -75.6885863]",122.0,32.0,3.2007396887467503
,,,,"[4.8186558, -75.6885863]","[4.819560099999999, -75.7111573]",2734.0,337.0,1.2325273115636353
,,,,"[4.819560099999999, -75.7111573]","[4.8193058, -75.7122807]",129.0,21.0,1.6165667214318362
,,,,"[4.8193058, -75.7122807]","[4.819389999999999, -75.7137]",165.0,30.0,1.6526690836306313
,,,,"[4.819389999999999, -75.7137]","[4.821244399999999, -75.7252395]",1643.0,181.0,1.4339326609843326
,,,,"[4.821244399999999, -75.7252395]","[4.821001799999999, -75.7254316]",48.0,28.0,2.627714832128246
,,,,"[4.821001799999999, -75.7254316]","[4.8208163, -75.72620479999999]",91.0,14.0,2.74657275139436
,,,,"[4.8208163, -75.72620479999999]","[4.8207619, -75.7262279]",7.0,20.0,10.174842572139037
,,,,"[4.8207619, -75.7262279]","[4.8207014, -75.72579060000001]",50.0,8.0,0.818335408588849
,,,,"[4.8207014, -75.72579060000001]","[4.8203805, -75.7257855]",36.0,10.0,11.065033361782174
,,,,"[4.8203805, -75.7257855]","[4.8202809, -75.72630869999999]",59.0,17.0,0.7733130997846573
4.813445333540001,-75.6932989284,4.82336457773,-75.7394788913,"[4.8134653, -75.6934615]","[4.8094678, -75.69391739999999]",447.0,171.0,2.249231072411804
