Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
26894831.5651,5984779.63828,346253540.359,665026785.206,484074155.867
4526902.95909,377170543.559,302905547.201,313773918.43,147286914.33
8564564.2338,37697705.9599,294141520.079,596341047.329,581862049.274
1814847.57304,527912219.673,272284951.325,232393618.632,616850005.054
36419395.2645,293734491.967,462089889.259,413092454.911,40014141.1968
58940097.6462,23070868.8662,334229212.515,634026003.941,607752766.614
5642909.56864,-5295458.95452,78753175.7601,118815173.1,207521858.363
542103.1071,240973521.265,55623709.1257,646394219.121,206326042.976
8795420.80696,72287010.3548,181551157.072,47428331.7642,373677345.509
39760090.064,11648685.4999,190098894.124,566777905.83,440351904.775
14000553.8214,556924381.042,110153133.248,131614330.122,272901775.958
30106382.6877,282267506.476,68207816.1677,366245381.668,626249886.9
39133852.8841,-25796882.2505,170848027.909,55142959.8945,253180091.953
9019243.64878,88677985.005,460898425.744,590353708.832,296662414.535
-475010.039945,0.0,27785480.8834,524511023.825,509260844.017
1287485.33993,3891687.94271,79275675.1774,765336244.432,178804641.634
43032516.23,29514814.8966,286151632.058,905263688.714,225158344.281
200980186.304,225434577.633,363560925.97,349089031.757,498117829.819
99453292.475,268508450.801,374726513.525,117573248.996,162206824.955
-1339182.73068,67551777.1987,113812115.789,347965174.081,443244883.035
144498117.647,298239932.965,51138579.1169,463275455.077,113737731.412
60752337.6855,274439843.709,178729438.28,487637061.137,511989295.312
57212720.9191,359707623.446,572536667.667,153589292.643,216759050.184
133069516.767,203334793.008,142909968.064,222049860.048,493801827.824
29118968.5479,145426992.846,506361288.283,1066925633.28,734877660.295
8401706.87514,15189560.6388,16054682.0726,273072806.054,250024435.596
22015167.866,-2190987.0953,430389976.055,96493171.5995,378174925.73
81800920.6673,222921085.17,683139778.345,320362288.343,170664094.643
2258111.55633,128013868.069,55510220.6623,261029487.15,604118627.073
72835888.4256,177940453.277,177058911.918,310740708.61,99541707.8655
25749027.5435,191159359.347,135011778.441,231582878.711,273182329.173
16217441.5778,86789737.7251,301196570.151,372984576.152,120349279.108
35084955.9468,254428729.003,114210123.435,327754042.398,181016721.766
21778057.7264,626172747.167,146616967.973,337690645.445,214580270.056
70741609.5217,192376421.557,116065285.565,404752641.476,894898343.09
951748.96237,22630871.5088,44091330.339,256708137.132,252840909.994
9488653.80446,324771355.449,123459392.387,445287146.865,700809088.673
-637343.777626,-52429670.4998,209978592.82,260271660.179,430575793.293
-5214507.82742,-7509358.65793,72096989.8305,470498185.458,95441732.8854
-914145.617112,75502624.4111,226872223.519,-14361333.7489,167623864.37
61371841.6269,26204431.6271,269175816.198,513195106.96,169652055.593
43938734.4724,11538849.9864,,293161566.98,184764799.809
83932780.6624,364980179.109,,48762909.1818,222971588.017
24418161.9972,43114674.9952,,498917172.419,144403039.268
