X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
4.8174151213016305,-75.68799812296409,4.81448884479625,-75.6942402982019,"[4.817410199999999, -75.6879235]","[4.817823, -75.68763899999999]",65.0,12.0,5.195061054780725
,,,,"[4.817823, -75.68763899999999]","[4.8162607, -75.68493169999999]",363.0,56.0,0.11728602271635084
,,,,"[4.8162607, -75.68493169999999]","[4.816731, -75.68970999999999]",537.0,84.0,2.939604729904862
,,,,"[4.816731, -75.68970999999999]","[4.812482999999999, -75.690184]",475.0,132.0,2.133404224368108
,,,,"[4.812482999999999, -75.690184]","[4.812982499999999, -75.69434919999999]",465.0,132.0,0.060861365918696037
,,,,"[4.812982499999999, -75.69434919999999]","[4.814483699999999, -75.6941938]",168.0,79.0,2.45522825760754
4.81381222804558,-75.70367649741729,4.81136673704273,-75.6898020216115,"[4.813809099999999, -75.70365029999999]","[4.8132355, -75.7037093]",64.0,20.0,3.7982569097411716
,,,,"[4.8132355, -75.7037093]","[4.8116246, -75.6897769]",1554.0,457.0,1.1119641779306548
4.812911784090041,-75.6997966380003,4.81546667561562,-75.687827408248,"[4.8127789, -75.699814]","[4.8127418, -75.6995276]",32.0,10.0,3.3610811347121294
,,,,"[4.8127418, -75.6995276]","[4.816948, -75.69905899999999]",471.0,170.0,0.3727217934167088
,,,,"[4.816948, -75.69905899999999]","[4.8156457, -75.68780799999999]",1255.0,365.0,0.0018502076540575865
4.818729579374059,-75.6921897006406,4.81732036937521,-75.7023961410573,"[4.818673299999999, -75.69219799999999]","[4.8197599, -75.7012699]",1013.0,230.0,0.2100189464686332
,,,,"[4.8197599, -75.7012699]","[4.8164052, -75.701657]",375.0,141.0,5.458891035962202
,,,,"[4.8164052, -75.701657]","[4.8164896, -75.7024832]",92.0,19.0,2.7725377765356103
,,,,"[4.8164896, -75.7024832]","[4.8173199, -75.70239459999999]",93.0,28.0,3.1666073019136434
4.817039240822,-75.70026561341459,4.81328971494114,-75.70429978389849,"[4.8170939, -75.7002593]","[4.817048, -75.699883]",42.0,9.0,0.4698593232347587
,,,,"[4.817048, -75.699883]","[4.8136587, -75.70027089999999]",379.0,153.0,0.12232253521206021
,,,,"[4.8136587, -75.70027089999999]","[4.814259, -75.70528999999999]",560.0,105.0,1.7067255536553854
,,,,"[4.814259, -75.70528999999999]","[4.81341, -75.70537]",95.0,41.0,1.6555745378108628
,,,,"[4.81341, -75.70537]","[4.813299, -75.70429899999999]",119.0,24.0,0.2500186595278287
4.81724561520391,-75.7054458242983,4.81359972713659,-75.69458268935621,"[4.8172916, -75.7057808]","[4.8193909, -75.70554589999999]",235.0,54.0,7.997589183693094
,,,,"[4.8193909, -75.70554589999999]","[4.8181514, -75.6946608]",1214.0,203.0,1.6083098959748168
,,,,"[4.8181514, -75.6946608]","[4.8139351, -75.6951141]",472.0,198.0,3.207848610813029
,,,,"[4.8139351, -75.6951141]","[4.813871499999999, -75.6945521]",63.0,33.0,2.4279609720636883
4.8186311346313095,-75.6895208260446,4.81597539085329,-75.69558358753541,"[4.8186225, -75.6894618]","[4.8182506, -75.6895134]",42.0,9.0,3.9155919914057784
,,,,"[4.8182506, -75.6895134]","[4.8189829, -75.694569]",566.0,186.0,1.0294885391207707
,,,,"[4.8189829, -75.694569]","[4.8147963, -75.6950268]",468.0,189.0,5.324018341739987
,,,,"[4.8147963, -75.6950268]","[4.814884999999999, -75.69586699999999]",94.0,49.0,2.6386701821539607
,,,,"[4.814884999999999, -75.69586699999999]","[4.8159942, -75.6957681]",124.0,63.0,4.294095064934825
4.81399330187482,-75.7050022582288,4.81392924819329,-75.704541331687,"[4.8137857, -75.7050242]","[4.8137294, -75.7044907]",59.0,14.0,0.7323888456392474
,,,,"[4.8137294, -75.7044907]","[4.813917399999999, -75.7044627]",21.0,20.0,2.718345988238641
4.8122557977973095,-75.6955487858348,4.8110593055468,-75.6925236579199,"[4.8122865, -75.6955459]","[4.811879999999999, -75.69198]",398.0,146.0,0.09651666876282859
,,,,"[4.811879999999999, -75.69198]","[4.810360600000001, -75.6921531]",170.0,60.0,1.7545735114702998
,,,,"[4.810360600000001, -75.6921531]","[4.8102524, -75.6923492]",25.0,7.0,0.5260133760836467
,,,,"[4.8102524, -75.6923492]","[4.810245099999999, -75.692593]",27.0,7.0,1.732599848289248
,,,,"[4.810245099999999, -75.692593]","[4.811094499999999, -75.6928899]",112.0,31.0,0.19244984492488615
4.815252797581519,-75.68752580089041,4.812018551224,-75.69176830449109,"[4.8150302, -75.6874223]","[4.8148295, -75.6882263]",93.0,13.0,0.7691402771318668
,,,,"[4.8148295, -75.6882263]","[4.816528799999999, -75.6880169]",190.0,43.0,5.404322091155248
,,,,"[4.816528799999999, -75.6880169]","[4.816731, -75.68970999999999]",189.0,38.0,2.6759575542927294
,,,,"[4.816731, -75.68970999999999]","[4.812482999999999, -75.690184]",475.0,132.0,2.133404224368108
,,,,"[4.812482999999999, -75.690184]","[4.812676499999999, -75.6918713]",188.0,45.0,0.7940870506509847
,,,,"[4.812676499999999, -75.6918713]","[4.811879999999999, -75.69198]",89.0,37.0,3.860232493156173
,,,,"[4.811879999999999, -75.69198]","[4.811856, -75.6917886]",21.0,15.0,2.3157181262394357
4.81256847786909,-75.697257242158,4.813588761889481,-75.6940924698833,"[4.8124877, -75.6972658]","[4.81246, -75.69700999999999]",29.0,5.0,0.972597313348172
,,,,"[4.81246, -75.69700999999999]","[4.8116078, -75.6970837]",95.0,27.0,2.5172048993426603
,,,,"[4.8116078, -75.6970837]","[4.8113, -75.69458]",280.0,98.0,1.8590164031092304
,,,,"[4.8113, -75.69458]","[4.8136078, -75.69429]",259.0,107.0,4.7370517259305975
4.8168225518025,-75.6897610375973,4.81285016198176,-75.6936694498443,"[4.816739, -75.68977199999999]","[4.8169249, -75.6913706]",178.0,32.0,0.9789131186675738
,,,,"[4.8169249, -75.6913706]","[4.812676499999999, -75.6918713]",476.0,207.0,1.4345572672452387
,,,,"[4.812676499999999, -75.6918713]","[4.8128867, -75.69366389999999]",200.0,66.0,0.33110474900078257
4.81878825926726,-75.7116747798908,4.81188080994326,-75.6983891142177,"[4.818902, -75.7117185]","[4.819246199999999, -75.71120530000002]",69.0,9.0,3.5427289905466726
,,,,"[4.819246199999999, -75.71120530000002]","[4.8189149, -75.70899790000001]",250.0,70.0,7.4737743739612235
,,,,"[4.8189149, -75.70899790000001]","[4.8180916, -75.7090886]",92.0,26.0,7.280340159852923
,,,,"[4.8180916, -75.7090886]","[4.817889999999999, -75.70743]",185.0,40.0,4.009933873770502
,,,,"[4.817889999999999, -75.70743]","[4.81538, -75.70769]",281.0,97.0,1.4642012477802935
,,,,"[4.81538, -75.70769]","[4.81508, -75.705213]",276.0,51.0,0.6136618372361574
,,,,"[4.81508, -75.705213]","[4.812570000000001, -75.70546999999999]",281.0,87.0,0.6981596930060003
,,,,"[4.812570000000001, -75.70546999999999]","[4.8117526, -75.6984389]",784.0,164.0,0.38473918604351326
4.81023520748307,-75.6949742922957,4.81260115519551,-75.7025469501072,"[4.810479099999999, -75.6949432]","[4.8103944, -75.70034129999999]",613.0,133.0,1.2371273349569996
,,,,"[4.8103944, -75.70034129999999]","[4.810990299999999, -75.7014046]",135.0,26.0,0.34791191890511
,,,,"[4.810990299999999, -75.7014046]","[4.8124687, -75.7012481]",165.0,46.0,0.2488715179484719
,,,,"[4.8124687, -75.7012481]","[4.8126048, -75.70254659999999]",145.0,51.0,1.5098471434724907
4.81674157974275,-75.69920527502629,4.8170337201746,-75.6933341180475,"[4.8167288, -75.6990828]","[4.816948, -75.69905899999999]",25.0,7.0,3.9233819871563305
,,,,"[4.816948, -75.69905899999999]","[4.8167572, -75.697384]",187.0,40.0,0.18814155241594385
,,,,"[4.8167572, -75.697384]","[4.818459499999999, -75.6971841]",191.0,54.0,4.209752222235617
,,,,"[4.818459499999999, -75.6971841]","[4.817945, -75.692976]",470.0,79.0,0.018878765222604153
,,,,"[4.817945, -75.692976]","[4.81712, -75.69306499999999]",92.0,44.0,8.153381158177918
,,,,"[4.81712, -75.69306499999999]","[4.8171478, -75.69332159999999]",29.0,21.0,0.4908092391861262
4.81562320219893,-75.69445731916679,4.81425449989131,-75.6921471783896,"[4.815582399999999, -75.69409]","[4.81639, -75.694]",90.0,33.0,4.814298745425087
,,,,"[4.81639, -75.694]","[4.8160718, -75.69146479999999]",283.0,91.0,0.050073416384059974
,,,,"[4.8160718, -75.69146479999999]","[4.8143892, -75.6916674]",188.0,71.0,2.1496866262902343
,,,,"[4.8143892, -75.6916674]","[4.814449499999999, -75.6921208]",51.0,29.0,1.4216211624545927
4.81817640803921,-75.7051731391821,4.8138672839810095,-75.6950699995853,"[4.8185231, -75.7051371]","[4.8185727, -75.7056468]",57.0,8.0,3.01834328416299
,,,,"[4.8185727, -75.7056468]","[4.8193909, -75.70554589999999]",92.0,27.0,7.516094479470861
,,,,"[4.8193909, -75.70554589999999]","[4.8181514, -75.6946608]",1214.0,203.0,1.6083098959748168
,,,,"[4.8181514, -75.6946608]","[4.8138728, -75.6951212]",479.0,205.0,3.096161628704296
4.82357858825776,-75.6959766791532,4.81382526265265,-75.6964135152195,"[4.823956, -75.69587059999999]","[4.823003, -75.688931]",805.0,146.0,0.9094843787909013
,,,,"[4.823003, -75.688931]","[4.8207308, -75.686493]",489.0,100.0,1.6030963778772351
,,,,"[4.8207308, -75.686493]","[4.814007999999999, -75.68744400000001]",856.0,103.0,0.8312144050722237
,,,,"[4.814007999999999, -75.68744400000001]","[4.8102524, -75.6923492]",863.0,98.0,1.3093343530377222
,,,,"[4.8102524, -75.6923492]","[4.8108347, -75.69800839999999]",631.0,165.0,0.9566327493619111
,,,,"[4.8108347, -75.69800839999999]","[4.81422, -75.69765]",379.0,120.0,3.4113938595272506
,,,,"[4.81422, -75.69765]","[4.814066, -75.69638890000002]",141.0,68.0,1.3584395818516684
4.81680591959866,-75.688292042617,4.81243554164242,-75.7030280609818,"[4.8165631, -75.68832019999999]","[4.816731, -75.68970999999999]",155.0,29.0,2.79231166254942
,,,,"[4.816731, -75.68970999999999]","[4.8104523, -75.6904658]",703.0,180.0,0.5806742360116679
,,,,"[4.8104523, -75.6904658]","[4.8101974, -75.691131]",84.0,14.0,1.2114391443269563
,,,,"[4.8101974, -75.691131]","[4.8102524, -75.6923492]",145.0,25.0,0.7751494969983546
,,,,"[4.8102524, -75.6923492]","[4.810358, -75.69383499999999]",165.0,45.0,0.7065382312899773
,,,,"[4.810358, -75.69383499999999]","[4.8094678, -75.69391739999999]",99.0,30.0,0.7753103665679271
,,,,"[4.8094678, -75.69391739999999]","[4.8108884, -75.7031159]",1034.0,170.0,0.7768038467623871
,,,,"[4.8108884, -75.7031159]","[4.8124289, -75.70295759999999]",172.0,63.0,1.6213314124276743
4.817755758703231,-75.69671753617259,4.814627006862559,-75.6936416928504,"[4.8175401, -75.6967465]","[4.81761, -75.69727999999999]",60.0,14.0,1.0832117826184373
,,,,"[4.81761, -75.69727999999999]","[4.818459499999999, -75.6971841]",95.0,31.0,4.6631921351445325
,,,,"[4.818459499999999, -75.6971841]","[4.81776, -75.69129]",658.0,108.0,0.08615906814807588
,,,,"[4.81776, -75.69129]","[4.8143892, -75.6916674]",377.0,146.0,4.484569265761326
,,,,"[4.8143892, -75.6916674]","[4.814639000000001, -75.6936408]",220.0,98.0,1.5082970634921409
4.82204554022602,-75.6937710497572,4.81139944828867,-75.70237746981499,"[4.822212899999999, -75.6937911]","[4.8227082, -75.6912787]",288.0,89.0,3.0888547243249636
,,,,"[4.8227082, -75.6912787]","[4.823003, -75.688931]",277.0,68.0,0.4421229066537852
,,,,"[4.823003, -75.688931]","[4.8207308, -75.686493]",489.0,100.0,1.6030963778772351
,,,,"[4.8207308, -75.686493]","[4.814007999999999, -75.68744400000001]",856.0,103.0,0.8312144050722237
,,,,"[4.814007999999999, -75.68744400000001]","[4.8102524, -75.6923492]",863.0,98.0,1.3093343530377222
,,,,"[4.8102524, -75.6923492]","[4.8103944, -75.70034129999999]",902.0,216.0,0.9703585928982429
,,,,"[4.8103944, -75.70034129999999]","[4.8114835, -75.7023854]",264.0,55.0,0.014378401355198769
4.817810268972081,-75.7002140913677,4.81811689648907,-75.68953651059509,"[4.8179396, -75.7001983]","[4.817989499999999, -75.7006129]",46.0,10.0,1.1789615667846043
,,,,"[4.817989499999999, -75.7006129]","[4.821537999999999, -75.700267]",397.0,123.0,7.773708140620884
,,,,"[4.821537999999999, -75.700267]","[4.8187387, -75.6894449]",1290.0,161.0,1.2583447587915242
,,,,"[4.8187387, -75.6894449]","[4.818116, -75.6895272]",70.0,34.0,4.573256991224682
