Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
5467962.29023,347870415.561,345485501.192,396345600.378,834827464.653
3195177.56878,53407793.067,237936919.771,108141250.305,154431506.799
2549093.88343,54866227.3958,319610561.812,621674395.976,255936772.615
40243080.9658,290511221.799,141580200.238,592902449.813,129667187.132
19749339.5696,19914415.9209,99152252.3989,245113245.032,68861560.3811
104581462.205,53671615.3269,27019086.3265,227385055.0,306730564.806
21230171.7354,-119823491.916,553513964.026,280692164.397,146815019.057
2609488.79671,27556079.6299,605032430.636,163277244.998,677595525.275
74164764.635,21833535.5598,390139191.288,528896922.776,290923960.994
17741642.6915,-1002548.53499,296401136.793,46258262.1796,92617153.1303
53861346.4415,39620251.1871,152719869.191,392746445.977,163442560.612
47714843.1373,60730113.6949,40608073.2274,231624050.655,467168170.481
2054817.09206,16496572.8834,175944186.03,81803986.7334,471353058.308
16703801.5292,490726921.132,166582050.077,444560920.727,160886835.912
6498007.07941,459736302.107,590447050.594,643523234.219,1149114271.3
149740531.887,83339745.5655,121533542.052,22147609.8209,546075190.34
75712101.3896,132715554.957,150163186.346,374883842.862,493238499.859
73624344.3875,151618874.971,133247950.289,14868730.6045,822929839.734
601791.569591,117640280.414,123843292.713,244252125.498,747497611.465
82720811.4077,195826913.023,213855184.178,582237411.346,352669272.963
2341735.38821,124483127.092,264495629.927,412690860.485,114218776.503
23498900.2296,346329958.518,201233816.448,755239802.055,127324424.763
132782553.886,30010368.3976,278172481.081,207727938.367,310308592.326
41026576.1343,247090491.862,158977520.194,10086942.0386,237680322.451
41427666.4906,460831505.379,743729889.682,397937956.889,207073589.196
70946800.1473,306897623.327,314609898.789,695126245.516,275428766.285
205949340.099,134161225.145,201463061.674,550182274.963,599449724.334
21582220.1469,47358405.1444,602920602.366,198275245.952,354136259.59
64167411.6301,38129387.5144,221910823.429,932380209.856,743076923.721
52226621.8044,401852881.4,71574528.8185,300331477.091,268088666.609
0.0,88087581.8101,587775550.564,416910874.58,460331818.501
82523399.6355,375713027.732,139852270.91,134254548.495,340607532.294
70681102.3521,21643093.5125,107541101.763,645039611.809,128013105.017
10891941.802,90638697.3129,304980043.147,638842526.237,589288326.616
34254944.9307,41058327.9721,296019576.39,203377780.738,168094568.019
62310395.8085,29146522.6297,219017027.228,277682110.78,461387498.235
274582493.004,36239010.9982,56874831.0601,259685852.072,294052156.833
207686279.409,387295488.631,531656918.986,143487343.313,276257667.685
3086984.71615,619598889.573,239506243.962,852586353.744,274480752.867
32422776.1479,288637144.371,127255437.481,702598866.873,236630376.433
8040510.23588,10420753.6076,183315100.19,379431607.421,350331806.11
-841176.252044,-17213938.8345,302909795.675,322910089.68,795683896.911
78907919.6314,28507258.4574,280722695.098,253495994.29,177147170.389
17100033.85,112988775.09,,256853018.589,191445738.497
38737298.4531,212031366.081,,981567583.903,332523504.51
0.0,98502977.0478,,1232870746.78,445397582.858
138673311.85,352949268.235,,74004291.9173,127012867.867
3117603.58873,422835451.521,,148080732.789,381237609.119
11085587.4391,472739205.523,,566956990.425,183990253.915
103382013.639,6560803.80991,,505197552.283,289955700.67
37034632.6313,313442190.025,,208889537.732,292532618.144
-5058001.83578,85128184.6536,,332822746.931,619398870.859
83601711.068,442759367.316,,436904205.023,286206133.797
27025722.4794,24770182.645,,212489118.339,469336172.754
14101219.1689,285717510.558,,357176306.785,125773800.448
-10075521.9799,67307865.6533,,420568950.511,325982841.374
107979116.132,338325073.101,,445098054.101,403073877.284
53137553.7392,505177277.808,,339750783.704,408225369.071
8274423.73365,11331261.2677,,517195689.453,243184741.011
128540392.93,414103604.526,,218404488.255,150781257.549
23553273.6062,80452780.0849,,398004062.631,180570221.446
