Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
11027040.3548,9459075.41776,45707613.0381,489626234.967,277741606.142
187178506.492,54890896.8761,254122135.731,395406320.079,168006707.158
10102874.5892,304981262.133,139704599.151,252214011.495,446281527.466
250048.68279,19391811.4375,141147456.402,464939831.589,520038639.061
-188632.609377,311025040.263,57691666.9664,222995011.689,375818508.909
19190050.0013,18915939.1831,325031743.96,398998099.095,431974593.847
196296974.624,124670832.379,400985452.057,1106242598.7,259050495.056
32968046.7335,62352712.5675,16158531.8618,487005792.099,235884604.389
38892418.051,34148124.0652,366891276.626,172827227.687,378030450.434
29255810.2995,347177381.65,90566513.4595,483937883.899,506472381.746
51432795.4343,2519371.38495,136445531.728,15054842.7058,82013156.6496
25113642.4735,150437827.777,57550596.4832,450032105.657,379134717.17
26005099.1299,297371000.033,131881227.45,619605287.756,119484659.64
27461070.8243,69222808.4154,170608717.294,215113497.402,438746637.758
0.0,256960312.76,332215351.866,427403668.079,604021486.63
-565948.273729,47092709.4084,579597595.743,67493117.3114,106704789.472
26319490.6729,160119304.722,227946649.842,264856023.826,475138436.688
75016255.9694,116852378.808,220430570.489,89369297.6531,159698834.488
-1663563.15832,552839452.542,337190945.747,291529342.929,99849515.2106
299524.532762,508089346.289,67840983.8432,127425571.509,272687139.069
60557246.2694,13686158.8123,676606550.67,446163898.93,1008196485.52
48355355.4606,216264608.722,153286406.738,239645301.939,785528960.938
3258907.55253,359756666.734,55828756.1855,59062183.6341,828275972.261
23299519.7369,34200924.2773,86361131.6047,803907770.991,476259759.65
907617.219183,29890821.7354,305175897.035,255385669.815,92307065.2717
145600696.448,58144058.4944,97630991.8299,172954562.826,131785208.371
140901839.335,10069329.446,121235383.288,406522770.407,557764974.255
42506740.0565,34780247.3966,99735960.8871,141952821.819,310250327.815
0.0,726236.804136,702383851.567,364320317.647,171654067.603
13072659.1363,311944986.276,113720915.116,139160564.969,893328395.629
8269054.91962,172184094.072,228383659.777,277093790.664,245503462.849
31105170.936,274197375.196,123491483.248,723614415.717,303250030.963
46705640.5556,444432255.269,133080060.217,423642410.879,208013495.261
18142477.6835,265444692.329,25896812.8221,873321910.291,460478759.669
39443732.8207,75808532.4322,126244382.191,488890677.277,1277414464.21
53700479.1187,86895008.946,136447296.899,362431159.393,101959122.061
65143018.8182,74638744.657,206418502.937,178586453.394,265270087.412
142526515.894,93931878.9406,373931261.442,100974011.68,387419458.508
37295484.0951,62215587.686,494546174.916,252874826.172,133132840.843
13714812.2495,38211418.9411,270770120.335,333387822.706,202210766.066
68259778.3511,9193187.23264,191140538.511,214130699.861,333901016.144
38557561.1149,49116792.8875,,146968063.542,569123034.666
27360129.3217,15186832.9454,,200326838.625,290778189.398
18397579.5992,92268302.5657,,254894151.323,753291180.421
43502850.589,450411877.798,,589819300.992,168714585.6
4335264.08237,97688677.2125,,483540134.537,349016701.194
11312058.9064,220671939.103,,1458826192.31,736791456.958
78955358.7312,-876819.181448,,837232516.635,533553375.324
11192681.6033,205030519.191,,169307897.917,183612570.55
55405521.193,110526373.826,,147903790.251,527046916.831
8181681.35869,382057088.08,,151925612.965,84359420.6011
6881343.7308,77345562.4813,,1259482262.6,552589191.083
58282610.425,309395085.513,,102791787.868,920082022.446
26691546.4958,231609967.724,,275815624.249,200125511.351
55017196.849,58121862.2792,,232100130.107,113964925.677
19161777.7818,352214167.487,,401761488.717,389129348.567
70339942.5851,25668459.7061,,421961720.722,185825637.02
35804363.5369,13265973.5062,,1557039112.68,438031518.762
42522509.0298,177005730.974,,883617701.926,746412941.083
11895737.1384,27964395.4439,,52384393.0826,501113262.863
-11267409.313,45863228.1125,,704987160.745,1431438235.19
1812357.13907,33484917.9115,,752744446.362,180624444.335
107698419.75,485344119.198,,222093927.437,
107872632.662,219286366.936,,563488757.343,
-328758.183655,370552897.218,,757735247.647,
10181793.6399,167014283.789,,99553134.9883,
189751539.987,61624675.7161,,571529093.267,
13690594.8952,562890881.61,,107978536.324,
269506860.676,289524049.953,,371615458.677,
136616019.994,72018769.6494,,602397529.108,
-4386711.13017,81676923.0182,,418456442.754,
15945526.5104,87704980.1612,,161403827.279,
124315653.821,431004482.3,,849964742.706,
23867101.3942,14192352.7644,,507022257.897,
43827684.7885,439781893.437,,562192088.547,
46037906.8546,84948928.1912,,320804550.231,
1688900.29862,33114680.5184,,145995293.656,
7507861.98372,319887014.595,,40509684.0391,
31545055.2141,368277799.079,,479243778.695,
80457053.6324,293149981.769,,433813755.718,
15066632.7234,183109374.105,,123696771.379,
4980324.35979,151472651.989,,404628916.254,
125622182.185,-14105489.5059,,195906611.77,
184535.629176,177334567.094,,710313551.844,
17229074.7842,14974097.1951,,473620201.261,
108551933.287,10304982.8917,,232581258.711,
59507082.1497,57998703.8854,,579598462.975,
8271826.11479,556812667.983,,436293699.756,
30037478.4823,404170086.191,,516726696.627,
6518709.73112,251947676.726,,623711924.934,
22583050.2278,67668061.9304,,164902529.914,
-3540314.10276,370706464.363,,289413178.684,
-744890.426988,80235203.7184,,174104352.221,
11918304.9232,79597297.639,,896064031.085,
77791783.9247,2143176.35098,,56656224.9286,
-1572266.33996,51541705.9366,,258508131.2,
29850014.0841,235728008.595,,766280256.715,
271106957.566,113869650.59,,599497285.434,
6065253.1138,21814879.9182,,748558126.687,
3398574.95991,8872508.19098,,388771776.982,
16943299.1701,128587759.546,,168216851.491,
34210846.8744,49996270.8872,,245354783.984,
6656419.9962,12571329.909,,436057009.478,
14878813.4682,189579061.245,,338044895.802,
2751949.17909,20224664.6185,,544353270.004,
6561401.5733,48899981.5636,,814033511.038,
24839916.3538,512710740.448,,326488388.115,
8536850.74362,126251784.951,,,
9480237.91944,55046805.0983,,,
354854837.304,585477521.015,,,
76201166.3799,471901.836663,,,
21818052.8614,82296377.1099,,,
26106710.3688,255700790.134,,,
787322.010035,16346732.5014,,,
33859810.3302,204774190.279,,,
0.0,35646639.0398,,,
157412229.251,156510876.319,,,
24918244.6258,36516077.1289,,,
55887343.4765,21464329.5014,,,
88888766.7915,93232877.4686,,,
1712998.79674,41017440.1314,,,
-1939601.37946,73229651.6629,,,
25308412.8013,322642899.889,,,
41835656.2199,50774777.7941,,,
56770518.7321,-3205198.64245,,,
-2146451.54314,52831635.6179,,,
5418028.4353,100484857.274,,,
64501438.7058,49654692.6407,,,
34481505.3752,76182695.7686,,,
96518743.9823,165177192.063,,,
