Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
77084078.3841,64339140.9654,848539500.83,1094360787.0,125589998.133
135150118.748,306612018.021,48547396.5599,101717631.854,440694622.977
110709641.825,310747879.154,253925798.902,187494403.966,1138559606.93
13414872.6505,28538000.8439,301029836.218,807959071.878,591484707.537
15221169.2896,17426640.0276,164247928.897,517289218.752,297289519.538
26514604.4238,119401887.307,5353129.93357,222242184.359,114541123.498
-5264759.93818,344746053.144,329733620.896,141322505.498,394824520.441
13164524.0726,100238023.278,155383035.435,96844247.1503,142835496.992
329230667.709,176692568.137,136205734.954,365997116.973,1384564425.79
47650416.2166,189584628.308,45365011.1541,354507120.733,282042925.304
28987654.6898,326791400.515,340085410.515,258703047.256,897175739.083
50814677.2278,19148260.8143,432669814.963,496604165.483,793220134.849
0.0,496395934.379,70874352.2952,363795612.708,108407339.834
38451239.3642,228381628.919,96641288.7457,489883358.915,161619377.157
65925494.3298,391557821.959,27031932.709,265853999.474,315360375.505
19122001.1172,29989233.9711,350677652.976,298912556.022,183788266.075
35220132.7502,91843040.6174,304126331.996,256413494.271,229794722.202
93533565.9819,527396032.879,61797600.1916,209029035.57,615516974.709
115634270.231,5865076.95084,134462484.022,119028814.922,128741843.964
10327963.1075,105420005.14,114225123.961,481550356.623,236269958.489
0.0,-37535481.8768,530593783.966,284275358.811,205253629.885
12123588.2534,6405284.13161,354074531.103,289832971.792,316797670.055
23617884.777,134220197.856,387507634.174,309924843.063,382716470.384
163758075.905,255110133.057,85946021.1764,598249157.273,291947784.125
352811307.114,227927910.798,21179813.5898,188242325.561,519289442.652
21176334.7334,7006201.44024,115916874.841,346705696.544,300175553.147
38613985.7311,126932038.017,101583166.915,706770198.76,240543512.389
53690639.3377,405131057.753,304140435.56,861054192.065,174910926.458
8729701.93672,386426650.282,258951498.105,178842022.721,473394333.201
31292864.9679,78755626.4164,46304225.9513,256891047.059,230209786.335
103207649.186,390309077.287,193001731.943,246202205.556,332914729.33
29269798.6664,56454020.411,7057816.97394,136938197.337,299952469.327
23980669.1616,11160252.3302,207704842.111,411410011.133,419917028.35
80283640.6058,590824274.825,246181836.791,347714360.39,404657986.215
73726225.7432,487808771.938,150254922.175,80023815.0023,558099706.011
43893135.717,17040649.1053,224983025.697,145356779.597,691684453.785
726218.335864,139649701.219,529191250.927,128180636.162,653655649.81
61519049.5834,624654752.07,21624120.2681,403649749.139,676822804.654
8236812.44142,176753264.919,105379378.83,427532893.797,243846121.655
68087519.7001,170964279.277,164358273.06,57818611.2658,235355968.602
59470248.1833,135392076.199,263214354.983,225709484.007,100783527.571
5442596.79583,79918868.2643,82288222.513,331809625.147,113647323.204
22578186.662,18754871.7825,164232011.328,98441227.1884,643465157.254
70645912.6775,192516790.324,186327296.939,273300829.164,286025775.079
52761434.6991,309608999.775,277961799.393,466850940.939,232734061.095
91316539.7659,282760721.403,24867873.3526,286176413.119,145490732.132
28834794.7626,208041017.975,145161705.004,684131233.71,430312553.333
114156293.013,479530252.511,163885471.602,469557076.921,224273247.862
66063382.9994,137743982.39,89143986.5218,801100987.195,279836727.034
34348020.3548,33525977.6148,289146068.61,-13418396.4241,598386119.249
41290480.4835,66830843.6458,43426596.543,1112518156.0,160071183.744
22167147.9928,322457880.782,151445894.288,66957184.7929,257337548.91
15717638.2521,264496674.975,92452559.3122,549011734.588,126184552.052
56452554.3688,87345022.8263,155350599.434,80416615.3996,280204741.335
5241679.71368,264764165.772,326570371.428,443405786.871,501105901.052
6389421.70938,17246875.7359,132044672.702,343430941.151,259526216.106
253566793.561,311705582.288,311483370.583,138571021.46,264855531.951
16638448.2814,245036437.173,107578473.565,283153603.105,298144920.079
6734735.58901,59056953.5574,65325812.8111,529860424.244,317555620.082
41807363.9209,341910970.7,685188453.075,719118800.792,270661942.659
58465285.611,149081694.659,49644200.6441,802487717.793,797052050.977
68257999.2522,267477244.711,62694141.5784,575050666.605,467391364.476
35194086.2681,82194374.5281,88099590.8098,219759720.719,589625231.731
29317751.1033,111553455.169,233131318.507,61071126.6126,206543501.073
44574937.6365,18436849.5731,256599682.236,100207209.94,304780312.053
18934057.4464,265506646.536,304907251.609,184880608.833,424072613.51
257864204.368,184603181.014,45994899.9002,1516681408.17,156504615.643
30936316.3971,0.0,140150058.568,510383541.009,294633180.067
7746023.20762,236101021.199,200494712.908,181304666.198,173394761.949
41778296.0774,73085010.7715,482836885.59,465080539.604,114948738.286
78175743.6779,407360603.958,87625631.087,357497468.557,205971853.302
199838988.115,46852517.7352,27426744.1818,455667014.979,159396736.491
24040714.5683,-9245645.07145,125308001.569,62986206.8055,121053585.727
148180750.979,16265473.2426,240054768.092,301195675.102,491429426.918
29377810.6983,472110217.727,413924243.013,95792344.1998,125420049.982
26498091.9433,460302657.029,9128076.25878,321819222.468,219654114.752
76731959.4953,354855732.954,80960763.6664,422768206.516,445643373.871
6265805.4355,427077218.633,399327826.383,638429036.479,149574879.7
26598183.9149,205292788.836,197950191.757,635703528.286,268418767.245
26977649.1639,301431528.076,208867118.992,309833749.329,95636758.878
1566363.95567,19011206.0757,67310568.7252,907360496.725,286622875.196
128852155.25,136637445.809,242612950.129,212521807.29,307840630.419
1271528.88249,227839795.003,111110317.122,138673922.675,784775123.08
26748978.395,16134132.1492,16221218.2761,469639825.202,171351914.497
1892776.258,30042956.4463,245600760.147,226737161.156,193054391.578
2826460.70257,395199274.658,374947296.411,581905712.455,295735167.988
0.0,75272728.1153,89269695.9509,629608963.544,524146069.031
145689820.218,306850753.642,367187260.52,540370130.001,302073613.993
33289321.1202,464753606.252,303755329.159,77615745.1396,221905921.392
35145167.415,75468374.8765,303166545.159,140055041.077,162539463.026
64306909.0091,4139271.04673,327701623.041,474324065.048,377882048.742
50671147.4055,19279991.8434,206652407.789,262892021.538,261818886.037
23237692.2431,116516521.04,285247975.458,377129723.639,230753318.907
9779073.21074,13138240.0963,522322348.504,35838430.1726,197627003.499
-516032.025788,530071802.607,99584980.0536,569307991.917,392083358.429
112377672.283,108883950.723,450252769.966,691821441.505,583404920.483
18080600.7635,179319865.221,57608490.8329,312947484.817,445348255.658
18889780.8992,21344003.0794,209331285.734,274085960.237,272753234.409
35735939.9072,404506825.778,171470739.444,407359330.18,168183319.777
2654416.41257,23872181.3561,149926619.465,412397260.746,463277388.392
28243565.9937,111593967.664,131532870.627,494050334.593,246382836.594
23919771.7044,1912416.4418,98050669.0415,444988777.756,499094270.256
15982848.3632,474546082.581,109458847.166,624876214.041,770816819.974
3126200.0637,56517088.2056,63542819.7649,531323868.615,503406773.579
37036635.483,46529483.324,201262018.749,805582699.601,680238260.38
70341286.3399,524450158.294,48040150.4511,542272521.002,293435069.833
101539273.624,21735437.646,129371395.137,424731822.038,252413791.056
101123279.641,30817564.4573,671068864.152,-47263729.2229,482335880.843
752441.407626,474063995.46,130542160.163,395841118.528,484804026.803
9814137.6167,258198095.793,71060219.7627,272817628.256,125107066.65
60633520.8504,13738592.9917,92239912.3727,64167387.9969,399413155.604
21296086.6818,379966036.354,153842098.141,277025588.855,290013528.527
45707351.4118,-26272360.1851,962088611.655,346753623.297,290948818.884
18738096.244,574740044.857,40689074.7209,922173075.823,270509059.364
340091.654993,74677614.3415,157364089.178,172022521.692,616370751.687
23268151.9119,37646334.5132,277337216.989,391459420.957,242996780.704
8034517.96152,5928607.12689,131469186.998,206304622.899,394752450.301
21241292.6054,122067492.549,255619310.011,340021366.07,309402356.661
70866051.4857,77162758.5753,171908082.205,367491994.518,570024216.131
8036324.37831,72988610.2162,168629100.25,472698053.435,232906683.191
2413178.69306,121454921.571,490866474.463,63015186.7729,447863427.768
32533406.6315,38285749.114,32961170.3159,101928245.09,431684846.467
28965263.374,276669187.985,740250278.748,48049507.9335,514320063.628
79536354.3872,475375329.084,265346084.765,298822993.686,237503096.956
28960601.5517,140781600.494,127911744.525,794904994.34,392081221.546
-2389036.05156,40091629.9305,18374590.0932,132199488.157,688416108.748
30826849.3248,44015091.0137,86115096.712,252265370.035,595603228.185
29117949.4449,704843276.193,34637846.4305,473050198.496,203680092.785
5221149.58555,149637391.52,279851443.934,221497041.786,329221906.121
18389069.3055,16024549.7538,218262804.909,300965815.622,260035746.731
149158276.318,48176292.3465,48115015.619,399150270.205,311942495.447
2149041.62847,279800517.99,261192249.393,271933978.228,136047782.29
184100564.059,4474921.20289,383285181.758,505710589.564,463859539.549
70551721.8684,134949354.054,154537920.441,1088914942.5,806927177.14
68684254.0404,296617474.319,139526021.941,786360130.315,379373513.025
98027201.2931,-10160980.0617,,477922637.263,138317960.56
98680937.2699,12847027.7991,,37231671.2103,294482206.62
31831373.5223,45929242.8301,,313927915.946,173394469.873
11853471.4538,25763259.0208,,184439991.224,279264736.734
73994957.0425,6253674.97802,,240883076.165,128768690.839
2594641.55138,86837050.8293,,716515463.225,181326671.114
0.0,174667431.104,,28904829.9873,295138512.318
59874276.6399,497087676.159,,1063337461.57,791413707.387
37920059.0377,312555791.904,,155933984.522,374398797.254
3870954.63657,409306286.322,,569031124.271,144937549.85
71534867.6314,101041981.644,,68274582.157,171735181.599
74983927.5158,147160916.648,,129182749.206,461345049.433
31183228.776,11941045.6054,,364987897.106,575783909.057
87202702.2358,100102789.914,,138485846.825,
111769538.17,386353519.112,,504586022.909,
83582889.7279,30850986.775,,339708606.794,
18300395.1872,202200046.279,,211795731.851,
-6664981.13739,197919395.946,,770523713.336,
6249688.42761,40653726.507,,301196950.442,
16413250.0462,-41699011.567,,394537754.719,
18546200.323,4938718.24245,,483845313.776,
54989394.8646,59476142.7467,,335551478.967,
251985893.448,94452103.7272,,374680114.399,
19899355.383,323467531.949,,-28388144.4712,
6236962.38465,205604156.47,,813707287.847,
22455360.8819,63553180.1286,,214189666.146,
12549687.7793,324250795.407,,433603826.721,
19532339.5957,346902692.836,,587906379.895,
15856790.2566,10869659.1521,,1077476043.13,
62725735.8069,566350587.868,,51882274.8613,
13016776.7094,378726114.701,,464550535.541,
88456453.4727,494486107.632,,372427307.538,
1157234.05638,470028000.16,,149419729.576,
111285946.475,558378419.602,,565949031.031,
17553978.3944,74057063.533,,273525565.563,
51631416.207,384053983.152,,196810275.153,
39084085.0854,165404943.188,,103788022.814,
1127111.89015,474132332.069,,52606232.9628,
59947885.2883,99121304.0496,,596744719.222,
65514958.8803,6452537.56321,,177910864.836,
8377153.74308,1551617.53025,,607286849.032,
13194543.4107,63235966.2055,,272248120.563,
61293497.6997,217140915.894,,515456334.822,
44416611.3325,99524013.1307,,198228163.495,
126746823.28,524771042.559,,425856954.579,
165821722.972,176896026.917,,538702682.913,
9955726.86993,153292369.148,,163780288.594,
2078479.56814,16565146.3361,,83187860.0291,
64037083.1037,128959156.02,,185741626.67,
31686644.8457,22187823.1386,,314882872.458,
36173584.8419,301915762.506,,330726100.88,
65706546.3702,16318250.8633,,242862353.511,
32135407.8001,35761252.4598,,130134930.641,
13455366.0007,34197761.703,,249313651.742,
71195064.6762,356960879.498,,391494779.813,
6399118.45851,86079724.6224,,363290313.667,
16860732.6261,90686453.3985,,684271411.239,
39197809.5678,250531609.175,,821289801.595,
7111598.28444,692488291.082,,243069644.159,
-7651658.84499,293921153.781,,55654406.4401,
154744564.941,249665135.551,,338979011.126,
147516692.7,15478783.2868,,178615435.875,
128313456.734,467542426.041,,284225360.377,
45479428.3013,219194828.336,,347325694.418,
109875535.411,-1429202.72582,,220087707.814,
15816545.6137,235490242.731,,652704725.291,
64406770.6012,114305381.534,,318193713.304,
59563107.0815,357601337.142,,464195539.916,
391613424.055,58416268.8848,,322463027.809,
21482802.1195,5612756.8679,,398736320.049,
43904598.558,-12686664.773,,272413207.182,
1713528.62758,141117698.487,,705929551.104,
16814807.9513,119513602.11,,631803090.541,
53802437.2618,152721428.753,,505112294.911,
58173612.0267,239495803.153,,400153612.946,
-2829594.87694,0.0,,458304051.408,
15957324.6673,92989884.9842,,65350569.445,
34403418.4275,48168975.8178,,5113283.41316,
213494719.38,6255885.45255,,274445902.916,
-542794.886839,240846945.293,,298039792.603,
61501861.8894,4100578.30767,,376322146.551,
0.0,358670434.49,,270699794.293,
68782443.9204,60206941.1797,,117070545.358,
-1095786.54199,44804830.3189,,488052627.142,
137822067.079,56890833.6811,,476335835.015,
23751498.4137,158969373.16,,402909397.453,
127072254.779,159076344.725,,145419948.515,
201604746.948,284336832.992,,852494693.408,
79178357.4756,32652210.1905,,389612062.066,
58078414.1189,44840131.2903,,1061071337.97,
84686985.0142,384407609.443,,362419224.594,
29415497.1157,30176056.6721,,146143503.374,
38765125.9234,-8856039.18989,,785458831.827,
56436024.0882,364980669.196,,728229306.54,
13160699.7102,253457009.848,,427822865.925,
20959897.3833,27289510.1884,,108493687.117,
9318202.32134,129280143.805,,449645941.976,
6580826.59749,152821716.227,,191521163.167,
27316565.5082,469612896.198,,615790775.282,
32519473.5229,24893733.5778,,258272555.488,
88078729.7247,7026031.36056,,791428778.849,
28285902.5478,69827436.1716,,95680260.1972,
-10916671.4063,204111967.191,,241757329.633,
53279244.5097,102686927.915,,115551033.568,
34283147.9177,159404427.803,,429591469.778,
7317903.17654,283194440.892,,211968575.95,
35755987.1918,7276164.39907,,344154753.228,
-2216093.56319,90557933.3416,,956106019.39,
312105340.945,326757555.941,,,
34887922.8812,334518538.914,,,
81426513.3852,137427026.014,,,
60531636.0623,390175278.429,,,
77553628.4295,76077447.2741,,,
101866696.939,48146011.9854,,,
-5864184.15264,201270645.68,,,
16009428.0591,36450576.8273,,,
1551315.31804,131019353.033,,,
21251645.887,10640428.9142,,,
