Lunes,Martes,Miercoles,Jueves,Viernes
7.50293748534e+11,3.96345600378e+11,4.89626234967e+11,2.69655793598e+11,2.41110536039e+11
313773918.43,1.08141250305e+11,3.95406320079e+11,3.00356243004e+11,118544677.82
6.72493041229e+11,6.21674395976e+11,2.52214011495e+11,3.94472003515e+11,2.39327182256e+11
2.32393618632e+11,5.92902449813e+11,4.64939831589e+11,6.45444473431e+11,86313310.9537
4.13092454911e+11,2.45113245032e+11,2.22995011689e+11,1.08804997757e+11,3.56263398781e+11
7.24583365331e+11,227385055.0,3.98998099095e+11,6.78664267488e+11,68577868.8124
118815173.1,2.80692164397e+11,1106242598.7,2.08831563639e+11,5.65981869778e+11
7.80664008769e+11,1.63277244998e+11,4.87005792099e+11,1088189998.35,99033216.0165
38395397.8773,5.28896922776e+11,1.72827227687e+11,3.68720325295e+11,234268726.92
566777905.83,46258262.1796,4.83937883899e+11,3.02951522259e+11,2.63700573201e+11
1.69568047873e+11,3.92746445977e+11,15054842.7058,2.30396728003e+11,70133383.6118
3.36745719068e+11,2.31624050655e+11,4.50032105657e+11,1.05474884644e+11,3.52533517571e+11
62202307.4043,81803986.7334,6.19605287756e+11,3.29754746062e+11,1.55064114838e+11
523148306.25,4.44560920727e+11,2.15113497402e+11,4.69640020337e+11,3.90733753426e+11
4.64927156288e+11,6.43523234219e+11,4.27403668079e+11,3.10026342971e+11,2.49182373902e+11
9.79959456445e+11,22147609.8209,67493117.3114,5.10748125136e+11,9.44613751484e+11
9.05263688714e+11,3.74883842862e+11,2.64856023826e+11,7.72530459723e+11,2.92886687976e+11
3.93903482424e+11,14868730.6045,89369297.6531,4.64754645638e+11,2.30152721825e+11
1.17573248996e+11,2.44252125498e+11,2.91529342929e+11,4.67603753495e+11,2.26688180574e+11
307314942.8,5.82237411346e+11,1.27425571509e+11,97929218.5845,1.84093654783e+11
4.22706583695e+11,4.12690860485e+11,446163898.93,4.26649265598e+11,2.77241346071e+11
4.32426746637e+11,7.55239802055e+11,2.39645301939e+11,4.24625670393e+11,314463404.75
1.44993438398e+11,2.07727938367e+11,59062183.6341,5.14614775368e+11,2.15348021735e+11
2.22049860048e+11,10086942.0386,8.03907770991e+11,3.46630293028e+11,8.02221408614e+11
9.46145070167e+11,3.97937956889e+11,2.55385669815e+11,6.36012698337e+11,2.45747040963e+11
2.73072806054e+11,6.95126245516e+11,1.72954562826e+11,2.39900900693e+11,6.54879410662e+11
96493171.5995,5.50182274963e+11,4.06522770407e+11,2.43713883112e+11,3.17479888362e+11
3.20362288343e+11,1.98275245952e+11,1.41952821819e+11,3.68522884958e+11,2.22524345563e+11
261029487.15,9.32380209856e+11,3.64320317647e+11,1.52228159205e+11,1.96745733204e+11
310740708.61,3.00331477091e+11,1.39160564969e+11,3.01153386922e+11,5.07212409652e+11
2.31582878711e+11,416910874.58,2.77093790664e+11,2.94558314925e+11,89991153.2401
3.30600697133e+11,1.34254548495e+11,7.23614415717e+11,37295895.9538,167818778.5
3.27754042398e+11,6.45039611809e+11,4.23642410879e+11,4.21467709585e+11,2.71391858775e+11
3.37690645445e+11,6.38842526237e+11,8.73321910291e+11,1066689706.01,1.78663979965e+11
4.56289444136e+11,2.03377780738e+11,4.88890677277e+11,3.96124360192e+11,4.00441677165e+11
2.56708137132e+11,277682110.78,3.62431159393e+11,60720086.6806,7.43535465864e+11
4.45287146865e+11,2.59685852072e+11,1.78586453394e+11,298065571.32,766891269.97
2.60271660179e+11,1.43487343313e+11,100974011.68,1.69984284638e+11,84093416.4932
4.17083752298e+11,8.52586353744e+11,2.52874826172e+11,8.69027495559e+11,335557808.19
14361333.7489,7.02598866873e+11,3.33387822706e+11,2.85144729676e+11,5.32780335348e+11
4.04333011932e+11,3.79431607421e+11,2.14130699861e+11,1.06751444255e+11,1232832708.67
2.59800748088e+11,322910089.68,1.46968063542e+11,2.12252504315e+11,7.50819706774e+11
55976732.6711,253495994.29,2.00326838625e+11,2.61417468486e+11,1.39816056419e+11
4.98917172419e+11,2.56853018589e+11,2.54894151323e+11,142380831.58,2.54200749791e+11
552015860.33,9.81567583903e+11,5.89819300992e+11,5.26726925242e+11,48496523.4273
4.77759695679e+11,1232870746.78,4.83540134537e+11,5.82339333299e+11,3.85095352627e+11
1.91049471122e+11,74004291.9173,1458826192.31,7.02990163242e+11,2.63045648047e+11
451561285.16,1.48080732789e+11,8.37232516635e+11,4.67976402963e+11,8.83463835567e+11
2.11280534359e+11,5.66956990425e+11,1.69307897917e+11,6.81036326156e+11,3.31411664118e+11
8.14502078084e+11,5.05197552283e+11,1.47903790251e+11,6.91709985133e+11,3.35659910399e+11
5.93178968507e+11,2.08889537732e+11,1.51925612965e+11,3.08652048331e+11,1.40248408909e+11
1.57315167375e+11,3.32822746931e+11,1259482262.6,4.01998411045e+11,102027090.56
2.08211600321e+11,4.36904205023e+11,1.02791787868e+11,8.71943405298e+11,4.70429340425e+11
7.46950395131e+11,2.12489118339e+11,2.75815624249e+11,1262858354.09,2.43009541758e+11
8.60648964766e+11,3.57176306785e+11,2.32100130107e+11,1.98046845731e+11,4.98283266639e+11
1.94339721377e+11,4.20568950511e+11,4.01761488717e+11,1.15704231088e+11,6.66533712504e+11
1325366889.93,4.45098054101e+11,4.21961720722e+11,2.28449651242e+11,850976.313561
94691333.2614,3.39750783704e+11,1557039112.68,4.79074450833e+11,4.99218056265e+11
5.15723278799e+11,5.17195689453e+11,8.83617701926e+11,1236373180.78,63591197.8602
5.03353322983e+11,2.18404488255e+11,52384393.0826,2.32368535043e+11,484088855.97
2.60665174931e+11,3.98004062631e+11,7.04987160745e+11,918944646.13,2.94437510754e+11
3.43897520359e+11,2.85521965604e+11,7.52744446362e+11,314423634.18,9.23618643099e+11
1.67268726366e+11,9.60630687204e+11,2.22093927437e+11,3.64382288342e+11,8.70084941283e+11
9.49821661322e+11,6.69676879124e+11,5.63488757343e+11,1.87987601291e+11,2.06423342131e+11
3.62700873931e+11,1.49032530693e+11,7.57735247647e+11,4.10674612062e+11,2.12903564495e+11
3.10373989082e+11,2.33693621384e+11,99553134.9883,2.66992315176e+11,1045463690.37
6060162.20498,3.96582183803e+11,5.71529093267e+11,1047511920.37,3.24224433573e+11
6.46695533924e+11,4.76283219059e+11,1.07978536324e+11,2.89772927865e+11,2.23364668748e+11
4.87488663191e+11,5.54822240347e+11,3.71615458677e+11,6.97926674322e+11,1.41050555565e+11
6.08024543415e+11,2.84519278991e+11,6.02397529108e+11,2.66217051266e+11,8.89768351748e+11
3.37638925389e+11,3.87008237835e+11,4.18456442754e+11,4.64844485583e+11,6.97677904983e+11
5.22214267885e+11,5.56651534734e+11,1.61403827279e+11,1.73415606358e+11,30143572.2478
4.05059939899e+11,5.47514150037e+11,8.49964742706e+11,1.44556705567e+11,1690917514.22
7.12357982522e+11,5.41790834008e+11,5.07022257897e+11,9.49186354625e+11,4.19364226354e+11
5.19247658452e+11,5.35304746115e+11,5.62192088547e+11,200676462.75,2.29932322958e+11
1.75137206952e+11,3.58057460537e+11,3.20804550231e+11,1077187455.44,7.53445092107e+11
2.78677980701e+11,3.91962132627e+11,1.45995293656e+11,2.87044269085e+11,2.56606284103e+11
1.56705116387e+11,7.13306266968e+11,40509684.0391,2.41679339963e+11,3.68517706133e+11
2.25297769685e+11,5.28989453353e+11,4.79243778695e+11,4.31010317178e+11,7.90130677372e+11
4.01526090337e+11,2.93940734785e+11,4.33813755718e+11,4.87358214414e+11,3.67835145185e+11
79878938.6544,2.51846139337e+11,1.23696771379e+11,6.05984316216e+11,355265311.73
8.87150070434e+11,3.49170754309e+11,4.04628916254e+11,131549584.9,1.51741583302e+11
5.13172966785e+11,1195007338.59,195906611.77,257272191.39,1.10382574619e+11
56615071.5976,93693212.2963,7.10313551844e+11,1.56949753353e+11,6.79741162639e+11
4.32251982932e+11,3.10584310681e+11,4.73620201261e+11,1.53221172399e+11,79940882992.0
2.55919288418e+11,2.01475206146e+11,2.32581258711e+11,1.78496667583e+11,1.95913154647e+11
1.93502346757e+11,137335849.26,5.79598462975e+11,2.71830417964e+11,7.96142791558e+11
1.04006486821e+11,2.52510615264e+11,4.36293699756e+11,6.85726816881e+11,3.55585036242e+11
4.93588679672e+11,1.27769659867e+11,5.16726696627e+11,6.10690997102e+11,2.83105665383e+11
1.44000759745e+11,3.76331429116e+11,6.23711924934e+11,2.40926744615e+11,6.52668797588e+11
57299139338.0,7.57838511693e+11,1.64902529914e+11,2.90387721546e+11,2.28000425038e+11
7.10552028426e+11,9.09663429799e+11,2.89413178684e+11,6.46315278394e+11,2.04527327338e+11
6.24176897805e+11,1.95149118562e+11,1.74104352221e+11,2.80410194875e+11,4.18391334588e+11
1.25971779788e+11,1.78900942598e+11,8.96064031085e+11,404456638.32,8.22944214084e+11
3.44602421233e+11,3.02447940787e+11,56656224.9286,2.28107825465e+11,48132985.6494
926667775.97,3.14431599951e+11,258508131.2,2.61845770337e+11,5.30786433242e+11
5.69290007274e+11,49612965.2043,7.66280256715e+11,1.45939979501e+11,1.99611631899e+11
4.13219297276e+11,8.66785491224e+11,5.99497285434e+11,2.40715854331e+11,6.28831174617e+11
3.62714647874e+11,1.82736151907e+11,7.48558126687e+11,307361240.34,4.62679306594e+11
2.02862814689e+11,2.89629171981e+11,3.88771776982e+11,78607072185.0,2.52306025133e+11
2.53915138198e+11,4.29655512835e+11,1.68216851491e+11,2.09596478733e+11,7.07499271862e+11
3.27059725273e+11,5.12829504959e+11,2.45354783984e+11,1.46395919316e+11,33045193.3708
111788668.88,51976409.9781,4.36057009478e+11,58883503.9067,5.41670025654e+11
3.01530181912e+11,365554556.19,3.38044895802e+11,4.18953743932e+11,6.93243678617e+11
1.77386566499e+11,5.45662935809e+11,5.44353270004e+11,2.35217129993e+11,5.00780347962e+11
56276794.5486,4.66556016169e+11,8.14033511038e+11,6.72010364989e+11,3.53757159179e+11
2.09681288269e+11,2.13767671685e+11,3.26488388115e+11,7274320.02683,6.20697442114e+11
2.05683261312e+11,5.78900322319e+11,2.89171626662e+11,2.92139518329e+11,56276684.2499
2.40582808528e+11,6.25178385569e+11,9485289.68046,2.41971703305e+11,3.49173821483e+11
93479655.5941,1.65350069608e+11,4.68507331732e+11,3.46114016178e+11,1.69244327397e+11
2.94776370207e+11,1113280471.58,94715735.4832,1.74653582726e+11,5.31041170056e+11
4.56227615263e+11,1.80993116683e+11,1.23078872244e+11,3.31039377448e+11,4.82710412619e+11
201946107.14,2.10102539348e+11,64312814.7259,4.39668373019e+11,50839508.1172
9.18735615677e+11,36177893.5444,3.65417571447e+11,1.67992515226e+11,6.07867834299e+11
773538075.05,1.93383335198e+11,1.85213472591e+11,2.92723850135e+11,3.42774599079e+11
32056033.0714,7.70066130977e+11,4.83874175345e+11,4.41734263792e+11,73350127.7713
