Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
705863319.254,76251549.3511,322938584.564,368253598.236,845624469.613
279069527.261,288163114.241,367051169.312,222960629.064,459882531.013
328106309.272,33479553.4297,1770213338.29,3588247.91238,471949404.51
185973583.439,427893631.81,982993635.347,1519016727.49,241588555.539
324950134.656,492395126.969,1235499516.21,137707315.574,724034749.958
164499950.929,393317129.704,1542072504.12,57404658.623,196543271.161
334675723.504,465693616.932,1412721056.83,189047354.169,665844514.266
464144106.027,7945435.0711,1519879617.19,99508482.0253,217079041.346
741752897.41,182393200.214,589842906.69,72776423.8664,170824105.43
73481790.5511,4214717.64139,472805614.273,495120052.882,543192050.936
352989412.486,280309974.37,2661072772.61,577092685.205,378820249.852
224506573.648,502808757.09,1286810725.27,163277925.478,568435896.752
253708979.54,184142253.159,1302961645.08,156214893.564,80740946.6889
312193224.813,504536386.941,482889995.589,61966043.8686,377284729.078
95133643.1659,226847860.708,385911612.105,171523194.604,306150874.336
159884027.285,728689132.591,521428978.513,179259826.861,217016425.347
148210497.459,609903960.94,852667841.55,94599827.4558,440661433.037
153426529.42,251819236.442,1120651925.97,210242293.533,779851490.643
1095367323.8,399314478.072,992403565.881,-10578491.2773,769614039.698
74334028.8386,85020573.5307,1039541827.18,-9066416.67008,466259188.95
391556285.986,359880757.799,581647746.688,180618374.746,105602262.864
109721546.815,323246359.649,715849502.103,186292347.472,72956206.5174
295892849.426,728211121.572,806399467.644,529524651.188,1044170587.67
100628598.838,597672710.394,479958608.542,57403016.6081,280823632.527
302104133.513,293913534.772,1301099520.59,209738096.054,838033968.617
635852460.269,115147805.766,661433083.239,25451788.2284,763437912.105
991478191.626,763239498.395,996285903.297,143386042.584,189427452.571
1147512119.09,191584378.777,706007421.718,94059914.8859,225756007.903
1084806283.39,62438916.7883,483742052.831,262210781.855,631665872.391
393549331.781,701225476.887,1227649643.05,310626244.637,1374185134.29
441321770.142,303680027.745,1851012659.82,78614459.8928,412933323.171
433633129.802,1447733.84299,,594479200.475,76093749.1103
194372218.698,337285489.994,,672607341.188,1087868101.1
694791832.844,607596413.677,,180632285.451,843214135.188
440960688.988,557955668.445,,122899546.032,510648275.983
1258680387.9,148862180.817,,81098542.1729,32073608.3362
348927765.132,145085815.673,,139226943.241,777925275.837
1356039479.18,666249950.906,,732853897.443,76782988.1691
1024659794.67,439628186.678,,478527985.159,431758072.424
469209884.562,476110129.56,,52418831.5777,463126030.314
133891536.359,517425512.22,,167954325.482,29051356.7495
1077270123.3,109379550.324,,224576351.874,684105248.024
111675665.956,-19897925.9229,,214477379.081,261314849.151
234513598.748,289246490.924,,404427678.619,763555717.622
133156854.692,506674960.153,,85809601.3237,443107997.277
403661549.555,54311771.9045,,6656483.96744,132801677.132
171368871.075,135369946.854,,91907232.7755,165487023.874
302037842.41,91048170.1234,,911465120.784,490939960.633
221622152.784,110635275.274,,103922859.186,582301425.832
302784348.721,184924953.941,,375094796.392,154331205.883
105082848.421,289776897.762,,25716549.9015,410310943.279
974298785.161,519833670.782,,102502547.011,549186696.887
268225180.783,263341650.679,,129508566.108,972913996.313
374100717.979,101247295.29,,34008786.9293,630377841.778
119579167.193,7739348.55145,,121747950.994,580865825.75
208132372.67,101730646.31,,146613045.812,1021803483.04
209830734.93,574290186.664,,756843241.34,244758135.023
1065511014.03,599316085.724,,182864489.403,134692141.444
303956368.768,193262098.002,,228973342.877,294727051.132
138624999.015,73853014.1976,,101482811.047,594239806.254
488835390.195,176977236.696,,140558483.482,208212526.432
232821255.148,241492090.494,,338375430.285,320475346.433
174313998.797,-28776519.3585,,0.0,515682492.993
305672221.392,297928099.797,,467662329.687,1981031657.77
112997990.538,126249440.872,,376018214.26,2264234082.42
296109716.736,187434795.039,,267793671.953,461236632.934
221684300.92,8951356.9526,,194841879.157,1146713723.94
505202441.382,-12852206.0117,,50641901.6367,433579231.624
617073940.409,133739885.868,,53479457.0028,1026442193.07
290174410.598,506488957.69,,138825694.697,324550573.953
472986583.734,185628074.942,,376849270.071,454690067.613
81886508.2573,39932822.3486,,456764828.402,1055835358.7
365061519.061,148571933.55,,522572732.424,192190215.777
60550877.2659,873193162.934,,50007388.8125,51690006.2354
43924582.3948,698070010.982,,206491041.162,1831983312.91
