Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
206572783.836,312052409.63,3563000131.96,113600645.985,303694701.76
124171910.688,185297716.829,715508711.731,125973747.267,231930142.004
134202606.685,39889860.8784,208844967.298,106763445.253,340093627.978
681703804.052,300644813.298,1707165803.07,36628999.0405,268453824.673
168005079.579,303946552.197,271997923.023,18197714.5001,89835383.9887
122249687.436,108956297.948,2121764252.1,235186884.061,680527197.996
240451309.173,546364346.685,429754760.799,-2758123.63336,367939069.14
299851658.659,135406206.361,1806992859.96,42442961.7375,195171892.825
871935435.857,278888357.812,281812972.474,11086642.4527,260735487.553
482989047.858,511585855.779,75296286.1575,323859375.667,1112040655.23
131140249.123,93835551.6515,559300671.56,88803751.1614,792504412.675
155428418.218,582456574.294,1169400151.3,177370990.722,842780500.238
935675818.61,327784804.71,1022219065.48,508273680.982,182809785.253
1047167528.61,552440212.474,529290247.685,151429783.309,632815274.621
35149355.2105,122570182.885,856732400.585,118744414.81,126363579.079
260499572.399,266869878.336,1051848602.95,107779689.635,348003133.389
243066960.889,393672253.362,903582612.928,137211626.417,22751426.6514
20783394.2056,143698632.238,941064314.421,614636644.918,1009336427.82
742047611.62,181809581.776,1281179605.17,39406251.3176,177573476.089
145799878.218,276261911.899,610699582.528,232218741.593,158757562.704
91640082.3713,654983464.479,970157632.826,56230785.2227,32749210.9306
1697356141.72,496653902.337,200171491.931,29659548.0965,720873171.569
1044471618.13,202034028.632,1530018048.3,403732225.214,1154555726.58
679248619.952,118249307.926,1141235860.3,143170597.09,182851660.496
405439722.095,9982580.1698,713968226.039,756956932.421,497651841.435
473377203.822,110066247.529,1030779291.6,132685064.396,1586542524.45
674742226.847,130637602.31,1815568322.19,383676870.402,716818870.657
443077554.471,338820029.562,925952584.248,219084521.479,228917461.856
1377447920.31,178826987.354,616003615.282,107317246.041,374221742.409
504304105.335,74359089.5378,1214362457.93,251362917.492,123909522.431
682042077.815,663618009.454,240068171.318,27650868.3547,667404086.233
589497744.439,136412240.336,1056401707.54,130389235.061,1353189586.28
34253223.0326,585461433.868,139288815.243,161426639.223,35069979.1998
547579176.246,612250401.7,1144329577.98,292820315.741,373076833.948
274669347.056,683924148.254,513382080.671,378379115.675,1135269198.28
307645404.291,93383116.041,inf,18747136.3146,141968064.902
272153140.009,576333213.275,3436518628.81,223013356.112,751246931.957
298555201.013,58007155.0571,172163267.194,98520517.2587,454356360.76
267256451.123,1012442075.22,633642293.241,347589071.677,329774599.542
372000211.823,132380409.263,1457759340.85,124888370.838,468889567.458
632708864.521,739080055.51,514343150.48,376495123.744,660345030.086
229084416.827,350411650.912,169338825.69,154618279.779,230525842.839
1192903195.18,72358364.5823,649685248.397,304485747.056,321239505.132
778865442.338,308630517.47,2077318569.13,342529218.637,202841957.659
290028500.953,730814866.223,1335364402.6,49803280.9863,756382245.885
242252521.491,2061965.3946,1222999131.88,951068.763965,111288966.355
846171987.124,263640347.869,734146438.069,104942518.866,532297289.612
165749821.338,40619418.3323,464782379.094,39850296.0007,395031940.823
913343102.275,199565912.942,1870918303.88,3306382.76164,477850895.69
91247181.8573,545125139.073,533929815.413,192405217.406,652671383.031
309743801.487,758521077.243,594122521.653,358396765.48,204413292.37
527634574.508,201227004.534,925881928.501,303543377.274,744728544.132
214879355.705,280851995.619,995698851.356,78617131.1097,232569053.026
500306277.172,364269544.86,976916680.161,8488127.44819,206459437.832
602033408.548,85537260.5961,648113312.015,123527089.195,992508171.827
1086215426.67,604328425.648,637535046.767,25533517.1511,250125069.359
53256835.3973,111055989.824,1012359891.91,83458027.6953,159738105.751
314139064.049,505465271.952,796265355.957,966399529.995,1509525835.29
281126561.272,659558795.232,274917666.777,49090657.0524,228874997.954
1615799413.03,46781065.3528,469334765.24,199474647.21,581580403.94
93753662.8571,477372558.935,619219888.995,98978333.7034,559681511.86
132150872.696,786758034.67,2762387349.47,357960400.851,410341898.678
226652236.923,121304155.431,688365393.501,459483287.943,509274636.669
430983795.559,77296294.1928,1005814242.28,128867829.308,1277633444.35
100961788.652,75764622.6876,2342832137.54,22398485.7868,454703042.198
82201011.9575,371045297.151,1402468953.75,23475641.018,452062710.723
363115970.306,232059965.5,1622238404.39,430184351.322,356662380.185
221949615.135,-11952316.0376,369027632.046,619271913.391,431923981.525
746754197.983,71476748.892,452571817.982,114681171.637,41269719.9752
618189263.117,337781859.851,1473284381.57,395293617.13,974171410.828
468720433.089,688077893.069,652356866.453,167649183.932,160237793.32
1081990209.59,442875677.153,666156349.412,145040573.366,1026927738.39
273428624.4,230501115.039,1455891133.05,388436768.317,528762632.913
106931003.115,486742742.747,633243758.733,15927792.3229,1481938842.24
346392133.111,44102696.1949,126473792.623,66734334.2962,836636770.55
209015120.579,517656426.445,801334903.02,156955887.091,802564868.152
603938156.581,41373737.2722,244824690.399,144855858.331,284777502.737
636450213.286,21765489.8972,2493469659.2,356699892.333,580484949.503
253211287.472,19586798.115,84617475.5421,111265857.258,543098659.905
640506301.114,1094346261.95,550234507.334,91366632.4789,408732688.491
770167151.321,289435601.515,96293790.3887,314213697.381,382326395.445
404050998.876,843176566.968,379021800.621,142521987.194,625047246.941
433874843.772,18515208.353,3184325928.6,266607589.183,161318572.141
194558209.507,56209917.8536,1531173441.61,15631533.235,198845204.325
940471164.317,51223110.1809,1283580525.63,241421492.248,
762524434.039,275395368.157,1115850665.07,6031845.91797,
435476581.783,351557626.16,752992756.194,307770677.653,
1333386896.43,107569709.98,549033178.33,92305718.3536,
719073834.233,510731716.941,441486114.465,58637219.1708,
329324972.225,187517818.559,1128968363.8,418294975.418,
149060579.162,1017181282.74,1698456903.38,699882106.652,
48927201.4121,164546197.486,468410719.056,45275213.7104,
260405123.366,318653186.962,1785912719.21,445923130.151,
317006209.619,717585341.72,840658500.959,141050246.2,
149988235.711,488765836.234,620734477.251,190194368.488,
310665872.749,380854151.69,1003987178.91,82806631.1453,
130623793.832,249482019.652,345559355.597,51318480.823,
546803646.254,393712048.089,1227097345.69,809322164.776,
535283211.39,118378450.355,3577376199.67,218911793.37,
88724018.7325,599450451.008,864517275.198,19829606.4486,
898889850.959,476989889.176,777860770.924,16621152.9074,
196929670.498,283555808.713,963149133.88,278882624.961,
642066980.522,366206758.089,667538904.194,305556275.997,
94992205.023,248988299.172,141042909.545,135338798.571,
691257293.438,367924818.195,1660601833.72,250492714.379,
166225957.178,345396649.002,801686998.093,349916231.877,
1310636406.43,78414552.0858,1637681157.49,141975087.667,
286911458.958,367196315.231,954483023.627,117047112.985,
1976099851.07,27353369.717,1519703746.09,33506924.084,
41619126.0104,162553918.194,495846102.927,336411081.789,
602566453.637,805008407.747,442581739.334,187283270.68,
586429338.265,488925889.038,1094882741.41,708964929.761,
1021358678.63,376578404.908,829277578.61,516313771.272,
314539565.471,387318647.838,624623442.666,152895698.202,
385159440.425,72848603.0977,390102993.246,248460758.592,
263916722.063,304551657.879,175649682.867,100852386.574,
431404717.203,451102775.145,679235776.16,198654133.904,
273408603.271,85269883.3112,1050577995.34,111903212.536,
289638603.208,119235102.563,1656038065.06,315622062.898,
332889797.927,423686860.566,953536600.138,85069246.4718,
617085799.058,123335277.068,1108281508.3,145799608.362,
558652043.547,94661180.2842,655888578.425,147910763.416,
101252958.037,331902053.364,2537989105.33,203404015.58,
575357550.514,533927371.671,713703914.115,938067139.983,
229118764.243,161804765.26,419780962.747,44277178.8665,
505407663.588,788790346.105,285318109.335,28337931.2269,
101697890.085,229133382.766,707971076.315,160740850.907,
1582325776.14,317382373.135,378836991.532,356845625.48,
1250581161.17,1104868681.98,1411827295.29,112490937.49,
