Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
44027613.8969,-44618359.6098,1055929955.49,165350069.608,449680406.361
238037744.998,293224905.268,1580957951.75,1113280471.58,443556696.384
126728877.609,51228748.0969,827754118.549,180993116.683,742509851.37
92065804.3497,284923270.964,293779590.36,210102539.348,935590684.76
329135884.136,5921972.33622,341019607.247,36177893.5444,527595448.204
763988333.246,409248972.481,1599319966.26,193383335.198,869178404.234
69476612.8368,496327078.265,2907166997.15,770066130.977,238552276.273
178358028.373,303195503.251,1153916403.71,128244639.67,667576928.625
327384112.385,616029795.683,65105732.59,90690935.4265,675623676.189
136806314.291,814323109.79,2699782372.84,124012741.087,681617874.882
217961897.789,565774009.763,1105143995.16,504292315.055,267945231.94
1057538332.89,136368054.51,1992649394.15,226609895.239,195527713.401
492602555.568,-93626962.4856,821640295.74,325310988.47,331650120.449
325963156.366,72080225.8659,3641139908.56,107914074.23,374967782.191
550586604.785,48264539.9619,761853133.214,151537795.047,524198503.271
79761980.4105,106315327.335,217924251.461,831856147.997,578309221.48
502407826.169,61845035.7294,815534434.271,167300678.279,691052171.579
624537240.0,578980942.934,530694190.623,131232103.111,270931256.847
1103074528.49,236517706.998,581114222.856,19471168.5728,326542540.815
96589363.3216,873326107.472,288808564.769,165850432.737,234651520.893
94724778.9298,81168744.8515,426110623.175,188060935.013,277839388.986
998071866.083,426812806.933,1569868850.81,109351656.674,753056829.429
335781865.519,455165379.947,747324695.571,128215703.744,563355372.265
70637194.584,130889228.32,1939591234.15,446424211.496,243863291.055
43570480.184,581193600.763,1017526259.72,427159249.015,154403430.963
550278553.072,2363277.5193,2599978497.18,132404275.827,219455967.124
173283210.972,271532837.877,890677783.817,194501170.61,165404209.176
655987644.365,181897537.846,1360295863.41,735700833.505,217760981.019
247406161.284,256909016.471,1347196851.43,721954508.621,502333217.591
79953764.7412,185261237.68,331212198.989,362635531.28,474272635.448
453957145.791,353190921.126,2946006793.63,1140003077.58,857479273.652
346917735.939,413574999.437,446183664.134,245590085.15,209511903.364
496750298.546,841557240.652,,103956858.936,266232833.732
776659401.483,225687360.256,,64598896.2294,270878431.163
58643975.8424,509715292.195,,208952970.406,537171006.67
372255194.362,19642898.9691,,125922869.964,69638660.4706
886150682.196,133386318.039,,85141284.9463,226869938.825
147339572.057,270941858.49,,641991311.679,796695891.269
449971561.422,583754415.739,,323928606.831,342753305.384
792126142.597,304457598.725,,72160867.9587,360837489.939
74495993.2504,200253273.879,,179142849.899,368207427.611
145203556.703,188243276.505,,30220324.5082,226850258.214
405337531.418,387535538.832,,302558380.993,706909540.308
18114549.8097,367976209.891,,105159421.254,185942000.636
260453947.648,387354038.965,,242931815.212,45883013.6338
639733622.08,340436744.219,,511417805.221,325084791.939
129359451.155,514448065.642,,919336521.287,344833746.338
607035916.184,337070268.149,,274695473.353,578418845.061
317348775.607,802487938.05,,1104548067.83,234416808.2
410156063.506,517683020.924,,14638591.523,284867862.608
104045854.176,244109420.878,,294272701.096,546650592.029
1362774710.05,319652800.773,,452312113.444,239246035.739
671217986.2,333203244.69,,365725853.55,464500144.639
817658977.775,823272715.834,,0.0,451050291.479
442855345.406,672620326.946,,277083703.068,246316424.079
442880338.63,585053043.83,,101142557.864,630057807.662
221587666.902,640412369.793,,192261163.761,580543038.817
594487486.895,705378550.788,,220589236.76,302129587.493
54691103.66,256936624.842,,101602714.616,2678584068.19
1336162493.26,57795101.9809,,273966120.576,1533754398.53
328102118.054,94542833.1396,,28614794.4803,237182980.585
138825309.792,158591492.663,,96858437.8115,319803255.49
313786648.488,241275865.423,,239764012.011,617450232.169
183019667.108,273349807.469,,170857133.614,69911874.7464
593749325.276,320334208.495,,208964314.065,266668888.944
413471657.988,10314976.4181,,79369083.7858,615888654.265
179694506.081,181636098.081,,153562001.393,404337417.107
847142885.974,3671460.19197,,179974805.138,269906328.114
1191196002.17,77188213.7271,,108833324.039,193928149.52
335189337.393,116450330.829,,170909425.934,632054240.05
