Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
94132447.1437,530784313.938,2369768167.51,289171626.662,155086910.008
90994336.8733,737469394.542,2188653071.56,9485289.68046,1786462613.32
655121563.639,170293187.077,109921701.74,468507331.732,184330434.098
797769857.719,816958218.519,211701193.842,94715735.4832,128139483.452
891243508.972,800839695.166,1679154253.47,123078872.244,598941840.918
383377343.372,150113662.339,880594746.468,64312814.7259,269922837.097
1817851390.19,773438613.588,192195005.975,365417571.447,116466131.212
538216312.003,454571635.672,2477469126.44,185213472.591,372428019.489
38963194.4561,186022533.138,395869094.368,483874175.345,584805093.863
759600004.796,369193969.269,554406598.248,24987523.8056,127032526.349
214012132.153,219142484.533,85547244.1613,28778937.8582,245495744.973
974390164.837,97974393.5601,441754355.936,905876222.329,512378714.728
1138487920.68,416470373.215,1064185058.63,118855943.959,99680358.8478
375621259.108,253858756.68,2039272344.83,250559428.114,118554069.459
128845519.227,98155485.6279,518203016.448,93022644.9149,72601891.3247
130165689.495,177171388.375,1104591781.54,560053099.876,468247845.0
993070912.619,180544101.22,545989922.203,227289487.387,178101400.26
520468621.688,22495284.4086,300353889.664,339086182.239,153637814.69
989463533.337,773779398.928,989950482.315,235970008.577,248498889.544
82477931.9367,602352904.558,1569334114.51,369072309.504,1095915343.17
233475189.598,164108783.19,2632147044.46,68166051.2702,432812082.296
204099758.593,322681221.182,1392320239.01,224904853.78,829260992.622
285474622.284,106584297.664,273664323.617,415592415.675,350302973.526
202912108.021,190575110.627,1526399336.76,460904844.015,290142756.768
550700678.077,-13932071.7805,852878601.412,325311672.65,632180687.235
656222074.099,184474630.391,1681424150.26,205398830.103,1523297988.41
300093944.131,618878495.464,749490169.224,504395591.273,413232524.455
374987263.266,422321071.316,140022304.715,559755175.143,128524092.234
132854217.968,199190507.043,1818030200.02,66857765.0203,126738779.739
163797292.403,758227346.242,1327446121.32,95865436.0945,89416626.3207
965794547.134,549386654.785,102606264.573,1731486.05607,404500542.727
618673250.552,223581992.327,,329457377.558,432208639.677
780255862.082,110992713.601,,15699424.3104,117410115.459
227593807.146,435070278.943,,116520974.871,446510190.654
378942705.763,991608019.875,,220908056.302,932270434.177
268206473.875,334213357.893,,67370115.9639,357188585.914
147572971.319,302602646.286,,111805051.899,237772835.354
1284604719.7,604145327.797,,258346573.904,289501789.536
960705663.31,375958317.954,,189768997.686,691962564.481
1894541229.95,81022266.1527,,646909142.407,650600565.155
79942153.375,551144971.319,,146534751.149,1060103109.9
1068064010.4,153435212.525,,309361866.844,366820387.775
170049297.499,471744458.275,,105540766.054,384959095.96
