Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
309370624.291,613943217.713,454845582.225,123659315.539,149708298.641
784910285.76,467766782.786,444974364.79,58546860.5548,289957827.968
216262519.74,461387549.111,1156728383.66,752518036.921,462824222.508
253615297.648,173338303.482,143669144.626,215553137.564,324279688.905
331841610.838,68260679.3947,366209440.589,164526054.357,738366123.712
335485288.474,843171243.189,2018588510.94,227486990.486,424788166.288
109975806.015,98762659.0718,673897489.76,344522207.687,113314945.702
526288718.382,307149855.834,718967684.407,131336210.577,394276342.16
31746951.5939,142619315.278,171903753.387,16198556.148,86325742.163
795178815.833,334657822.677,1750764975.07,207094008.149,323581993.544
389976713.054,659712353.88,1068368183.88,205187675.81,475489891.783
159763392.775,60898904.0574,285951499.365,46681907.8295,256099275.812
61155919.9652,509293118.852,44835977.127,205696471.391,578648529.803
306901141.135,377204756.001,909161049.148,151251327.296,1003725871.67
908592782.698,973787202.722,696440395.74,225330410.68,752546036.986
391435977.836,383823807.2,1946493325.17,13250457.6564,119701364.281
107993293.22,360757838.205,238207185.415,287893552.719,268600811.683
269348006.091,332381928.824,721251502.549,276103616.571,340869027.502
470034218.135,86550866.2351,629053422.388,544607710.821,618426009.236
1718829064.45,650034920.151,1257897567.78,18788092.7147,237052721.463
96341363.6519,10636576.5531,703514650.125,771184435.474,202461407.249
291052088.744,575063473.867,958768501.802,74375911.7621,735268312.844
406540439.171,141563124.118,1347907493.79,-6285451.9591,284901132.628
375018617.191,150008072.111,836158762.466,174359237.674,668841625.305
353900685.964,538433099.851,1957391954.78,382051921.592,256967252.975
66658272.3841,119095956.744,1147465874.02,209576655.012,1645483805.93
131181600.93,212873884.735,454182606.899,643592889.825,333764372.415
102097838.424,66941080.1528,1694182972.87,1289281472.14,709348060.638
377192169.687,257365556.636,1402128952.71,9845221.79629,1199796060.45
331939258.286,33374384.8569,338135046.037,138578341.772,72394849.9846
1058414215.66,206279558.376,2708789567.51,398597599.264,53637744.734
