X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
4.817891726923911,-75.7373155061561,4.8206598502369005,-75.7432500240639,"[4.817732599999999, -75.7373423]","[4.8155263, -75.72967659999999]",934.0,248.0,0.6120844262948921
,,,,"[4.8155263, -75.72967659999999]","[4.8136, -75.73313999999999]",448.0,36.0,0.6261260546344176
,,,,"[4.8136, -75.73313999999999]","[4.8130851, -75.7342666]",163.0,48.0,3.3420519329389573
,,,,"[4.8130851, -75.7342666]","[4.815875, -75.7194236]",1724.0,188.0,1.1025729279021035
,,,,"[4.815875, -75.7194236]","[4.8160699, -75.7171048]",266.0,36.0,0.014647876027122687
,,,,"[4.8160699, -75.7171048]","[4.81564, -75.71709]",115.0,25.0,2.9979666537683074
,,,,"[4.81564, -75.71709]","[4.820204599999999, -75.7428233]",3316.0,315.0,1.4288635143871655
4.80309801742031,-75.75191261343821,4.8076678506454105,-75.7270827193066,"[4.8032346, -75.75194619999999]","[4.8038251, -75.7511633]",112.0,24.0,0.8268566453762513
,,,,"[4.8038251, -75.7511633]","[4.8049712, -75.7510209]",131.0,22.0,2.6828072667923384
,,,,"[4.8049712, -75.7510209]","[4.805467, -75.7509832]",55.0,12.0,4.963384222261869
,,,,"[4.805467, -75.7509832]","[4.8066976, -75.7425884]",977.0,202.0,1.1306197845168435
,,,,"[4.8066976, -75.7425884]","[4.809159999999999, -75.73719]",704.0,86.0,1.1453339887289316
,,,,"[4.809159999999999, -75.73719]","[4.8090249, -75.73551270000002]",186.0,39.0,1.0564048615060426
,,,,"[4.8090249, -75.73551270000002]","[4.8079623, -75.7269951]",1163.0,108.0,0.6334055729874069
4.78764474587561,-75.7423355579327,4.8086473228028,-75.7312917216812,"[4.787728899999999, -75.74237269999999]","[4.7877583, -75.7423051]",8.0,1.0,2.4494426525880746
,,,,"[4.7877583, -75.7423051]","[4.787929099999999, -75.74251380000001]",30.0,6.0,2.185429942330175
