Lunes,Martes,Miercoles,Jueves,Viernes
5984779.63828,449982276227,451950509959,35542796.9974,70078833.9875
377170543559,69527956.9998,29575120.8111,6199606.04669,325731476101
37697705.9599,48708962.1274,62427581.6868,174345651.62,24082554.9136
527912219673,268309342039,184170911924,22462026.0487,431712206.28
293734491967,19914415.9209,38175012.7685,128523627641,304898681828
23070868.8662,41210443.8858,255542894.21,63836272.4843,174932559136
-5295458.95452,-119823491916,46329428.1015,262624638744,163109353063
240973521265,21786100.5834,229272065383,827324083678,41238.5332446
72287010.3548,21833535.5598,137714005633,124991276916,95320277.0173
11648685.4999,-1002548.53499,149256807.34,61388067.5408,359770845065
556924381042,44699201.3374,81776913.6145,386123760533,16954000.97
282267506476,68398831.3398,76129175.2561,95371768.5468,416464391981
-25796882.2505,14087298.3674,156889958178,208509188551,145800075169
88677985005,434791727688,560745901916,7744045.23239,192114774713
0.0,459736302107,45490352.7553,222750238502,244736138258
3891687.94271,83339745.5655,537810726374,104203545399,99622271.9533
29514814.8966,153411371856,116907143602,60061349.1398,37916441.4304
225434577633,151618874971,318790037057,266811429943,218505565677
268508450801,93409158.1869,518358830648,254197802921,74903953.0234
67551777.1987,160862320348,-17482499.6152,17225232286,647243244249
298239932965,141912938849,174561481428,114374760.35,89248139.4821
274439843709,346329958518,251620913923,296101133469,33238118.45
359707623446,30010368.3976,229017072304,278288083959,166998827678
203334793008,218884468997,453690164367,425129610744,36021644.8271
145426992846,460831505379,69223485266,182185716271,122333588517
15189560.6388,271890762772,289211034239,98330063.7404,247165929308
-2190987.0953,118921684.47,251840547319,356109254012,197279909.98
222921085.17,61130304.5829,144451256808,133073606983,76988412.5084
128013868069,33772232.0554,73545523.8995,54655899.3062,124179083874
177940453277,401852881.4,67105819.7993,204808390273,318394542498
191159359347,116068998527,15624935.9669,267137269488,123790067096
86789737.7251,375713027732,358088428457,66485023.4432,177316047848
254428729003,24425912.0523,416246210813,191023876649,71003759.4973
626172747167,114145184652,44150724.7873,37200338329,352924528565
192376421557,41058327.9721,0.0,517079268704,305275082009
22630871.5088,29146522.6297,66361962.5798,89859347.3159,16092086.1856
324771355449,36239010.9982,191499944.77,-39911185.4374,31964344.9163
-52429670.4998,300167847605,717374525.69,245216063546,29859407.5628
-7509358.65793,475209791516,139952160836,281741644696,258003817.55
75502624.4111,288637144371,491991194368,-6319972.41674,241136907602
26204431.6271,10420753.6076,77085688.7262,77448012.8406,2955046.44212
11538849.9864,-17213938.8345,54271878.3725,18295538.9558,70932110.9236
364980179109,26095230.5682,21992934.5127,35217717.6856,76319474.1746
43114674.9952,127522086114,10813435.2664,102712852176,4292193.08906
579184460068,187855203958,341424923894,299997478032,461291952239
61857393.8708,135600249475,-4069532.37693,-7738157.94454,-21985067.3985
11668444.8429,352949268235,81145736.9536,-11097873.3535,114967612605
