X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
4.83118277771,-75.7196696288,4.82062851267,-75.7376463208,"[4.8310133, -75.719517]","[4.824421, -75.724665]",1294.0,421.0,14.560851658215947
,,,,"[4.824421, -75.724665]","[4.823559899999999, -75.72404]",120.0,27.0,1.03236058513423
,,,,"[4.823559899999999, -75.72404]","[4.8237035, -75.7250121]",109.0,24.0,2.8062062823237213
,,,,"[4.8237035, -75.7250121]","[4.821001799999999, -75.7254316]",304.0,130.0,3.1599620265597874
,,,,"[4.821001799999999, -75.7254316]","[4.8206923, -75.7377036]",1511.0,120.0,3.9426905136725723
4.8238727936900005,-75.6996239095,4.83253081166,-75.7247339361,"[4.8242478, -75.6995429]","[4.8212722, -75.71279729999999]",2072.0,249.0,3.780302340902754
,,,,"[4.8212722, -75.71279729999999]","[4.823036999999999, -75.7234265]",1486.0,187.0,1.8447880760983446
,,,,"[4.823036999999999, -75.7234265]","[4.8232503, -75.72387119999999]",56.0,11.0,1.7607479212570551
,,,,"[4.8232503, -75.72387119999999]","[4.824557, -75.724874]",187.0,31.0,1.0666584593918211
,,,,"[4.824557, -75.724874]","[4.828348, -75.72756720000001]",593.0,76.0,2.459330643745055
,,,,"[4.828348, -75.72756720000001]","[4.830592999999999, -75.728562]",367.0,48.0,5.509370618252108
,,,,"[4.830592999999999, -75.728562]","[4.8331497, -75.72518500000001]",704.0,226.0,7.64074590620539
4.82320935769,-75.7201185165,4.82441984269,-75.7154255741,"[4.8234982, -75.7202215]","[4.823168100000001, -75.7147924]",629.0,49.0,3.2150174441132315
4.8135745649,-75.7122028441,4.8260428081199995,-75.7278285622,"[4.813566499999999, -75.7121202]","[4.81405, -75.71207]",54.0,13.0,6.087713784126695
,,,,"[4.81405, -75.71207]","[4.815143099999999, -75.7166278]",541.0,111.0,0.7095449770981762
,,,,"[4.815143099999999, -75.7166278]","[4.81525, -75.71674999999999]",18.0,4.0,0.07957806829605006
,,,,"[4.81525, -75.71674999999999]","[4.81567, -75.71679]",47.0,11.0,0.5273200296830477
,,,,"[4.81567, -75.71679]","[4.8161285, -75.7166739]",56.0,19.0,1.5277315085479608
,,,,"[4.8161285, -75.7166739]","[4.820159299999999, -75.7105617]",1021.0,158.0,3.3161770515054254
,,,,"[4.820159299999999, -75.7105617]","[4.8212722, -75.71279729999999]",295.0,53.0,1.5353121912206675
,,,,"[4.8212722, -75.71279729999999]","[4.823036999999999, -75.7234265]",1486.0,186.0,1.8447880760983446
,,,,"[4.823036999999999, -75.7234265]","[4.8232503, -75.72387119999999]",56.0,11.0,1.7607479212570551
,,,,"[4.8232503, -75.72387119999999]","[4.824557, -75.724874]",187.0,31.0,1.0666584593918211
,,,,"[4.824557, -75.724874]","[4.8257484, -75.7264621]",221.0,26.0,1.9423963485307367
,,,,"[4.8257484, -75.7264621]","[4.825779, -75.726675]",24.0,12.0,2.5689507164748204
,,,,"[4.825779, -75.726675]","[4.825718699999999, -75.727794]",146.0,46.0,5.122257228361654
,,,,"[4.825718699999999, -75.727794]","[4.8259455, -75.7277266]",26.0,10.0,5.844261757596819
4.81313902447,-75.7107432799,4.82584715192,-75.721130352,"[4.8130548, -75.71076219999999]","[4.814861899999999, -75.71598829999999]",624.0,89.0,1.6351886603636923
,,,,"[4.814861899999999, -75.71598829999999]","[4.81525, -75.71674999999999]",96.0,14.0,1.4606127432762483
,,,,"[4.81525, -75.71674999999999]","[4.81567, -75.71679]",47.0,11.0,0.5273200296830477
,,,,"[4.81567, -75.71679]","[4.8161285, -75.7166739]",56.0,19.0,1.5277315085479608
,,,,"[4.8161285, -75.7166739]","[4.8166305, -75.7173091]",103.0,27.0,5.069781366672552
,,,,"[4.8166305, -75.7173091]","[4.8170743, -75.7177408]",74.0,13.0,8.53905885071131
