Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
123900427.146,165697322.358,554385215.113,525227908.577,752177665.87
144627164.834,203800983.832,541250533.654,552769607.519,387139064.001
10012138.8807,128377081.186,83905495.1561,180567157.929,605915352.037
53453103.5098,50868861.3124,247506404.668,298327811.379,71564942.0908
170197114.646,38199817.9859,373175741.096,28411321.9016,812761561.697
269420239.986,961994.438774,173512941.946,99497428.1948,893033296.479
70689460.8714,-27738871.8559,94108559.2239,390569017.646,165006571.038
462693899.868,24869759.4864,137935142.438,243746135.218,212024790.772
161203795.135,36854853.6409,251710775.518,180340490.469,1078063379.41
106417140.249,29745905.2988,380704020.565,1457510720.4,260719670.962
12741488.6369,54763347.1032,469398988.67,421947916.145,616793082.313
62500165.2832,1794966.98663,680939029.742,116565201.359,457937421.588
92163732.675,6787675.57114,300828449.178,5501452.79841,765569741.7
129469298.874,1419506.73558,788942509.108,137875148.377,141638365.497
138562050.578,10963862.4602,303457946.402,501000443.997,418046748.254
115401485.634,42959081.9126,758473294.319,59292198.0168,475740658.097
7004186.14347,380881136.405,980355510.699,428236270.652,377283740.814
306766336.772,107811744.306,785413427.612,67697214.9159,290328894.511
85228910.1316,147144850.265,567886390.383,194258462.671,1466549621.87
194199901.541,64052912.9624,620081612.81,421193946.5,153371687.368
149351235.281,19622196.6037,405174781.892,295521037.762,901112559.283
2625325.17552,51360386.5015,394250526.208,367271754.106,946089296.252
225183286.691,113706393.867,1333574686.07,264336688.813,497219548.744
71601053.8212,-1764567.15711,121265652.256,444842469.553,1547769760.65
165556177.398,6139196.95418,1138484521.97,402107901.391,302287385.464
50859036.3314,25458737.6734,86689482.4521,220080828.744,805519738.316
229478444.747,164429467.602,1189053298.4,38540577.5506,1168086560.97
40815209.5866,17774097.4759,292758948.321,302170008.84,192126195.82
90161070.8719,157735416.353,491499068.311,77967319.5197,427592641.362
80458748.4399,71779414.3848,683072935.972,84380510.0238,719924918.563
24182943.186,3825410.56867,341992245.206,158839703.37,1282658757.61
48197979.3762,238311028.264,75729831.9223,144855870.943,603986489.901
322963632.937,43336346.0524,347647230.662,116805168.289,733774004.594
259314984.335,49872406.886,152811375.871,870285334.428,793300434.809
185587790.634,120778783.991,308784608.709,6607600.61998,518264131.225
278639424.32,16911339.0127,341312463.659,459324200.483,943979227.698
36551109.319,14952597.4845,202738115.49,39126977.7973,335458204.807
3967632.71761,3551493.15737,307931872.572,590245283.011,178478953.249
30872524.078,14045781.4614,549257297.086,718492524.299,1031815908.34
280456585.405,72864316.8886,420342988.247,435850143.85,518437049.105
-12376990.6687,79183157.9326,807234272.217,72702609.3226,246601474.625
245907295.207,91203550.0065,655140527.126,151876213.402,583371790.146
4043000.69153,167660047.403,786744947.63,312902490.456,585571569.266
8378616.61449,31955327.4172,143055367.905,295211063.752,409900201.679
20753163.6347,359014473.382,1152748700.54,313731144.929,785983324.21
580476348.356,215515078.467,459753860.809,417174607.605,1092027908.02
56194904.5634,48814885.1208,76839913.5309,116041117.842,648608953.144
249590623.537,97533809.2807,316811334.069,548114092.912,777305182.438
161139875.431,86162564.1196,556958410.118,403000891.687,456601529.097
39229141.359,-13706155.5416,249409798.999,451864006.677,1092087093.65
86068925.5908,12216629.445,,332213199.757,310782045.81
177850380.389,161477152.081,,136343322.764,1178634018.75
