X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
4.82718287591117,-75.7307222215329,4.82243547150206,-75.7282771337979,"[4.8270275, -75.7302374]","[4.827252, -75.729348]",104.0,25.0,4.724355173888401
,,,,"[4.827252, -75.729348]","[4.826857, -75.728549]",99.0,31.0,3.1407453675317183
,,,,"[4.826857, -75.728549]","[4.825529700000001, -75.7280944]",238.0,67.0,3.163175426251353
,,,,"[4.825529700000001, -75.7280944]","[4.8226045, -75.7287058]",335.0,83.0,2.611580322900379
,,,,"[4.8226045, -75.7287058]","[4.8225459, -75.7282621]",50.0,20.0,1.3365977692605946
4.821895420917981,-75.7241631058413,4.82385771901918,-75.71825254187459,"[4.8218682, -75.7241678]","[4.8220369, -75.7252492]",121.0,30.0,1.4970949291762936
,,,,"[4.8220369, -75.7252492]","[4.821001799999999, -75.7254316]",117.0,80.0,3.115641203033994
,,,,"[4.821001799999999, -75.7254316]","[4.8237159, -75.7182942]",921.0,94.0,3.8487484400482193
4.82870311114601,-75.7204550791582,4.81840709866718,-75.7295496143049,"[4.8287922, -75.72113759999999]","[4.824421, -75.724665]",837.0,272.0,13.568968278936632
,,,,"[4.824421, -75.724665]","[4.823559899999999, -75.72404]",120.0,27.0,1.03236058513423
,,,,"[4.823559899999999, -75.72404]","[4.8237035, -75.7250121]",109.0,24.0,2.8062062823237213
,,,,"[4.8237035, -75.7250121]","[4.821001799999999, -75.7254316]",304.0,130.0,3.1599620265597874
,,,,"[4.821001799999999, -75.7254316]","[4.8190314, -75.7307147]",662.0,55.0,3.561327617275019
,,,,"[4.8190314, -75.7307147]","[4.8185128, -75.7295369]",152.0,62.0,4.033456040459806
4.82308948387068,-75.73862184806171,4.82110696724906,-75.7194857989195,"[4.8230756, -75.73836519999999]","[4.8232001, -75.7380074]",52.0,14.0,8.080486389166595
,,,,"[4.8232001, -75.7380074]","[4.8234103, -75.7380214]",24.0,13.0,14.116427385066107
,,,,"[4.8234103, -75.7380214]","[4.8222333, -75.7345349]",433.0,77.0,1.8333316710115317
,,,,"[4.8222333, -75.7345349]","[4.822141999999999, -75.732017]",296.0,46.0,4.213862062264637
,,,,"[4.822141999999999, -75.732017]","[4.8212164, -75.7254164]",767.0,134.0,1.0652886506414958
,,,,"[4.8212164, -75.7254164]","[4.8237035, -75.7250121]",281.0,90.0,3.1467071561376163
,,,,"[4.8237035, -75.7250121]","[4.823559899999999, -75.72404]",109.0,24.0,2.8062062823237213
,,,,"[4.823559899999999, -75.72404]","[4.8208752, -75.7194916]",781.0,105.0,1.945476122843561
4.82193881965867,-75.73765758789341,4.8267332472559,-75.73833974322659,"[4.8219267, -75.7376268]","[4.8227031, -75.7371871]",99.0,29.0,11.500609829555586
,,,,"[4.8227031, -75.7371871]","[4.822665199999999, -75.7371278]",8.0,6.0,0.7445381685502801
,,,,"[4.822665199999999, -75.7371278]","[4.8230996, -75.73668459999999]",74.0,44.0,12.938758447167059
,,,,"[4.8230996, -75.73668459999999]","[4.8222333, -75.7345349]",277.0,51.0,1.3993033489853002
,,,,"[4.8222333, -75.7345349]","[4.822550199999999, -75.73490269999999]",54.0,14.0,4.108301582461779
,,,,"[4.822550199999999, -75.73490269999999]","[4.8267107, -75.7336294]",609.0,146.0,5.519836728061244
,,,,"[4.8267107, -75.7336294]","[4.8269892, -75.7346934]",141.0,24.0,7.964338875232839
,,,,"[4.8269892, -75.7346934]","[4.8291705, -75.735807]",291.0,68.0,6.743925951796866
,,,,"[4.8291705, -75.735807]","[4.8274229, -75.73986800000002]",535.0,85.0,2.008714502733616
,,,,"[4.8274229, -75.73986800000002]","[4.8263942, -75.7384349]",215.0,55.0,11.968683028547524
4.821072398609821,-75.740951807324,4.81256780270374,-75.7176798786855,"[4.8210111, -75.7408846]","[4.8161285, -75.7166739]",3165.0,326.0,2.0264549951847988
,,,,"[4.8161285, -75.7166739]","[4.8159513, -75.7185572]",248.0,63.0,0.1345082068767494
,,,,"[4.8159513, -75.7185572]","[4.8159407, -75.72240980000001]",428.0,57.0,2.080433062854325
,,,,"[4.8159407, -75.72240980000001]","[4.816312300000001, -75.7210209]",228.0,28.0,0.8404939833528646
,,,,"[4.816312300000001, -75.7210209]","[4.8146835, -75.7209367]",181.0,29.0,1.2831459969232648
,,,,"[4.8146835, -75.7209367]","[4.8135312, -75.71716479999999]",471.0,75.0,0.08579109494229174
