Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
55169446.1832,14905822.8107,335154575.929,172137111.219,497684913.66
13440850.149,228473921.401,804393137.98,929036273.683,477250806.098
0.0,112359239.665,414993100.389,350046636.767,606776326.555
70735757.2544,-28950759.7113,621159181.382,377259807.394,552154960.676
14364077.2138,102597859.819,33488329.702,162176417.181,658683301.946
177202289.346,340133186.789,1785772757.45,328632894.75,883581882.44
348783762.814,298352823.211,137784299.716,552252574.737,123070032.622
148251245.054,244333000.898,329673228.219,303899647.541,262280244.007
46781318.8296,58522106.7015,284028398.375,279173872.438,285542232.206
333541489.442,53781554.1134,287955880.559,550297727.551,868676485.75
7919787.35625,43296838.3217,73952400.5935,114876534.255,953364156.828
9977010.74908,82033666.3533,431249404.144,228012559.402,445943567.506
76618532.198,104337155.024,674925772.221,342039418.909,311088725.486
160254815.784,169613032.986,512791369.131,134680268.822,588503681.909
60641198.715,21035044.953,446260669.475,19221202.3539,502201548.401
348380440.143,1157366.99156,449708234.439,326295400.491,438909782.757
249522344.379,16817226.8013,71037568.6648,375112389.937,899102982.383
199860916.504,206925897.531,431214363.873,214142523.451,326609199.795
6027578.60644,472304.935449,404802738.704,339237602.096,492512301.539
132490809.549,26868824.5922,756528470.632,555816254.971,1055876944.24
11833284.2102,93850524.8082,399563154.408,172673141.122,350086805.141
176192462.603,32064333.9305,285410481.253,65137395.7678,786583225.828
-14474655.6171,112765840.782,1361813553.05,346872661.544,453987294.485
178679828.862,42639952.4079,138567510.173,215299996.11,408226188.944
86590462.7077,309282526.381,142160741.627,175315224.427,517171411.825
1940506.8197,7992885.84321,481428111.255,242167708.309,407418391.384
36263925.9605,9012543.42307,564350414.004,437222378.713,780473391.407
153168535.835,17807315.2579,400019474.598,53518722.2842,902288434.37
28800073.3559,-2010223.52125,757140279.722,139262952.954,563059765.954
15931939.8313,16116624.2187,397438262.119,160675304.102,405196576.4
106502761.662,-37315303.4472,-49290754.8828,312157329.349,540329581.247
73844286.9437,10586908.9863,177310482.612,804464854.448,588718527.364
14007578.3503,-30292986.9199,876408088.906,592601960.78,563567353.166
235050431.444,189115965.23,1678178274.89,764858372.681,479364054.944
91866498.8205,203726361.323,388380604.526,239311101.644,439629982.163
19720266.8719,27351754.2619,406358582.85,201263440.001,669658074.848
26977909.3571,59217432.2092,1189505525.09,326936364.802,346655560.624
476048455.98,203623929.468,165865310.606,321103456.083,813315091.35
2701416.04268,12429729.2258,279273274.644,393501921.74,179287435.454
475644501.301,13158380.9384,123087943.491,412590548.168,1397006396.63
433497522.255,109480784.753,684590921.019,314973630.201,318870356.898
186154251.514,75193295.484,425693646.481,17810080.948,1068693398.09
303126129.605,-43066135.6839,1093724713.57,595528408.23,642300405.815
30716764.0874,124275811.686,541367405.63,240788259.909,41737343.151
82142704.2424,35163485.5651,658522526.303,39150422.2376,326923731.949
108653860.789,129254623.757,816209908.115,577257100.772,434368697.117
