Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
328767707.643,7337112.36917,491717653.877,645126896.989,432651909.795
49331738.0859,180894412.061,331711102.36,279780320.398,872414052.191
115170998.805,-1629862.09606,581180682.508,502137569.076,726440771.917
188219473.547,356451605.366,181184271.524,698447631.978,677160773.589
105506570.163,51322298.102,809423413.422,165300887.283,218552111.573
-4730728.32217,62900713.6554,1317910509.8,164847911.803,892054531.41
438640960.335,118995689.078,520334657.471,30685511.5282,417548418.396
39984771.8641,3595207.77382,256176046.007,526023083.597,281336904.013
245675257.71,82275170.2314,865280362.437,511938683.325,392025065.971
137311748.959,28961549.9804,882387477.926,581267613.957,796838570.571
172788947.387,247374866.281,292831026.86,127717415.968,759790471.497
130914207.887,11463076.0349,98085428.8952,101640896.548,356536947.846
59676268.0424,6764570.98168,1065444830.58,214083627.845,1143062664.79
78168043.824,200345216.579,660991887.684,283250651.466,251226806.695
19358645.2963,38755111.6232,553294504.075,24934835.1687,981428270.957
269232381.415,-4484981.99271,168221706.204,33168125.4665,815684149.363
370323462.206,123255784.748,117028920.408,480752999.104,783115837.186
13860319.7098,38329309.833,352154443.859,173226723.84,700400127.389
91649387.6749,61780321.4911,184149160.945,911729315.881,662002572.87
194471387.557,-48542882.9993,214470912.244,473794280.221,384994747.63
80504121.1356,97813802.5512,198098255.3,176507429.025,354395039.38
434179690.936,0.0,430117265.848,586636882.108,752661176.204
68437997.1457,134182690.642,853677803.288,282924633.116,997170381.619
107680053.377,87414092.2831,571624297.31,420821593.846,674142476.802
172707100.784,72447759.832,333901783.818,371311821.469,936411797.329
194871699.765,104466799.037,463730985.315,135591512.148,569595537.359
256679922.624,46261254.8412,515437277.271,73149117.347,837525693.517
238837718.958,-51480520.0125,682900564.419,342106146.231,624613070.026
158268490.767,2050259.5205,717596819.337,380688209.95,752995233.297
360724717.114,35520917.2542,356955634.885,243530581.055,1152971568.26
58719687.3778,124190373.867,362730847.532,632930017.251,889951522.94
-918582.753376,258606448.517,856126261.575,323430333.843,594647050.551
155446262.397,23207581.2481,1125666836.24,303668277.71,326243292.427
318154050.052,627859228.825,174285007.625,79006451.5197,891971204.102
279978048.606,119371192.656,353836418.961,396994629.441,332285518.487
181936359.04,17729543.8584,647714765.114,89135689.9475,275517841.566
31000175.7275,71490463.7305,428323402.013,870475378.121,671195324.508
131185444.464,188704773.623,652944717.668,63111832.4342,892828071.974
42817676.7772,50764653.6147,176800974.117,38424431.9403,1361197533.74
99576620.3263,43517230.1296,584259642.702,1048558932.47,681803810.279
197123882.771,2484068.77973,397152559.866,16529865.2206,633941330.911
290007335.847,138619234.513,485506973.957,166677069.526,437687130.195
170884238.253,397601800.51,256246726.194,265530645.607,600950765.526
471348241.229,84743373.3751,166228750.21,483490634.356,883896106.452
230084627.462,49734742.7986,229497655.068,342026902.835,596120709.261
39486283.9203,48496178.3247,927143978.959,26891097.8318,586570793.06
295615079.588,0.0,1004243953.43,335898193.852,403626204.895
32249555.7265,213841526.412,111736083.328,241142309.891,1310894327.24
