Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
2220096.70696,21244114.8845,156022232.773,504233224.126,406360349.135
229512419.579,6042615.00553,567539543.644,388938262.313,658674173.804
91203111.86,18661752.8378,363842650.507,29123271.7393,591209006.438
127822928.438,78429628.348,282739333.736,7075430.54907,767931128.7
438389971.231,81296831.6549,1478051002.98,50595581.9022,340773067.012
1998411.67234,205838832.893,239653477.035,179468965.506,514414409.711
55139236.1424,-2928873.47881,2564761376.88,77599870.1468,299421406.718
53586729.9581,138203080.461,562849991.616,36008790.795,575547103.258
139647734.935,1428697.32611,827917819.817,398011820.754,912297430.606
7924341.09604,89863276.1138,1000287853.58,112118441.509,863597193.727
196770091.48,15089731.7005,1548518868.41,540089758.961,212480376.115
220547894.162,103006733.337,836812827.816,410713848.201,657966874.333
74994321.293,-28769028.4475,264126484.98,32929240.345,2694549930.6
453543017.226,144142233.486,709327041.293,294448153.34,441173580.244
72836430.1916,136322884.773,309882524.468,87677412.4895,194613291.531
325811599.126,281060804.239,745041231.692,385774861.286,266803756.338
66318477.3607,306713180.903,278783059.765,0.0,368733687.505
291943583.482,1861952.07027,1071831021.79,276980028.003,1149680954.79
167368714.606,480541420.287,280079552.762,397404512.042,498394685.952
-18811573.4901,30018466.2706,322635280.88,524492975.147,463266682.015
296973337.338,30123871.7122,280321851.531,217130214.189,1192459835.59
127622012.579,340313803.733,434746059.559,43281697.7109,405659781.509
210248179.714,284515015.748,413532839.292,719012507.419,487460815.626
304448575.691,54081404.2796,586520186.568,420954486.833,285025777.7
265975803.263,295518190.152,509577055.489,116700650.399,377265456.402
19636480.6446,146896475.002,293709855.267,406969894.583,722533280.11
217522420.029,88280025.2079,1059687066.66,841275647.813,72309168.1198
131599635.218,-1054304.66599,680265480.533,311728849.227,136031901.569
31591725.1977,0.0,777708727.246,358337002.25,104533242.3
120177702.911,2581920.34176,730837364.811,143806662.656,1205764686.98
228307843.455,43903739.1382,327000798.685,1272211801.76,373212473.84
64468279.9215,103062832.893,618532396.181,35282623.7711,722890256.715
206095374.698,195617273.16,665820984.765,91082271.1114,296242183.164
6658081.94563,31164856.6922,1251156773.86,295387788.229,288305434.057
150701702.259,170083734.366,42019068.7871,132822764.876,306457648.715
285986798.754,107672716.565,648519095.782,415552899.629,160111494.15
-73572621.9612,-23390555.3749,457179958.99,201347018.392,746367420.866
-398.468222853,155019141.444,1172831534.14,484573420.911,508087631.222
54920764.325,48521820.2242,398394644.961,312239994.238,771684102.744
2957716.2929,143147501.299,124543331.065,517327173.116,934292459.182
128352935.341,264257395.881,44079275.631,535298449.211,688990870.652
269885302.511,326650599.067,443057972.81,171637529.492,710211525.88
351151042.017,74034355.2393,1148923126.42,1421044718.16,443047367.181
222029270.448,94213584.9581,413950718.87,757719610.221,832507998.247
288882432.913,25753498.7445,805482363.439,455264981.864,659971550.231
