X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
4.81560305676521,-75.6982613929443,4.81678325184272,-75.7150057605556,"[4.81602, -75.69829]","[4.8179028, -75.71529749999999]",1902.0,374.0,1.9677647684245287
,,,,"[4.8179028, -75.71529749999999]","[4.816383, -75.7171951]",353.0,67.0,2.9767744019069204
,,,,"[4.816383, -75.7171951]","[4.81637, -75.71522]",261.0,45.0,3.5516180718300303
,,,,"[4.81637, -75.71522]","[4.8168127, -75.71523750000001]",52.0,26.0,2.3361252672291015
4.815178320514638,-75.7144511390282,4.82014133529446,-75.70020173157691,"[4.8151144, -75.714472]","[4.814731699999999, -75.71325039999999]",142.0,32.0,0.23626092307528462
,,,,"[4.814731699999999, -75.71325039999999]","[4.8144161, -75.71037129999999]",321.0,86.0,1.808119134831169
,,,,"[4.8144161, -75.71037129999999]","[4.8181649, -75.7099346]",420.0,146.0,2.154901547025675
,,,,"[4.8181649, -75.7099346]","[4.8180916, -75.7090886]",94.0,23.0,2.330304179114047
,,,,"[4.8180916, -75.7090886]","[4.82059, -75.7088]",280.0,58.0,8.171151654072
,,,,"[4.82059, -75.7088]","[4.819669999999999, -75.70044000000001]",932.0,166.0,2.6080126691056353
,,,,"[4.819669999999999, -75.70044000000001]","[4.8201665, -75.70038799999999]",56.0,28.0,9.777581657056317
4.81937465111398,-75.72182461179291,4.82467058483854,-75.73943569162171,"[4.819545199999999, -75.7217974]","[4.8212526, -75.72577919999999]",700.0,105.0,4.648735380481853
,,,,"[4.8212526, -75.72577919999999]","[4.822124, -75.7316249]",656.0,108.0,0.990934299685898
,,,,"[4.822124, -75.7316249]","[4.8222333, -75.7345349]",355.0,49.0,4.097268755973324
,,,,"[4.8222333, -75.7345349]","[4.8233027, -75.73882920000001]",525.0,77.0,1.9449650308477984
4.83264602742696,-75.7234515278877,4.822348071591099,-75.7316723287559,"[4.8336757, -75.7243446]","[4.830592999999999, -75.728562]",814.0,217.0,7.76134996157057
,,,,"[4.830592999999999, -75.728562]","[4.8281231, -75.7274908]",393.0,62.0,5.276547809166839
,,,,"[4.8281231, -75.7274908]","[4.825529700000001, -75.7280944]",427.0,112.0,5.679244563868164
,,,,"[4.825529700000001, -75.7280944]","[4.821655, -75.72886199999999]",442.0,110.0,2.554709764920162
,,,,"[4.821655, -75.72886199999999]","[4.822124, -75.7316249]",311.0,54.0,1.1787572482464685
,,,,"[4.822124, -75.7316249]","[4.8222637, -75.7317286]",20.0,5.0,0.6906313074214012
4.82369923349455,-75.7016079940823,4.82776623503554,-75.7293387716367,"[4.8241657, -75.7016096]","[4.8212722, -75.71279729999999]",1834.0,212.0,4.268017231784705
,,,,"[4.8212722, -75.71279729999999]","[4.823036999999999, -75.7234265]",1486.0,187.0,1.8447880760983446
,,,,"[4.823036999999999, -75.7234265]","[4.8232503, -75.72387119999999]",56.0,11.0,1.7607479212570551
,,,,"[4.8232503, -75.72387119999999]","[4.824557, -75.724874]",187.0,31.0,1.0666584593918211
,,,,"[4.824557, -75.724874]","[4.8281231, -75.7274908]",567.0,71.0,2.432967885659218
,,,,"[4.8281231, -75.7274908]","[4.826857, -75.728549]",189.0,58.0,6.483383620656901
,,,,"[4.826857, -75.728549]","[4.827252, -75.729348]",99.0,17.0,3.1407453675317183
,,,,"[4.827252, -75.729348]","[4.8275706, -75.72916169999999]",41.0,13.0,7.566833799735641
4.83021698527821,-75.7257904838012,4.82751546514032,-75.7248893328649,"[4.829607999999999, -75.7259424]","[4.827736, -75.7266801]",233.0,76.0,8.79157653811434
,,,,"[4.827736, -75.7266801]","[4.824421, -75.724665]",492.0,69.0,2.683090555329243
,,,,"[4.824421, -75.724665]","[4.8265974, -75.7247589]",304.0,113.0,8.038989887610942
4.8254055897777315,-75.7237008823124,4.815247497712232,-75.70789752549729,"[4.8250658, -75.7245767]","[4.824421, -75.724665]",74.0,22.0,8.266612767535081
,,,,"[4.824421, -75.724665]","[4.8232503, -75.72387119999999]",160.0,35.0,1.0618795845095934
,,,,"[4.8232503, -75.72387119999999]","[4.820980700000001, -75.7170086]",1025.0,129.0,2.6462239402577334
,,,,"[4.820980700000001, -75.7170086]","[4.8212722, -75.71279729999999]",517.0,82.0,0.031057178432834606
,,,,"[4.8212722, -75.71279729999999]","[4.820159299999999, -75.7105617]",295.0,48.0,1.5353121912206675
,,,,"[4.820159299999999, -75.7105617]","[4.816383, -75.7171951]",949.0,146.0,2.850881507912918
,,,,"[4.816383, -75.7171951]","[4.815402600000001, -75.7078793]",1083.0,214.0,1.635012177953581
4.81640706499432,-75.7232479908377,4.82520772156368,-75.72858875056579,"[4.8168698, -75.72335489999999]","[4.8161285, -75.7166739]",856.0,96.0,3.3702255334066673
,,,,"[4.8161285, -75.7166739]","[4.8166305, -75.7173091]",103.0,27.0,5.069781366672552
,,,,"[4.8166305, -75.7173091]","[4.8170743, -75.7177408]",74.0,13.0,8.53905885071131
,,,,"[4.8170743, -75.7177408]","[4.8179815, -75.7160794]",223.0,34.0,2.280643782874737
,,,,"[4.8179815, -75.7160794]","[4.81881, -75.71661999999999]",110.0,21.0,13.749611163169114
,,,,"[4.81881, -75.71661999999999]","[4.819084999999999, -75.71614819999999]",61.0,16.0,1.5166581931186307
,,,,"[4.819084999999999, -75.71614819999999]","[4.8194044, -75.7152205]",111.0,25.0,1.1806586742686425
,,,,"[4.8194044, -75.7152205]","[4.821244399999999, -75.7252395]",1469.0,158.0,1.763822961919127
,,,,"[4.821244399999999, -75.7252395]","[4.8237035, -75.7250121]",295.0,93.0,3.1694565573729574
,,,,"[4.8237035, -75.7250121]","[4.824283900000001, -75.728422]",383.0,80.0,1.164446085449085
,,,,"[4.824283900000001, -75.728422]","[4.825093, -75.72831099999999]",91.0,21.0,2.307770777168837
4.82158021210392,-75.69732405155641,4.82246065520788,-75.7439721030122,"[4.8215455, -75.6973292]","[4.82163, -75.6978967]",64.0,23.0,0.4937058600771644
,,,,"[4.82163, -75.6978967]","[4.8206106, -75.6981161]",116.0,38.0,0.4004686951022502
,,,,"[4.8206106, -75.6981161]","[4.816383, -75.7171951]",2463.0,341.0,0.2518589907354892
,,,,"[4.816383, -75.7171951]","[4.81564, -75.71709]",155.0,34.0,3.6570333618647486
,,,,"[4.81564, -75.71709]","[4.8319436, -75.7569233]",6224.0,637.0,1.1042027028271777
,,,,"[4.8319436, -75.7569233]","[4.832072999999999, -75.75299799999999]",471.0,85.0,0.22469247081901528
