X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
4.8177914806973305,-75.7238924675936,4.810641233023151,-75.69873355059059,"[4.8168522, -75.7240162]","[4.8161285, -75.7166739]",930.0,102.0,3.1473370430345695
,,,,"[4.8161285, -75.7166739]","[4.81508, -75.705213]",1290.0,248.0,1.2487800446845143
,,,,"[4.81508, -75.705213]","[4.812570000000001, -75.70546999999999]",281.0,87.0,0.6981596930060003
,,,,"[4.812570000000001, -75.70546999999999]","[4.8118, -75.69879]",745.0,156.0,0.41985547218489455
,,,,"[4.8118, -75.69879]","[4.810660299999999, -75.6989004]",127.0,49.0,0.5925547707517129
4.8229775697404005,-75.7082661650476,4.8111231182937315,-75.69990030983871,"[4.824179399999999, -75.7081673]","[4.820159299999999, -75.7105617]",1361.0,159.0,8.017461312872008
,,,,"[4.820159299999999, -75.7105617]","[4.8196405, -75.71106809999999]",81.0,14.0,0.07874075218066007
,,,,"[4.8196405, -75.71106809999999]","[4.8195996, -75.710929]",16.0,6.0,6.6341723568719315
,,,,"[4.8195996, -75.710929]","[4.820579899999999, -75.709296]",216.0,33.0,1.5598059300854699
,,,,"[4.820579899999999, -75.709296]","[4.820393399999999, -75.7071134]",244.0,39.0,3.800930096855561
,,,,"[4.820393399999999, -75.7071134]","[4.8137131, -75.7078866]",748.0,232.0,3.1725416043503345
,,,,"[4.8137131, -75.7078866]","[4.8128337, -75.70037959999999]",838.0,149.0,0.8076239526189674
,,,,"[4.8128337, -75.70037959999999]","[4.8111219, -75.700566]",192.0,59.0,1.8121739558132484
,,,,"[4.8111219, -75.700566]","[4.8094032, -75.7002811]",201.0,26.0,2.3505323400027045
,,,,"[4.8094032, -75.7002811]","[4.8111499, -75.70008]",312.0,48.0,2.8372791681506064
,,,,"[4.8111499, -75.70008]","[4.811217699999999, -75.6999496]",16.0,3.0,1.9840595096007705
4.81696623151224,-75.72439434423309,4.81301862453829,-75.6884945533746,"[4.816854699999999, -75.72438819999999]","[4.8161285, -75.7166739]",971.0,106.0,3.062208223142113
,,,,"[4.8161285, -75.7166739]","[4.8162607, -75.68493169999999]",4166.0,555.0,0.14084883818469637
,,,,"[4.8162607, -75.68493169999999]","[4.816731, -75.68970999999999]",537.0,84.0,2.939604729904862
,,,,"[4.816731, -75.68970999999999]","[4.813339000000001, -75.69009100000001]",380.0,106.0,2.8056590029383948
,,,,"[4.813339000000001, -75.69009100000001]","[4.8131463, -75.68841499999999]",187.0,80.0,0.33073757150308825
,,,,"[4.8131463, -75.68841499999999]","[4.813011899999999, -75.68842959999999]",15.0,14.0,1.664785367956
4.81950264140534,-75.72091178563359,4.81761322483968,-75.6943114687355,"[4.8196527, -75.7209361]","[4.8194076, -75.7150769]",749.0,73.0,0.11256759562914795
