Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
17877636.9191,6680998.8215,683684337.507,351896942.827,348625344.863
135197254.06,216438451.564,773573669.358,772286068.376,563958492.205
16269203.4673,-16973313.5786,230530924.716,407691251.836,862582896.978
147982994.172,0.0,227542744.902,411302066.238,992295796.372
122024913.386,23826388.2148,382565856.207,72392737.755,284050163.777
49950811.4949,44761524.7131,818566989.862,378728354.968,142632153.149
167390415.737,23875930.8642,488968170.978,782128983.807,173355645.868
109665749.037,21129443.4329,106607065.322,251034731.337,274010354.792
371389102.279,44099147.0939,746258286.0,173831517.377,993763153.36
83486023.7658,154263081.509,61372607.6849,116902761.259,120204222.436
41059133.3879,43640500.866,233654122.866,270879910.135,925576814.5
208005354.902,47722946.767,736056100.842,396181812.817,97614379.4128
106398381.327,56579042.083,62023282.0223,1015816802.46,237029458.606
24330348.7127,-3269697.50414,335235722.387,395028806.652,1104725289.58
439028360.268,162154725.062,1081237724.95,76535233.9783,679825121.857
33770853.8205,331718708.34,354221225.228,255365919.274,260770476.571
344662981.377,12732646.4192,815596249.701,126820115.588,702174443.809
149843176.043,119575137.459,651136342.597,95185720.2129,518511859.09
220039814.88,21932685.551,622932612.687,513932921.806,1153355280.24
83854334.5515,14771461.2118,141166953.516,351763703.983,265404856.294
36324922.8455,182369792.221,1048979808.72,517076417.933,300691291.844
41718804.6213,-320240.909432,735894200.415,1049253856.26,300657201.017
245453125.207,52777380.5394,1102055957.38,138805764.434,289417388.476
217749312.252,149491218.201,147546153.617,15728429.5013,574606265.721
273058306.95,276246450.069,443896155.379,228982554.272,887702723.356
147134683.238,73803024.9082,499687269.3,567281528.868,1079085843.21
175878204.545,179429417.261,1146392384.41,297953393.612,628165296.452
270898998.176,-12357610.5881,1150100236.94,276725466.553,297948009.129
196008725.057,183065650.115,700897087.388,216863497.788,1252304102.25
246214051.76,143185975.014,1533326661.78,708609104.849,920239842.644
252497318.466,0.0,277062294.699,687088000.002,605451450.418
256307787.985,114150303.299,219783073.321,1200516744.16,1056615311.27
304664731.901,110735.988478,74104571.9316,233571001.409,652625396.457
93397091.2187,131701923.372,406636544.002,251004149.163,568025784.549
66888643.2115,29417389.7686,789681582.682,301392071.255,374084967.473
494004309.136,312977254.77,172580009.962,301234142.001,348568524.454
257375453.81,381681999.701,352128490.634,291393721.778,467103928.98
430852022.95,15705530.8173,388836588.9,144590313.628,962829487.476
212618272.84,27449528.6984,1167629894.31,122031816.69,359990419.375
238793177.59,117948521.906,862515805.289,377359239.373,437241058.669
69690559.0908,-1149558.53135,866471651.456,93959710.5227,423143223.548
250401227.8,256661810.4,412413447.487,866133761.873,607940060.436
-39989622.1453,225211151.458,515884109.518,407146557.292,565897121.439
780417869.696,238838919.469,497644355.456,441290403.725,753484654.068
78086373.8842,23795250.7082,374760543.451,48715305.0835,86711348.9697
70714391.5456,54904980.2308,786910682.95,122233824.63,197570253.353
255125107.675,62244114.6366,822017811.865,425798993.414,659161208.472
120942278.728,33135099.7179,617503810.923,95898029.7515,700513018.738
95082759.2631,394475930.98,306324572.928,404375995.731,421181592.946
270327915.943,76996163.5783,620795142.402,161269125.612,1141646226.03
10194470.8736,211812577.478,174974953.577,166834373.119,114208014.721
38442041.4775,18954966.0747,200039698.353,820948889.593,396376806.671
213419905.203,142610133.443,1008307961.78,532643138.179,583306496.098
56338909.9652,238434169.188,148906292.296,60038022.381,1509291018.79
174404757.075,9068797.74698,362182213.775,157788814.311,682317248.962
528428.007214,207213136.875,214306753.53,292233779.725,543159581.284
106956746.267,-37795702.4972,521195004.712,260154760.08,270944932.148
79103908.7645,41741107.6365,315297086.684,172103383.174,214016477.579
96226223.3661,110856520.853,331569235.338,106916404.615,583589769.277
71227123.4679,-29767990.7466,142356779.332,672441682.245,76821573.4301
138357200.118,85728394.8032,159035315.166,552066816.959,1019305740.38
11261369.7141,-26732767.4019,891434247.534,109594954.978,1154660728.79
30474890.7413,41598829.6119,843888536.243,683274552.496,734595665.368
306345929.473,185914346.425,496472516.107,131745562.86,297311209.508
81420203.1077,291663.034271,208932225.843,357753529.123,854284852.176
117631338.162,20381393.2887,657431047.405,419942431.237,345058988.428
178082315.241,95578613.849,643340130.907,217214751.969,330153054.65
40602048.181,31497211.9793,444700036.671,586906784.778,1038921185.76
7172770.94277,134471531.199,1027155828.59,412446022.017,1899911495.77
292279715.349,17013252.9594,602540603.559,370453496.607,1364322437.18
138468403.343,191972201.789,363553170.205,320284556.707,380371638.658
189967912.108,74656986.4313,389470168.089,418468871.594,242615770.254
175908051.483,406296648.447,538772756.337,1176135557.32,339139311.52
50880885.1394,314818691.122,220374479.894,158220193.835,915801869.497
182510421.881,114117421.141,510262163.997,533607642.317,130577702.504
133974056.04,29252843.9548,610894667.453,494789017.815,1220168281.69
187553556.783,13357613.0864,374360032.922,158613228.253,573033282.144
249260121.719,195168380.007,692869046.279,150691193.751,801042959.504
1573948.97404,168093868.352,246235548.655,161801635.668,420496892.317
177853373.976,0.0,220737196.128,275314495.043,563899456.674
81160389.4905,131211699.664,269609666.991,382535657.609,840197772.549
76739959.1769,200170476.001,900209493.737,177367766.504,439073045.616
198602010.633,18865784.7178,1010829326.11,519614854.021,527540171.638
286303612.848,124787833.244,493046212.969,159369155.18,693023020.105
253194286.049,2421705.26739,770010758.106,467421568.282,578793798.889
110367531.589,26312988.0857,426559864.296,204573332.082,1017820347.41
13393321.7057,185790425.175,331439268.121,985303397.948,622936716.716
70746585.9596,179146734.708,208408072.243,313275740.7,376751713.872
83421294.8691,58806010.8607,252169916.06,245022743.618,661827051.168
82017380.4321,25561109.9996,230858534.692,553444439.787,80944115.3802
297985366.878,90585338.9972,23666375.4424,24861409.8672,798676303.286
30385771.2552,-4874241.87764,631191984.01,185625262.478,428255088.238
214520611.974,168714065.612,1012882525.66,364910396.737,605088084.781
35159970.1478,-13887709.7976,490446091.741,10104669.6028,189150314.366
62477775.4274,68303286.402,95245331.7821,230957340.793,528712177.079
-2000152.8154,21311865.2404,193055057.566,1716794798.0,579959972.801
323742670.093,108794832.843,523957665.969,558697195.816,1406505821.63
60502217.1187,7850613.20728,452954624.314,211661078.114,567296211.345
247256455.318,47700926.1959,22665340.1296,252334664.847,588278286.218
5934538.98606,458941451.413,118634331.825,197240024.569,1572140545.55
335777965.523,71657889.5765,101895061.035,34476518.9334,629525747.893
304448572.022,112169818.688,671727674.093,333295757.844,653508811.748
132461447.589,11491441.4621,1361708251.5,453511264.483,636002633.658
315554388.46,227914796.747,623050061.917,1029130693.31,312585809.015
206063761.13,11336967.9092,995887792.067,411251878.536,582294398.075
67356888.0792,4016041.75582,507804019.84,222268327.957,527896171.271
297944111.301,11848317.5596,259325808.529,498130676.899,469654371.364
-3218506.81651,-13216939.9888,832318939.922,75539759.1464,143725875.499
44909291.4442,121621830.198,713587771.173,409159510.681,1019298821.86
278977908.424,69666876.0092,503154012.855,361265233.951,615976156.615
154295911.587,118731793.131,215963770.171,275107685.072,641243497.291
305902610.732,140982175.261,351599262.206,513583534.303,176593341.981
301452746.502,324137507.098,298394311.904,845619929.39,662379546.78
325548311.879,1841606.20383,77401172.43,88360311.9942,480011933.754
108823799.234,46414551.4406,1642417242.08,466940714.614,153926392.137
79977147.2655,0.0,495476818.174,427525807.625,233989867.148
17805883.6681,33830514.8159,435284939.934,646381940.985,453223214.757
65360766.2126,172856866.994,1485523860.69,547301547.009,1196197140.53
15165141.1993,0.0,76681568.692,94011324.8308,322585819.338
107688387.749,37732129.079,1445690734.96,18968428.2115,905032361.677
184230561.246,2302597.60555,341148783.508,48835911.6569,1440082718.36
277218974.319,118152488.717,193651352.214,-20966113.7774,650966374.444
23790916.6784,211207205.373,720222480.711,134369422.87,271324603.255
329921763.88,18024247.5645,200977923.27,880545508.514,338077149.451
399931329.111,289893538.175,221337431.2,147382994.363,1527162968.89
