Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
17124671.648,700688757.988,741983252.798,449820720.757,275523589.223
349516594.253,648211155.41,1436935650.23,186761144.29,418999895.866
46087631.8318,243928301.636,689501795.684,269164583.028,61666388.7027
182328444.536,404861557.246,-7873573.35296,229829124.385,19165814.5257
313376885.075,1754296924.1,545209385.394,587405769.483,146422731.258
877973870.479,88041233.4149,4821480.19993,192294411.924,5713479.98347
-7042258.37825,130236517.609,115284379.637,209914747.559,164091013.234
270901818.47,133521013.898,138631357.843,732297000.968,1398098421.83
677193765.776,418812803.039,1421783343.01,735639569.062,7005502.12779
225438512.525,1246333452.7,53056161.2084,673642656.77,154969931.77
463728630.269,963051891.895,235488613.608,134292643.639,224357169.846
798234457.547,458622612.646,318525840.719,636421132.996,10400786.0205
281513180.066,331262062.087,330661556.898,1300331369.93,54681722.3477
657068569.443,144259650.109,1249108417.58,569203982.259,69179326.6158
299560841.126,71432640.1764,565294261.198,1072031435.65,188033870.281
502735248.235,215727463.791,581560163.86,349372235.197,45803216.8796
450316863.936,238375635.174,19594381.5374,464857635.376,0.0
126526115.477,257560861.944,-35634617.6525,369212712.092,10065522.4344
291626089.501,380801768.059,537060649.784,263716063.85,49312609.8506
1033081260.54,75669816.136,612708985.314,529980794.036,20573019.8791
69367610.4257,627781104.019,196889392.486,377563456.832,42650762.2112
1346029302.43,221920657.604,219782367.489,429091686.359,133508723.54
298371389.013,695166790.05,106263949.686,747232559.752,-469573.612113
151455806.275,1763139008.06,122068261.745,463541274.222,5751147.12012
100946973.067,511437873.768,554601458.104,12122049.8714,22529080.551
424309956.63,346382722.41,287170779.347,229183641.623,576624380.223
80342104.7997,353336660.929,1516111515.6,301429082.536,45916625.5762
452045144.396,420480659.834,393724562.682,724322973.527,0.0
780933988.534,677283574.886,426636134.684,5693709.11228,25287598.0935
147611490.253,225744993.102,76422391.5242,142888618.095,
48987650.1434,165292129.66,161897041.293,1039129303.16,
491381638.089,560819612.228,2029839384.74,54400806.7497,
45409541.2209,1862747272.1,155685509.461,344395932.685,
75734685.1357,516351429.456,181389670.138,262528910.848,
75355071.0501,184291794.24,270108417.322,450229120.081,
713955935.599,888925260.598,958718885.411,324411096.795,
143526331.5,1768823602.89,96340202.7606,640485327.194,
211543169.168,446767699.884,382284587.964,596539063.083,
230246128.996,1572170534.32,307095660.96,1182346386.57,
179278652.384,794241140.108,99197187.7909,188018895.418,
394985245.534,534370116.717,44008666.236,230144807.331,
1153021549.33,228584449.168,124965370.328,69867181.6526,
326705703.786,1261555348.59,333921986.876,632357927.385,
81551248.4866,1407377889.1,48574831.9417,637936077.118,
809712074.217,1088078532.11,742494914.839,261571272.016,
47891287.4792,1535043145.51,325327099.687,247819414.096,
1094800987.93,1160897104.58,65774095.6956,313849619.984,
167100832.868,578320748.509,24005216.4126,738459819.71,
119701612.426,2526852570.22,358467622.144,1575709396.09,
145975087.203,571088588.628,534376381.289,1130851412.0,
255176846.039,210180139.095,86625790.9397,135077427.593,
47755913.025,284516495.898,140092968.879,298914697.179,
-53487294.7642,1539877130.32,297651800.399,802491731.29,
32602323.8589,978941944.329,168961464.034,278001231.491,
121937404.356,481743835.334,703048183.728,504677443.526,
829489163.772,79239956.4896,778907963.656,350405705.434,
62270237.9998,1365969285.3,1328899938.12,360157006.038,
233725517.677,809153853.076,268984610.635,332714353.134,
378471117.255,434074842.434,187511016.314,1169775272.1,
105503963.012,418770534.436,,1062623143.9,
310680971.166,649010053.754,,396633947.992,
1029493241.67,1440516287.2,,336909456.024,
826360872.549,823203186.491,,331795319.033,
307857925.951,257779133.302,,317156836.655,
585956357.203,1377365394.16,,718233025.27,
275004179.598,1510263480.46,,495222825.934,
518534138.003,867222730.835,,389324050.32,
261772066.252,1914363082.4,,585101186.561,
257500626.958,1953124354.19,,308170352.088,
391558302.401,146810150.915,,394464032.659,
212949825.655,324877532.898,,76053644.7936,
127785570.058,255687747.313,,465473694.404,
85490618.1485,739528762.18,,67196016.1626,
661317045.897,483942624.823,,670919092.219,
568232477.885,554178929.476,,524639004.577,
181984085.379,919923865.493,,327698579.686,
151538016.081,882985609.598,,421507860.586,
434996677.023,247126055.065,,1434198364.07,
341780051.214,1261306078.17,,948756841.983,
228416625.371,506049636.537,,625283205.946,
253401410.142,321029492.053,,1108773712.41,
244381036.322,165196609.217,,873050285.898,
184011439.258,1149391250.46,,170386693.174,
161265550.487,609044381.379,,804631956.998,
233778137.418,1006329222.0,,194064859.927,
443471921.425,303074040.705,,161134110.272,
227094559.513,1166694186.67,,193715591.701,
78711968.9534,323665535.129,,503684417.398,
715862.030499,562718661.017,,1317713685.11,
99436128.4392,618729168.1,,802546450.741,
1360780336.43,613210043.973,,149268650.769,
642217246.559,276094143.597,,530879155.505,
217627467.296,313235665.313,,369052019.624,
356590729.876,1714550895.86,,169782705.435,
709111592.132,52641139.8015,,751667637.517,
212493112.373,904885125.129,,951846058.165,
84773474.5998,166549535.147,,483248406.946,
113669643.643,314669019.186,,50738642.3955,
357749533.264,947738567.65,,541103092.981,
27120564.0492,109640412.045,,1618841812.84,
11435331.5534,389912569.19,,520693026.664,
135058257.951,1051385830.19,,203039547.443,
102746448.142,166796416.8,,403090184.456,
12853791.8648,395524232.688,,102813388.93,
121687079.602,402892893.3,,485553982.528,
15072975.712,360998355.529,,985790773.281,
390545416.279,647094416.864,,77892549.9251,
582460829.837,1118096860.43,,685971306.698,
57377465.583,710773047.818,,1051736966.12,
90125549.4809,1058032373.04,,725086176.957,
134691149.724,777308776.607,,251797942.563,
252427931.234,1204261377.3,,1418783261.76,
470639570.711,662270704.632,,,
416421261.345,845030199.366,,,
612633038.536,405405165.119,,,
1399282718.96,2203628666.55,,,
366212455.962,612476873.188,,,
807762816.524,139394560.109,,,
349682461.565,704685944.876,,,
517252353.032,866084944.154,,,
40628999.2659,2172153489.3,,,
372092066.872,1415228719.58,,,
445191329.504,1000113503.43,,,
731077803.441,1171997352.63,,,
170273620.568,1065376256.75,,,
163960298.455,423297884.84,,,
602172663.605,425589525.299,,,
242464835.01,585339562.622,,,
115599128.152,459817833.857,,,
54406187.5732,923209944.557,,,
475101291.211,502771172.896,,,
169433767.762,1048828873.1,,,
960400782.012,1362451254.41,,,
93261729.6214,494859043.123,,,
18648627.5428,921824734.791,,,
125435536.962,221417979.031,,,
118233392.826,106944930.024,,,
160544592.151,443803219.321,,,
348923735.636,158593148.236,,,
212511877.508,1502603429.07,,,
93778891.4992,73334727.7546,,,
50892631.6131,410078780.607,,,
131000997.227,506856096.273,,,
-8227016.4433,1112943776.86,,,
653798067.833,412119299.502,,,
928422516.317,1104297341.12,,,
13687800.2146,1084464316.66,,,
484122268.557,46159372.1253,,,
260877373.617,2018541924.18,,,
207345086.488,613471760.549,,,
