Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
561698989.873,960724657.159,281351478.356,1034474663.59,6141555.07189
26506399.3339,542414396.192,116114145.475,2108276256.21,49451436.4742
-27230786.1899,707789538.772,238380539.303,507077744.111,58628465.4752
85020155.5046,580583234.104,597863970.902,41295670.1518,28606251.2912
1319121238.92,579249566.571,404241245.355,183674353.792,615041810.534
-10351859.3497,987246428.426,480255708.0,666653442.575,88287893.9294
641891153.514,913487772.242,318093737.91,1639817263.65,11998873.9923
124893605.033,1091237464.62,5187184.06832,484709640.003,26022836.2983
266960546.747,418876104.993,233737346.845,830442115.057,-971392.561735
229648107.961,874133540.171,384195770.442,113109609.777,229286597.724
198544423.982,1369137461.36,526642521.397,1267524376.76,168102563.41
715652264.031,579099744.144,1092208641.47,1003653645.66,19999444.6833
163552683.547,557475850.941,373515127.119,1867519972.32,60842556.8321
135060239.506,1063566004.3,149236298.15,74280810.8769,124609885.991
184761662.474,283937520.632,414322490.661,477968349.574,79135596.3853
154553878.093,548719560.64,46355386.0911,672035077.57,0.0
540849110.706,969179380.952,304545441.886,291479933.815,10791199.1849
236639100.932,628001745.071,-15802715.8593,24259120.1975,18715066.2321
240622523.136,231920558.143,,290700370.38,110574873.961
715160991.784,275694779.971,,512306426.65,-24892057.6241
379297366.061,667075173.766,,800185833.832,74574029.1244
415164190.659,695000563.009,,182790148.494,1229016.11354
538330510.043,286487143.819,,686106090.372,423184898.735
251776023.59,2051232553.13,,158087637.496,105152195.818
88903479.8888,377076980.459,,974087088.136,101374288.92
1027248473.31,128392018.69,,293858128.567,13992234.7525
330958063.034,181093277.234,,659864146.023,36319359.4104
458682082.943,378047420.683,,1125786665.51,0.0
822760484.86,1015457042.56,,172530269.46,12634556.1431
113803473.724,240083962.819,,556581954.924,60736006.1868
901052067.523,853939834.154,,88076213.3488,
164934782.476,749381076.428,,275276990.569,
330687123.009,406896277.897,,315767876.313,
1348628905.56,1489892403.29,,581366621.641,
515245320.77,198151368.484,,849934959.31,
130066867.282,1494010902.27,,1295805377.71,
165462483.076,951776269.932,,392187728.601,
9474718.43974,116141191.716,,666639925.132,
-6492974.1267,115223888.07,,451203145.203,
133781401.996,597941759.008,,809294529.011,
324037494.441,64277011.3862,,465376562.797,
279816307.063,1286944322.67,,842260134.574,
348166325.584,951560167.343,,845318508.238,
522235698.511,446914104.48,,1189829923.86,
361395536.243,814763024.609,,742117383.648,
406898275.795,400152161.508,,487764075.653,
-41655443.4009,916987047.749,,1176556344.29,
-2735507.12297,392782591.784,,,
32618974.6,915572920.317,,,
941176340.287,660547960.186,,,
-731498.97271,816454404.877,,,
358999967.274,524894224.584,,,
-2426329.99427,831853770.14,,,
373728648.667,819779146.154,,,
95706568.2332,201414553.547,,,
157233686.683,794231419.668,,,
1471401673.04,1597193269.65,,,
244582891.674,979792901.639,,,
86922172.0232,1752043465.03,,,
382293260.665,742656015.6,,,
238856815.308,217332245.299,,,
370873894.133,504016756.535,,,
154530278.189,159904241.805,,,
793113394.148,1709232633.36,,,
158748561.926,197546259.278,,,
392520766.63,1670374663.54,,,
356270967.053,569705437.647,,,
419315202.514,684589923.335,,,
43407832.6635,32587099.4461,,,
-44451056.0195,765672533.443,,,
83129967.9698,358140699.874,,,
388243076.112,971864354.481,,,
339767602.14,583749920.615,,,
672990247.137,943745607.398,,,
285011527.023,980866302.232,,,
164123354.521,1174831403.48,,,
963618783.993,411322403.846,,,
938689746.156,323316563.025,,,
292134418.111,295623376.919,,,
168603939.982,291528190.521,,,
86853435.6759,242190595.103,,,
183989767.346,440550010.542,,,
76063385.2342,2094888805.3,,,
787854914.409,171594466.451,,,
606700759.784,360347164.669,,,
807036287.587,1360021937.19,,,
217342185.988,1871514612.3,,,
816968840.945,244567280.715,,,
247505427.925,1104264509.92,,,
157612393.53,777448789.673,,,
155930429.133,769586687.153,,,
522373691.341,783190079.165,,,
106948229.471,524781372.186,,,
-3721679.30284,771954664.054,,,
459350646.221,492477815.978,,,
115933739.944,1134336525.52,,,
325402122.884,936657465.343,,,
262525071.37,1272972372.57,,,
154716287.547,238926523.747,,,
350215739.143,850183199.951,,,
218927584.53,642555012.989,,,
562691129.336,817558863.027,,,
67330979.0921,643973186.465,,,
33740825.6952,949916668.547,,,
621054772.248,1816913089.71,,,
195201874.179,1122400294.72,,,
386665718.809,1207297971.04,,,
809043960.736,1561156336.21,,,
562724507.174,963551557.006,,,
360714335.052,451135867.771,,,
268556899.852,1631012778.44,,,
361122840.647,886843668.621,,,
911623482.33,699642450.329,,,
224147805.748,442571985.12,,,
534740189.651,647681733.989,,,
,794748512.415,,,
,2119743216.12,,,
,585327021.293,,,
,1162656095.52,,,
,441342734.095,,,
,324807824.267,,,
,482574495.587,,,
,174629459.777,,,
,788485179.52,,,
,826544196.134,,,
,124917491.29,,,
,216149739.292,,,
,174657275.145,,,
,389428161.357,,,
,1294679319.61,,,
,2638621571.7,,,
,470188614.369,,,
,996298587.526,,,
,1053982407.58,,,
