Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
452471252.643,2862626419.42,300918156.257,742444434.222,21452734.5183
1191076719.75,501543174.044,382913539.774,1632769835.09,89908362.1319
87417302.7912,398253381.711,715983062.801,1733703696.81,125075633.463
374975371.208,549207941.595,1257422905.63,13288840.1082,17400982.7423
-83466153.5237,604401416.976,835181822.245,246841896.941,75190150.2862
116457420.148,2386647046.69,581492206.703,483140542.224,-2087220.37386
120001137.061,501686930.056,115019056.826,214334531.51,135305105.318
292176441.979,1300832046.19,90875896.8913,291401718.737,151868527.904
524544993.872,1256722443.34,103535518.596,453822858.415,142889997.159
319021818.401,746951432.261,1146702089.4,592823215.427,240482667.646
309528613.833,631427812.799,969656777.488,816906734.693,359221909.962
539192436.965,833548239.25,264385580.438,344164185.711,-7722088.672
178106221.557,221668035.977,283139593.648,1114461186.23,200361188.764
118211704.361,333462590.538,71461025.1755,1062409394.21,13978376.2185
44215292.6452,546818680.489,422030420.28,502144723.46,3390964.83275
53238121.2446,805509453.393,80466886.632,775404395.416,77669008.8781
251328258.686,725784814.328,802827010.798,137655180.674,72693222.7086
288689324.133,1252638881.49,250452536.326,650018177.698,-9869089.70926
169648367.756,1583217853.64,,697213613.882,45583524.955
182779932.365,310053627.043,,1039637054.53,161576.193016
69096778.8334,710083479.73,,20488002.378,150723076.546
128607214.607,1265001620.59,,1090275947.45,409913270.335
30663871.6804,688970238.362,,248924312.721,11871362.8982
634816103.372,746881964.65,,667285673.309,58652286.0648
62297129.4421,549836104.855,,267405448.974,4781903.93758
717044746.098,1964182975.1,,1665614736.49,209789757.661
157392612.567,437148111.071,,114928672.759,325717255.035
849890400.835,389609500.674,,865297909.7,171944949.376
729216579.052,666236349.967,,1243380527.28,43393429.7293
311641354.669,773697175.186,,575705397.01,147652152.195
143324936.195,814977256.109,,135874890.565,
716318396.632,250774759.072,,133057045.48,
183235544.962,57428679.2606,,464027632.578,
363656165.469,609346316.071,,504975041.847,
479313147.431,291381529.948,,359123287.443,
532447696.029,735738023.882,,585454608.531,
485692332.63,461808488.376,,114873681.289,
732116883.088,432512722.397,,734308196.052,
270077524.733,508802456.21,,645508384.097,
328295135.41,1600399089.65,,411776211.159,
223640975.378,942107858.29,,463036818.422,
122002945.553,553559293.04,,237923171.969,
42448216.2348,632683901.608,,598994487.279,
527222056.777,468837764.375,,637150850.795,
327900258.362,208755271.705,,762030050.523,
1403964217.17,332861030.656,,51030196.9072,
187524485.252,1120968975.62,,272453587.132,
232416176.27,536958270.059,,,
195054917.549,522670849.681,,,
184265786.154,597242962.111,,,
243561103.446,1467454694.23,,,
103996190.511,754495514.996,,,
41236326.532,192418516.535,,,
61642038.389,1139083074.94,,,
189576012.809,1626334409.66,,,
200156728.824,94700540.6712,,,
245414077.005,177335565.038,,,
879782762.113,1449464241.47,,,
80431297.2185,167874330.756,,,
244914373.05,1547110374.44,,,
348200539.691,793408978.989,,,
175786350.947,321074406.779,,,
207732807.222,549065537.566,,,
265959709.692,552708012.233,,,
116025169.673,945500108.702,,,
273788938.896,1221298502.13,,,
271644337.309,805999673.884,,,
55817433.3904,125488336.518,,,
200141197.379,302363251.18,,,
223267991.442,241296939.14,,,
822976855.999,490331649.986,,,
616840212.371,731398019.272,,,
382747214.809,195124703.327,,,
139154584.69,926925942.324,,,
336320471.686,554437229.86,,,
801247252.744,1320268285.42,,,
102889367.404,380478763.854,,,
139737502.336,56352441.5043,,,
458853892.295,240059779.763,,,
35390963.993,501389619.627,,,
202875376.281,563922034.602,,,
56194916.4846,1053832584.96,,,
143639486.215,1175196635.6,,,
27781935.8041,660412578.88,,,
506917683.779,845080785.182,,,
254277390.717,859193705.791,,,
127149394.481,704389507.337,,,
509117184.68,1050753677.08,,,
69071162.2391,1470420519.82,,,
8128266.26226,260873763.764,,,
184630038.182,859315664.216,,,
308096615.514,799451305.358,,,
64932581.8088,61503406.085,,,
180273376.3,2036199626.79,,,
140207048.319,1025971018.92,,,
164742789.424,923200726.386,,,
17641905.7991,621681839.781,,,
296011513.818,1181184197.42,,,
58276144.2426,1642390796.79,,,
474533397.23,2034926237.74,,,
152290318.364,63956926.2097,,,
225775133.173,910942137.461,,,
212657989.63,455107680.828,,,
347622916.869,876130075.277,,,
1070578727.6,566230788.544,,,
-152485500.815,613725313.017,,,
,1851196755.25,,,
,290438375.15,,,
,562505749.228,,,
,720142248.55,,,
,425842146.419,,,
,486095115.05,,,
,383133204.534,,,
,968243077.629,,,
,142735341.684,,,
,723646747.644,,,
,540928563.269,,,
,513933355.353,,,
,230865914.328,,,
,129805556.993,,,
,2067611356.73,,,
,163847676.555,,,
,481862553.07,,,
,296479348.376,,,
,501379723.883,,,
