X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
4.756588370769999,-75.67808918899999,4.810329658440001,-75.7560746781,"[4.756835, -75.6777315]","[4.745333599999999, -75.6653393]",2189.0,174.0,2.780150708869872
,,,,"[4.745333599999999, -75.6653393]","[4.787929099999999, -75.74251380000001]",10650.0,578.0,2.416389727894459
,,,,"[4.787929099999999, -75.74251380000001]","[4.8000959, -75.7580686]",2258.0,152.0,1.264827714494593
,,,,"[4.8000959, -75.7580686]","[4.8015531, -75.759079]",267.0,33.0,4.085097016820827
,,,,"[4.8015531, -75.759079]","[4.8061831, -75.7620784]",631.0,51.0,0.007669960279214963
,,,,"[4.8061831, -75.7620784]","[4.80798, -75.7611]",227.0,43.0,0.36471206752679036
,,,,"[4.80798, -75.7611]","[4.8086019, -75.7598883]",178.0,36.0,3.173862095124563
,,,,"[4.8086019, -75.7598883]","[4.8078588, -75.7579363]",232.0,51.0,2.717944577311619
,,,,"[4.8078588, -75.7579363]","[4.810353099999999, -75.7561523]",355.0,61.0,6.320673457252088
4.79611306849,-75.7126382527,4.810108079080001,-75.7097937947,"[4.795833399999999, -75.71276399999999]","[4.7949033, -75.7110142]",220.0,64.0,2.768856208181954
,,,,"[4.7949033, -75.7110142]","[4.7937724, -75.7115997]",142.0,44.0,6.933640254203904
,,,,"[4.7937724, -75.7115997]","[4.793435199999999, -75.71093809999999]",82.0,32.0,2.467859280129344
,,,,"[4.793435199999999, -75.71093809999999]","[4.7948841, -75.70922929999999]",431.0,70.0,0.6768108627652818
,,,,"[4.7948841, -75.70922929999999]","[4.79744, -75.70792999999999]",319.0,86.0,0.7134936801750474
,,,,"[4.79744, -75.70792999999999]","[4.7989963, -75.70607079999999]",278.0,38.0,0.017859084779099477
,,,,"[4.7989963, -75.70607079999999]","[4.8018481, -75.7040811]",590.0,95.0,9.18601922042097
,,,,"[4.8018481, -75.7040811]","[4.8056702, -75.7004128]",680.0,80.0,4.749805569985304
,,,,"[4.8056702, -75.7004128]","[4.8052325, -75.6983109]",245.0,28.0,1.9105387720209948
,,,,"[4.8052325, -75.6983109]","[4.8065335, -75.7029438]",624.0,69.0,0.7716635626247899
,,,,"[4.8065335, -75.7029438]","[4.8081035, -75.7080253]",608.0,59.0,0.053129829817531865
,,,,"[4.8081035, -75.7080253]","[4.80821, -75.70912969999999]",123.0,19.0,1.8468299748496977
,,,,"[4.80821, -75.70912969999999]","[4.8079767, -75.7107323]",180.0,28.0,2.08808630527218
,,,,"[4.8079767, -75.7107323]","[4.8135312, -75.71716479999999]",1019.0,113.0,1.8056538850195578
,,,,"[4.8135312, -75.71716479999999]","[4.81238, -75.7112683]",680.0,114.0,2.8026111872978365
,,,,"[4.81238, -75.7112683]","[4.8118908, -75.7114367]",58.0,9.0,6.41803866518048
,,,,"[4.8118908, -75.7114367]","[4.810117200000001, -75.7097952]",294.0,35.0,0.04139910147809325
4.7916584788800005,-75.7098843874,4.80282778445,-75.7265636074,"[4.7913091, -75.7100676]","[4.7920009, -75.7113067]",157.0,43.0,3.2726051827836864
,,,,"[4.7920009, -75.7113067]","[4.7907234, -75.71199]",161.0,51.0,4.845373934473419
,,,,"[4.7907234, -75.71199]","[4.7937733, -75.7161318]",579.0,119.0,2.568360969840527
,,,,"[4.7937733, -75.7161318]","[4.7935206, -75.7167382]",73.0,14.0,3.085867095038105
,,,,"[4.7935206, -75.7167382]","[4.8010632, -75.7280182]",1526.0,296.0,2.0430482834190262
,,,,"[4.8010632, -75.7280182]","[4.802865499999999, -75.72660929999999]",254.0,34.0,1.6800744415390967
4.7565628780800004,-75.6782282329,4.79136517161,-75.7330043889,"[4.756883, -75.6777649]","[4.745333599999999, -75.6653393]",2195.0,174.0,2.7775613687957463
,,,,"[4.745333599999999, -75.6653393]","[4.7815128, -75.72129029999999]",8121.0,434.0,2.5159519619263664
,,,,"[4.7815128, -75.72129029999999]","[4.7815949, -75.7201059]",159.0,34.0,0.08628463169361356
,,,,"[4.7815949, -75.7201059]","[4.785239199999999, -75.7259674]",804.0,104.0,2.6837287729745567
,,,,"[4.785239199999999, -75.7259674]","[4.7896848, -75.7326367]",916.0,112.0,1.7349506016817473
,,,,"[4.7896848, -75.7326367]","[4.7914463, -75.7329377]",241.0,47.0,2.6561788165654723
4.7500946731800004,-75.6756448379,4.80801063435,-75.7259060013,"[4.749952599999999, -75.6747574]","[4.7522569, -75.67286550000001]",408.0,86.0,2.721447346988472
,,,,"[4.7522569, -75.67286550000001]","[4.7956405, -75.6950845]",7401.0,588.0,2.59932460037068
,,,,"[4.7956405, -75.6950845]","[4.801639499999999, -75.6942396]",688.0,116.0,1.082698581122038
,,,,"[4.801639499999999, -75.6942396]","[4.8039276, -75.6937021]",263.0,54.0,4.013826845093055
,,,,"[4.8039276, -75.6937021]","[4.8038282, -75.69511279999999]",175.0,24.0,0.17464929019781758
,,,,"[4.8038282, -75.69511279999999]","[4.80538, -75.6981799]",389.0,36.0,1.7936901066102686
,,,,"[4.80538, -75.6981799]","[4.8065335, -75.7029438]",601.0,56.0,0.775896305728146
,,,,"[4.8065335, -75.7029438]","[4.8081035, -75.7080253]",608.0,59.0,0.053129829817531865
,,,,"[4.8081035, -75.7080253]","[4.80821, -75.70912969999999]",123.0,19.0,1.8468299748496977
,,,,"[4.80821, -75.70912969999999]","[4.807469, -75.723334]",1683.0,186.0,2.393907781296225
,,,,"[4.807469, -75.723334]","[4.8077846, -75.72597569999999]",307.0,37.0,2.1688715647345473
4.7524893076,-75.6725659585,4.78939729124,-75.7474133314,"[4.7525515, -75.67256979999999]","[4.7527442, -75.67298]",51.0,6.0,3.1632526014497433
,,,,"[4.7527442, -75.67298]","[4.7523157, -75.67294749999999]",49.0,15.0,1.7177532861343439
,,,,"[4.7523157, -75.67294749999999]","[4.745333599999999, -75.6653393]",1422.0,128.0,2.5089609938035835
,,,,"[4.745333599999999, -75.6653393]","[4.787929099999999, -75.74251380000001]",10650.0,578.0,2.416389727894459
,,,,"[4.787929099999999, -75.74251380000001]","[4.7881003, -75.7430293]",107.0,22.0,1.8822053069569677
,,,,"[4.7881003, -75.7430293]","[4.7877403, -75.7461845]",357.0,65.0,1.28423732747982
,,,,"[4.7877403, -75.7461845]","[4.7890815, -75.74609629999999]",159.0,36.0,0.631180563235696
,,,,"[4.7890815, -75.74609629999999]","[4.7892891, -75.7474654]",158.0,53.0,0.3303044836084683
4.79619565838,-75.7195482359,4.78690301378,-75.7245885087,"[4.796185599999999, -75.7199558]","[4.7966085, -75.72061310000001]",90.0,15.0,3.661562046591781
,,,,"[4.7966085, -75.72061310000001]","[4.7958381, -75.7211493]",107.0,52.0,0.15242509563377143
,,,,"[4.7958381, -75.7211493]","[4.8031874, -75.7358047]",1966.0,319.0,2.8298611346868
,,,,"[4.8031874, -75.7358047]","[4.7994538, -75.7344435]",550.0,108.0,0.21323959016707483
,,,,"[4.7994538, -75.7344435]","[4.7901169, -75.72549819999999]",1462.0,225.0,2.2720093024531955
,,,,"[4.7901169, -75.72549819999999]","[4.7880632, -75.7248249]",272.0,50.0,4.972722175477038
,,,,"[4.7880632, -75.7248249]","[4.7879361, -75.7248249]",14.0,4.0,4.039453927652856
,,,,"[4.7879361, -75.7248249]","[4.7873754, -75.7242256]",91.0,35.0,1.5520456081885567
,,,,"[4.7873754, -75.7242256]","[4.7869418, -75.72463069999999]",66.0,27.0,3.121772035441252
4.801462137900001,-75.7123230713,4.80205738756,-75.730291068,"[4.8014626, -75.7124439]","[4.801067, -75.7124365]",44.0,8.0,2.3896856807630056
