Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
261334429.627,630072091.192,26803819.2716,653014106.99,108019035.958
84696839.3285,40942662.9387,473417233.294,426618241.611,611941500.119
923998152.588,1739934229.29,549029104.576,315978537.888,0.0
441655884.227,867064904.425,184678039.791,755625422.845,394710835.315
434547936.69,838647866.716,723357648.729,1233819474.85,96409612.7292
886591943.036,148043572.887,916100774.133,198800548.316,24011670.4198
179094391.375,551414279.531,712905339.077,304978602.618,21512004.5012
406156096.488,319174084.346,334359041.614,230230110.528,260759935.145
585452624.318,640734001.787,15740875.7244,252267262.763,56859494.2513
426851861.578,320938267.107,639129666.328,129039404.891,40315596.817
534062415.72,841116258.654,1632833324.24,328424720.752,361885210.412
69118720.0701,938174617.282,144632545.341,34148527.0605,31521823.7738
416710649.368,300312464.609,1232245865.88,652167155.252,572650625.6
104958405.335,268528495.983,412562496.545,431277266.938,396954586.953
94396087.0908,776769454.933,944467411.798,244154526.427,7967432.93493
256738301.035,1016212200.88,509537166.852,1353567065.85,352692820.296
208462503.817,650628164.549,84851081.905,853726516.527,0.0
235897203.492,783318606.812,699374105.098,682203701.484,54798081.3753
167513508.707,477842749.629,457779073.867,2454748034.92,79439358.7846
217021556.356,1067763725.91,246928064.193,738821267.664,17279410.9165
88450854.677,997775341.079,428034538.138,958645320.718,103474923.824
281024289.281,1569424351.91,25745704.9203,564704714.167,203673900.441
226148199.544,657408669.364,1028370941.03,430496436.204,78094692.5696
133996853.166,531356824.213,79198894.1749,110354339.496,405888894.95
157840631.568,471606729.598,500185394.462,480079913.308,1627111.2398
25235456.4355,1063779658.72,1423352804.16,463868925.471,92378435.0663
590581862.927,607386229.996,481911425.357,1074547602.41,12094492.5854
286169295.706,799052236.859,289995470.391,820670055.102,417387300.246
-38606035.7063,622211900.091,51490846.5948,426635229.947,383075165.013
162666000.199,618202817.618,272034008.324,865672319.168,
357256421.428,618862603.008,618996655.141,1842401676.45,
181183986.319,571064490.965,766711281.111,776526477.651,
534864023.047,299134532.279,419304820.932,217396011.414,
705775627.971,75957613.8359,944813681.434,959407485.696,
947511452.453,1218795909.86,1214822960.39,264223148.097,
433588043.502,2170900634.65,186960099.89,1215239785.26,
745962793.929,1068828478.39,786502506.854,954156451.516,
339648764.255,285539715.663,247917976.294,500377553.014,
105677254.375,1875128625.19,514993181.149,268178537.768,
98653443.2021,756253378.383,299486653.43,704464222.798,
880449393.51,619959808.092,1095942402.74,325529667.84,
975453089.324,979265862.773,106525559.045,441633445.92,
97903757.1893,1003179383.13,199813827.837,395216631.012,
254523558.516,2207249328.88,624866846.272,357066570.98,
362556926.31,817506153.704,664272642.449,573486774.416,
108162848.523,587698244.309,78762378.0769,705164045.665,
558525906.809,207740118.304,517912877.661,697158805.211,
194760210.396,224139303.817,188272932.364,984126460.252,
176903386.018,509067078.564,721042301.227,814751966.156,
212399549.862,1605086998.3,813948397.541,871018650.765,
27482901.6596,68145791.9532,79587489.3361,804287974.488,
170808255.643,282820733.81,1377927118.0,1077369487.58,
152320176.468,1195300998.88,786332033.847,511129863.693,
