Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
320975563.284,983075254.991,175658407.611,697840811.345,64087927.9156
688977124.851,70533885.3477,316675271.987,765689189.91,48900053.4574
243254649.919,983124037.003,76826145.0994,907246008.566,150152539.234
91472728.4117,494089078.399,440816595.318,113820964.455,113170618.18
174220531.245,1470357769.24,151184471.507,189121027.468,292013715.065
147441884.151,736400915.966,40118812.4601,658831042.207,319002894.946
118458594.307,336205021.0,272237174.093,104532341.478,64819167.0353
1099017080.75,528557918.344,310665557.289,462012342.839,243074638.731
187690601.483,336506858.483,460081452.444,605258696.43,51153216.6856
410713180.208,2095698383.08,239437445.358,1352362589.93,215532632.205
90484041.9813,365827776.761,1465341739.25,43992810.1827,202018091.692
163744125.695,270157462.742,413964733.63,308295222.359,83328799.0603
160786591.57,784153728.444,208129423.998,181950647.361,49758637.5416
855848836.203,267577949.632,29593215.9021,1703940704.75,64402361.072
765819058.515,416294458.733,317096332.241,465868718.289,29560171.4589
171996665.355,744848464.367,1667332645.14,95452828.9983,246410141.626
35691426.8126,641633505.108,544753801.66,1510253631.52,123953720.848
127717654.85,170161646.571,1607183936.33,700778804.691,77712959.4428
580244274.214,697611591.058,,698083013.345,137802782.183
67372270.7561,412810898.293,,628431122.881,76678746.9178
47380478.3394,1051991809.28,,198807119.41,3972227.22072
83543467.4304,833359557.898,,611350765.215,251955815.364
200366701.747,1439197572.73,,288691172.857,983877616.762
482498915.201,1315329805.3,,718061873.029,4803376.41666
603724176.474,912515054.366,,666153194.31,122418674.431
474334505.177,581005195.735,,93592120.4231,832570289.427
967101006.902,891045579.976,,920629068.291,119889591.654
131782668.825,938756852.026,,377053451.702,28107079.099
176719269.197,702384687.815,,227826696.116,18075921.1897
516484414.986,170047586.711,,594312537.262,230713444.317
75530870.0601,602906577.854,,667598766.865,
112809881.548,595864366.06,,136732107.63,
337765646.875,802595472.096,,120407430.759,
318552962.702,1436189902.44,,688021685.494,
944334577.233,632734843.898,,73410157.9379,
394019791.095,2286694619.93,,420666949.493,
238566131.384,1498783462.66,,831982539.078,
108060775.209,2176424994.22,,857094420.696,
297546222.544,835657880.145,,911835688.153,
527120748.972,516354893.895,,174163686.743,
399331698.554,1281520971.18,,513549228.745,
290359745.908,476684945.173,,76804849.6691,
599042068.895,260746079.113,,320159147.64,
63301390.902,488944161.96,,608159818.85,
187667086.673,1363494306.8,,58999559.151,
658923348.448,197141545.989,,1497762349.38,
182740842.838,295266601.338,,152662409.157,
146745686.545,257187167.801,,,
821456679.653,234842335.496,,,
200763441.412,555939293.699,,,
258104554.025,773292045.587,,,
591984233.019,384806422.255,,,
56199258.3522,883232412.177,,,
447105252.888,764257988.758,,,
371360868.645,661735334.986,,,
146144118.485,1676985073.99,,,
354599851.259,612399296.783,,,
66395010.5171,923039758.238,,,
-9009044.91615,913504404.306,,,
462039388.593,347105307.658,,,
349564142.02,420358977.374,,,
323772077.871,74091632.9022,,,
335803258.542,706106766.65,,,
246637456.13,642991713.531,,,
423509324.828,1653658918.08,,,
43825458.5077,1593560512.4,,,
397972030.738,613111556.54,,,
132306703.074,499380230.534,,,
707931694.261,399136864.972,,,
569692877.192,842801665.911,,,
108565437.08,207089776.138,,,
197821596.275,457476785.259,,,
-118450249.126,424890446.305,,,
1196841375.01,1034223102.95,,,
506939241.067,1267026386.26,,,
759983895.555,373157309.342,,,
573377995.275,817970048.179,,,
1416276932.08,304885899.14,,,
436779173.702,556826946.781,,,
240554501.089,136425305.388,,,
84549894.8764,462191686.527,,,
89919040.9552,874080562.551,,,
644328569.104,987243403.412,,,
542987132.245,823365003.59,,,
287741993.497,585392196.241,,,
52958192.9164,689293873.328,,,
181104789.7,869129670.333,,,
-29990551.9114,669663941.802,,,
212744750.44,249143642.108,,,
246548770.995,288458683.164,,,
289516061.561,774885063.662,,,
403974441.157,1134923959.91,,,
245280056.199,519265481.982,,,
52317019.5892,399052245.019,,,
441935858.465,1058804459.27,,,
474764048.01,941118529.297,,,
275524273.707,1693415559.2,,,
1036099410.96,981809820.728,,,
409797244.188,248272274.144,,,
429250912.08,433693958.258,,,
192774198.873,451317735.471,,,
997399730.336,1122594683.96,,,
,344293756.977,,,
,1099500229.94,,,
,727460895.437,,,
,810303577.217,,,
,763205297.186,,,
,131787773.673,,,
,700545689.711,,,
,847590631.281,,,
,1736952521.92,,,
,531089365.594,,,
,333488717.243,,,
,698780172.395,,,
,660777147.384,,,
,387052376.403,,,
,1152948357.5,,,
,299112955.331,,,
,429129835.277,,,
,403905165.651,,,
,43666576.3911,,,
