Lunes,Martes,Miercoles,Jueves,Viernes
2.49515117065e+11,9.02651215427e+11,2.90644556888e+11,1.70590275606e+11,848539500.83
40335786196.0,1.65523183889e+11,1.99951468901e+11,3.90322165516e+11,48547396.5599
36815524.7585,35532082699.0,46449354.6051,1.43860708362e+11,2.53925798902e+11
1.49761390994e+11,2.50182321752e+11,92396297.4231,6.49783780939e+11,3.01029836218e+11
37792119.1244,5.06078051756e+11,59314443994.0,6.80660187424e+11,1.64247928897e+11
66452704994.0,58645540.0591,81669575.5097,3.78372381681e+11,5353129.93357
3.35083838458e+11,4.69235112953e+11,1.94141932061e+11,54130765.3688,3.29733620896e+11
1.13402831856e+11,327357257.93,1.45370691887e+11,1.76676830051e+11,1.55383035435e+11
1.97244915804e+11,2.57335564754e+11,2.71317386627e+11,1.92498325547e+11,1.36205734954e+11
3.90065376956e+11,1.77302534987e+11,98545282.2341,4.76952240603e+11,45365011.1541
1.71056763141e+11,97988519.6956,5.50428456999e+11,96117098.1061,3.40085410515e+11
71354835.7027,5.93637402381e+11,110612486.43,3.14109272917e+11,4.32669814963e+11
1.56491603578e+11,3.67386829721e+11,60142467.8558,39727510.1668,70874352.2952
2.47368689325e+11,2.06043638426e+11,3.05753314713e+11,1.56893376833e+11,96641288.7457
1.71444976834e+11,163887846.68,8.47813904186e+11,6.82169309023e+11,27031932709.0
3.51847086944e+11,3.00989544035e+11,2.64000203695e+11,1.25597633765e+11,3.50677652976e+11
70612732868.0,44304171908.0,1.01209740841e+11,40575589.6955,3.04126331996e+11
1.68902764585e+11,1.56898546613e+11,66656288.0814,2.06444631739e+11,61797600.1916
71016365.8458,3.11344800587e+11,2.01655964195e+11,1.60815011229e+11,1.34462484022e+11
4.69304727762e+11,1.69142535606e+11,20148379.6862,1.56625679037e+11,1.14225123961e+11
2.39094273488e+11,6.11028751861e+11,3.89510126094e+11,3.28751248465e+11,5.30593783966e+11
1.59137492462e+11,1.63346176518e+11,62240614.5306,60069908.1625,3.54074531103e+11
4.00912693458e+11,72896184.2644,3.68866924979e+11,1.00722079799e+11,3.87507634174e+11
2.74920807026e+11,3.85209356758e+11,44119048.8621,2.81527927779e+11,85946021.1764
1.60798984833e+11,3.36567023144e+11,8.90044898362e+11,49026353.7789,21179813.5898
1.47787293554e+11,1.56024083496e+11,2.27228457193e+11,2.69740246309e+11,1.15916874841e+11
81574877.5064,1.45078391795e+11,83410552.7337,1.57771344627e+11,1.01583166915e+11
1.93837106518e+11,1.64513978526e+11,4.21362520175e+11,547361583.22,304140435.56
67937608087.0,1.42465717333e+11,3.65744526248e+11,1.12879787959e+11,2.58951498105e+11
272467582.1,112573865.31,49896541.1784,73281527.7939,46304225.9513
2.79879720317e+11,1.10710770265e+11,1.77632666809e+11,1.39101049723e+11,1.93001731943e+11
96105616.8571,3.96974321635e+11,95032079.0634,1.15581560497e+11,7057816.97394
1.54147618013e+11,1.12281954401e+11,61244272.5522,1.07004380037e+11,2.07704842111e+11
298687998.07,1.18776871458e+11,1.68530758904e+11,1.19524979606e+11,2.46181836791e+11
18264926.7437,18898435.6269,3.46952907437e+11,1.93210538215e+11,1.50254922175e+11
2.16475953476e+11,1.79835876834e+11,110184335.1,2.23160707768e+11,2.24983025697e+11
89961016.6644,1.05004512464e+11,1.39829129818e+11,2.76515106994e+11,5.29191250927e+11
3.03305973619e+11,2.07829542169e+11,118468257.63,16472007.8041,21624120.2681
4.18536785307e+11,2.54024898589e+11,50411021.7124,1.58347970795e+11,105379378.83
2.51737883492e+11,2.07685900374e+11,1.36969808862e+11,97601953.5882,164358273.06
6.80123575442e+11,2.29584262712e+11,92563342.0398,90005667.6689,2.63214354983e+11
27641593.6271,1.75073541152e+11,2.27849813484e+11,2.01499359648e+11,82288222513.0
322260578.57,1.59081317248e+11,38293775.2268,2.85384077164e+11,1.64232011328e+11
4.56459944854e+11,3.21385696944e+11,3.61332281494e+11,2.34692828474e+11,1.86327296939e+11
1.46080515775e+11,1.11099962129e+11,2.81694115298e+11,79313891.5475,2.77961799393e+11
3.77410673261e+11,97013790.6547,71551523.6054,2.30211755483e+11,24867873.3526
1.35448808936e+11,2.91436287108e+11,2.43679805195e+11,37224985249.0,1.45161705004e+11
2.36356707442e+11,243112421.0,2.50192762599e+11,1.06331561848e+11,1.63885471602e+11
224776645.72,1.79811347125e+11,5.54533117293e+11,1.29444706701e+11,89143986.5218
2.37645227559e+11,4.49192265419e+11,87124529.3685,1.59389274427e+11,289146068.61
2.52103861992e+11,3.34341326469e+11,1.53109812324e+11,70546418.3755,43426596543.0
2.22575167976e+11,3.83250842569e+11,1.04613497111e+11,2.53134275455e+11,1.51445894288e+11
85848760.6253,2.02480509176e+11,46536987.7104,1.68153212014e+11,92452559.3122
1.06438695862e+11,1.92124171204e+11,3.32899966119e+11,1.55240157652e+11,1.55350599434e+11
1.11349375111e+11,3.90783487776e+11,3.73567041946e+11,3.14058866565e+11,3.26570371428e+11
1.65769358372e+11,4.45010021626e+11,1.01660813586e+11,1.39361583157e+11,1.32044672702e+11
3.09876209847e+11,629063255.63,1.20090517891e+11,1.76448169752e+11,3.11483370583e+11
2.48093229671e+11,2.98119921467e+11,99600008.97,4.48048941432e+11,1.07578473565e+11
2.15584999885e+11,2.11726120078e+11,2.43591188667e+11,98094945.0127,65325812.8111
2.45308232904e+11,34610196.0289,4.87647533318e+11,72056827.6487,6.85188453075e+11
2.20460798284e+11,2.23761300387e+11,100249671.4,1.25619122581e+11,49644200.6441
885110836.73,8.35588708954e+11,4.91240121681e+11,2.16652732696e+11,62694141.5784
3.91476703167e+11,1.90944761131e+11,75320347529.0,117222002.59,88099590.8098
5143767.19262,5.15114664778e+11,1.22066043294e+11,66006245.3381,2.33131318507e+11
1.90073430323e+11,9.32063360582e+11,1.55712889589e+11,5.88111731821e+11,2.56599682236e+11
4.39027753033e+11,1.94213400725e+11,3.06534083783e+11,1.72741008275e+11,3.04907251609e+11
241449158.72,1.99846643665e+11,168310712.5,1.17888000212e+11,45994899.9002
1.98992251511e+11,5.75620893157e+11,6.52596461272e+11,5.01586156983e+11,1.40150058568e+11
3.97634957228e+11,2.75564682342e+11,3.43622870012e+11,2.47446510859e+11,2.00494712908e+11
39021001.3656,1.98186484054e+11,75963655.9818,2.58489456153e+11,482836885.59
3.87565189449e+11,2.57638036028e+11,1.64322124476e+11,1.14240031074e+11,87625631087.0
1.75500790811e+11,472190932.15,1.55055195096e+11,2.21143684724e+11,27426744.1818
1.78844595801e+11,99210724.2651,1.09857395284e+11,92089894.4676,1.25308001569e+11
54610293.3364,1.10175781124e+11,54849322.2567,2.05887764992e+11,2.40054768092e+11
1.02520248265e+11,1.73870257821e+11,81521464.8509,4.26941560978e+11,4.13924243013e+11
3.39703147466e+11,1.79778214426e+11,3.20529424031e+11,1.34821917369e+11,9128076.25878
1.98472938472e+11,6.36653616049e+11,2.40353292141e+11,1.04236428091e+11,80960763.6664
2.71353241415e+11,1.39896099978e+11,1.88733419404e+11,1.14767836053e+11,3.99327826383e+11
3.57977165518e+11,3.84838577314e+11,2.00997740872e+11,5.27688207465e+11,1.97950191757e+11
3.80173761064e+11,1.05406238306e+11,2.26720743621e+11,6.98830226676e+11,2.08867118992e+11
3.56127755374e+11,76104712.7532,109778015.19,375028087.94,67310568.7252
8.37832436876e+11,2.41970014762e+11,254978052.63,1044721224.13,2.42612950129e+11
475272000.13,1.48966488305e+11,1.22875168662e+11,1.31203742573e+11,1.11110317122e+11
2.10406378248e+11,1.47454618538e+11,2.28144106462e+11,1.33986657169e+11,16221218.2761
27977880.1711,2.57126229623e+11,95839674.0224,3.12800788169e+11,2.45600760147e+11
2.23767936426e+11,1.46830065551e+11,59412070546.0,225325546.3,3.74947296411e+11
1.48094764379e+11,4.28092624917e+11,2.04818317904e+11,1.49935955042e+11,89269695.9509
1.24987292803e+11,1.49477851977e+11,89972611.5873,1.89299230339e+11,367187260.52
2.68299939598e+11,3.33099808984e+11,7.94176284403e+11,4.44522528785e+11,3.03755329159e+11
1.56192967383e+11,1.38510949756e+11,1.94256486474e+11,1.92312666121e+11,3.03166545159e+11
5.21951239867e+11,52716158.6446,29809408.5721,1.55899206695e+11,3.27701623041e+11
4.60784816141e+11,186192380.59,142212171.43,25273383.3547,2.06652407789e+11
