Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
230011412.714,390631546.33,20439475.9002,1154241507.3,156818412.124
172792463.115,754441961.46,283844771.927,1142507176.47,300938580.975
41458185.5381,712316476.307,739983071.056,493811739.38,1282527405.14
498344925.321,632735467.133,213194224.022,850514407.904,1044931274.8
882937680.571,842803571.123,72485302.3248,572849475.166,145864537.067
138837475.555,315771957.47,126768989.902,1430949129.76,759240618.166
495121959.349,494497279.429,106901760.286,1109298264.69,734916683.592
194665425.621,190894517.32,810012189.005,772023873.703,392532738.19
387254849.526,604847883.159,138486991.791,1462659309.22,662006601.355
123922779.319,662237012.782,74626236.5936,1525276203.4,71490841.6511
263433021.558,1005145935.04,-23937884.0117,886807431.518,92244107.6311
144330433.177,210906140.454,71535245.0661,916701575.724,213949644.672
199169863.3,506359930.933,118313233.866,26276099.0648,347654199.654
37047337.4575,559771770.9,162332178.363,1552018409.93,-32796440.3864
30435819.8926,568180112.49,211014868.724,436799433.216,679771265.59
53990661.7069,171544558.444,18751408.4108,1082778849.54,561540266.208
265759352.202,102124359.686,161222421.165,611021800.331,262330862.6
100430794.268,379438956.962,232972582.847,1163289980.9,382493846.688
120200221.953,793130601.838,99863322.8485,227812784.131,
-866946.439528,981116835.483,95125813.1598,339425937.729,
432579906.482,638196832.118,189432963.479,767816141.968,
78381536.5218,374716975.789,19598562.3234,354308085.968,
232494569.53,232404019.238,101850741.022,674316650.966,
141443099.105,473136430.041,228151984.774,651456171.265,
100460463.937,232845936.006,248611131.279,423096051.931,
40117875.8534,822651226.65,128790951.169,990094337.552,
608983983.185,767515629.781,118968690.254,2077963212.01,
44586234.5611,1022470831.04,272611332.428,417408464.66,
71285874.0899,614726396.168,387297063.599,1093686476.96,
411293394.399,439668653.826,138653987.242,549488796.06,
36900017.9374,457841145.532,59860346.0951,577094668.15,
322753982.111,316949012.777,,1190113057.53,
66773529.1234,565322931.349,,622437037.193,
374510318.535,1041617844.18,,483487211.014,
23030202.1469,934376668.485,,535407706.335,
9934180.8725,910017566.448,,131194354.317,
440824864.664,444782865.575,,628839613.805,
418997088.408,810228280.326,,459676076.644,
118909187.048,118023331.188,,278918714.074,
433245872.863,312073081.164,,-10179453.3924,
182111904.287,176063732.839,,570939458.371,
127822204.159,105429776.403,,499750900.693,
131685507.346,795354073.089,,472642834.026,
155665504.921,715314455.468,,385743871.06,
117787494.482,439628176.644,,232789190.671,
299244165.218,538489291.97,,1338588173.1,
61468361.1523,239484391.8,,164175468.538,
369138041.708,465191033.675,,1135939294.52,
