Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
39963147.9825,1196629592.32,171754767.77,672678307.314,34786882.6598
21578482.8783,634778734.713,83056603.253,395917445.823,307693174.404
42504546.8428,1398892637.03,34501644.2178,362699790.33,704277702.993
209451132.717,1404217708.75,207934784.412,904276066.196,-15324591.3628
172128336.402,807562802.949,-21046514.8172,512043207.386,-7833286.53474
228802021.295,1016346841.57,15954897.7782,342985260.592,218649606.285
41880838.6136,133731093.019,150183366.073,1251459592.14,88545581.8861
-8748531.89296,316586667.433,200968516.114,516753700.815,152361639.334
33530402.1572,60575077.8805,69410600.1567,647243662.642,
283198653.09,426556918.908,26507085.2794,99454135.7901,
136091829.92,792550595.979,,490033643.046,
94448714.6242,434598483.667,,965687530.052,
196430449.867,143213604.013,,259820236.279,
239971868.147,3869383.1039,,554424889.201,
55783448.8259,287782396.115,,285497519.24,
135421941.384,741369875.062,,472581488.029,
251697087.977,734537558.06,,711983347.193,
327240790.682,563243244.271,,355786077.364,
187580671.804,343169425.746,,684367420.121,
198208167.718,497908582.59,,973816823.357,
109445202.261,301352001.756,,675971560.887,
582498267.369,163465005.47,,490473197.964,
280891661.834,655182438.299,,880038366.89,
4672407.50413,427234554.034,,458493383.052,
542141329.252,394955497.936,,879685885.349,
97307011.0248,99652270.4605,,928038298.405,
276064443.06,145866107.439,,1132425353.34,
491457706.169,248418598.368,,663005818.592,
247135632.539,211644742.68,,1027244213.22,
337046037.913,426407008.665,,1404403535.98,
261596639.939,156023821.64,,458826808.688,
89408256.1857,404378829.39,,836082731.736,
107190543.056,624724123.507,,412969410.92,
170742931.164,476952511.889,,733396145.94,
240972959.361,321334608.36,,580425081.354,
61398256.6815,158246916.182,,1013391615.85,
74581505.0159,446997174.862,,703828131.281,
27123856.9641,448686551.078,,548079440.734,
-1911428.23144,672349306.634,,1235508683.44,
252269982.532,1092592606.86,,,
347020071.093,390192281.218,,,
91397930.9436,630402020.289,,,
217315679.848,180936090.752,,,
194187905.041,386311740.718,,,
-32671632.7878,135874460.576,,,
376201747.696,956851614.727,,,
3344115.24357,939355949.232,,,
416023863.298,726262944.574,,,
41487127.5273,329283130.418,,,
360781108.978,905192993.923,,,
292693555.177,285787771.462,,,
138210599.165,591977382.815,,,
446482113.158,1026408037.16,,,
2320638.91255,156270370.764,,,
172211601.469,42486876.9802,,,
214914280.001,618133858.429,,,
315224640.243,450672954.983,,,
94459880.3221,442624164.133,,,
73373076.3335,430505393.856,,,
142457074.514,890764320.527,,,
70094399.4823,331499729.0,,,
158548088.908,543708452.84,,,
29214812.1632,372750585.005,,,
9830556.9645,189106943.992,,,
553949526.187,856752275.672,,,
12885979.5821,1152634469.75,,,
187760854.204,115099544.083,,,
365943899.025,713516796.143,,,
145510720.895,685625414.576,,,
82071565.8069,1137136338.54,,,
292611712.799,565117041.873,,,
154284662.043,198953605.252,,,
316350884.717,368913734.413,,,
87383968.8882,1287174645.7,,,
281095384.684,653704870.393,,,
121199426.274,421483442.656,,,
43219963.64,651379840.132,,,
299715322.546,72310818.3895,,,
58520548.836,581507970.349,,,
245145854.299,897104826.842,,,
90354290.4769,605276372.238,,,
70233150.9278,331072019.586,,,
51057280.2842,947137576.531,,,
98469958.8477,527725440.47,,,
106957059.892,51102698.0373,,,
111543569.295,194258920.04,,,
91593947.0619,553749041.553,,,
31630104.9934,346571344.864,,,
131667490.202,400866346.273,,,
84023337.5302,750415338.703,,,
98836471.6791,632840917.179,,,
-22066631.2422,1157845171.1,,,
23590121.021,753655309.5,,,
195495590.749,239011555.068,,,
-2264038.8616,558383923.287,,,
385649856.441,79583798.4905,,,
152337893.277,109804038.192,,,
121748078.372,858238783.421,,,
84906543.0286,501013219.373,,,
261298367.272,401642544.284,,,
308980567.741,199714686.842,,,
2210593.32878,212561719.868,,,
39934679.5235,445343467.86,,,
94285765.5625,1074157002.84,,,
144276906.662,491202984.707,,,
55817250.7606,1073820112.0,,,
128474195.647,374407433.321,,,
43035857.9386,553193936.311,,,
281812928.034,966354404.626,,,
83844753.2949,351002393.77,,,
307148662.351,532661581.346,,,
107167626.147,826214821.779,,,
,461439003.784,,,
,1218248026.5,,,
,214702991.87,,,
,146685971.099,,,
,326319818.73,,,
