Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
562878725.502,496032288.675,107885494.625,356998939.183,88857938.9802
116744535.545,203788042.987,22084050.5838,1336000312.6,424588574.429
388891770.289,274098949.732,22624878.767,491279800.092,78912862.4343
424121083.407,71330864.6593,-11350454.1404,753535512.121,173874187.364
37624851.064,732958350.151,53101171.3046,1069715837.64,272715503.635
304607397.126,877473284.48,43820611.8803,696072196.989,514832533.688
61647070.0738,97053530.8137,82457196.5355,888808938.572,372799289.745
199041839.237,596721212.265,180062975.576,1097957833.9,11258227.3403
151463644.693,738903837.286,424494810.704,851380485.652,-10563050.862
175574829.298,1010968240.22,142459188.419,418277297.777,151553580.719
112214437.319,1194518847.16,342450919.415,452573203.228,226745684.637
122148612.479,36461530.6147,-210039.585601,844416330.844,326114172.038
69607653.5366,282970150.735,1708800.50191,8095583.54356,134026572.774
147199137.107,1344863696.68,110230667.785,1169105527.31,156966880.122
37622490.4339,816365958.482,-23219555.1628,705782240.578,887928007.204
498575094.649,412411850.664,-16931998.2212,829229057.13,233458497.65
182896452.267,-9979335.22104,296095696.363,1549665092.38,728355087.897
285531042.892,429941648.5,149031130.619,620474839.952,79589496.2849
86011654.0156,660207582.635,199932540.048,579732371.889,
416392063.983,511058267.268,86711277.9162,128326938.58,
318718766.799,1494810224.37,343112209.66,445299789.053,
211135220.301,865921907.394,98214596.869,491593053.093,
128214332.995,1019008781.15,427275648.952,368822260.669,
146813951.945,655066795.557,42191036.2371,607422782.142,
14834538.3375,820254194.31,76934742.1601,637883012.24,
4816743.56632,601364216.381,202940742.47,688023573.388,
303737562.305,173072108.108,135580233.326,738924045.269,
125324313.064,300658993.063,277752811.043,1078040620.85,
169513796.752,437965858.42,119567846.889,220303179.179,
156670655.67,483411423.404,-82313.2510906,90489054.3618,
173906532.27,250714732.48,36185047.0954,890309582.05,
97588089.8039,480762451.813,,417720635.21,
235669746.493,188547037.556,,1028093069.11,
10800415.7241,27780021.5002,,649640128.086,
16479620.1352,397677553.008,,1015643655.77,
174087129.008,237010072.548,,1344898966.97,
346843167.66,515269730.378,,315353861.773,
119810641.418,552099608.564,,742741900.9,
317599866.096,363512890.093,,296030810.236,
107472423.624,488343400.585,,675775090.114,
167845806.758,207903821.789,,161450009.849,
392880.884551,94704271.2928,,470517173.377,
93827987.5523,1033411313.78,,852449336.118,
51656628.9364,490420969.731,,792988970.678,
339729321.046,881765517.702,,1284148565.26,
27492622.5381,1112023011.78,,755535929.602,
551354948.294,79250182.876,,1276087285.68,
311893674.789,435804487.422,,186974274.557,
21435111.0403,469390305.306,,390761379.892,
106378059.189,905542594.473,,715801692.729,
195764531.831,633875490.205,,929727156.1,
867284720.172,190115414.438,,238414938.92,
23963164.0084,611378673.469,,419299021.839,
256953782.292,290852060.808,,331178878.572,
112683840.723,1006222078.71,,811458562.471,
249717403.377,909935320.082,,268555141.895,
13442163.6824,130318439.084,,467303523.339,
32952367.9012,258938365.066,,1375797506.8,
155129023.32,889884816.121,,561228717.834,
91847043.7578,343072940.428,,1367180978.76,
9265861.54316,996595957.504,,394812149.118,
99825772.3293,1040010432.05,,431689814.02,
-16241218.6989,299092284.453,,771134510.08,
630924347.733,263868708.295,,1855752236.7,
74260812.8703,126460751.419,,693057609.525,
166287178.669,265880446.788,,592396269.729,
178627815.637,284432982.286,,1779266022.26,
90822051.9649,776176258.071,,112560234.153,
358776823.476,847660655.536,,626399449.06,
25057544.4087,228147319.352,,545896187.241,
412396229.42,928047569.818,,484870826.764,
310731860.479,358356240.013,,603926473.255,
250989403.688,807791957.539,,469875302.332,
65075592.9842,656998960.786,,578187070.254,
81308230.2249,762961006.607,,695619247.904,
14574174.3944,438262379.646,,1316166269.26,
-18075789.0275,125168819.383,,920470667.902,
122050702.567,220124592.694,,277812173.61,
76005727.8018,701847463.489,,361509309.331,
78356205.7544,278449093.744,,1339099128.18,
399599953.713,285872228.87,,1485361963.25,
436767627.766,488741029.3,,887927512.288,
267871204.603,823984100.003,,359327578.356,
220563554.079,490917253.383,,381117616.001,
18908830.5795,1004912886.44,,256627164.653,
129933405.1,76636776.9485,,811769397.496,
-16109447.0087,82019899.8629,,635942476.379,
8846928.69431,235530531.386,,668608862.644,
43417583.1055,752434683.992,,533575294.57,
172436881.649,548468842.138,,394103863.357,
-5825820.09643,397666051.297,,478080380.355,
133128497.352,905912277.178,,833006281.881,
45452760.2745,199041639.623,,442599101.252,
377457507.373,182495460.653,,1413469676.67,
139913445.853,573815322.649,,626034951.663,
252679436.699,808913073.522,,212142575.33,
-30322106.7332,223101073.325,,398194506.69,
-11263181.8716,924860455.222,,543246028.164,
337755923.263,690370052.562,,1237914470.31,
36700706.2151,344823333.104,,464354433.495,
201692703.191,414540911.537,,317904448.268,
-29132301.1739,425355520.853,,1041692016.36,
137251424.808,278926176.398,,211091182.034,
11895739.2677,464649277.764,,210546913.096,
558309406.53,303332965.915,,464632136.175,
52680239.542,403752832.091,,391729714.894,
39068801.4656,124194876.475,,493432336.107,
483772412.898,63433458.8522,,518214473.769,
98194999.8654,670949135.062,,1083302226.93,
-7039384.08904,691027639.379,,609853715.395,
117924045.12,974368236.818,,744765743.447,
127072464.244,526863696.151,,1406491805.51,
147413065.841,379197070.306,,1659894581.61,
78189755.2688,419590053.428,,139674488.658,
-11518067.5058,257376601.918,,699097431.537,
200994125.764,767706759.352,,596777108.983,
130958734.424,709174429.333,,668308120.466,
493459.185397,564498837.831,,1553087083.99,
176618194.575,753454748.074,,619597631.546,
50111440.0496,920410696.248,,514196246.107,
454896413.768,398280224.865,,216755418.443,
47990267.6664,666011208.292,,398915112.533,
41755341.0739,152858762.097,,859910216.615,
6323506.28823,49902622.6655,,506933300.714,
59573432.1742,213486484.688,,992751902.208,
413487.681218,487589481.929,,740897966.294,
188121419.265,419956599.754,,,
296879358.365,634838298.375,,,
-8773081.41138,795055038.896,,,
380640360.99,170679307.878,,,
37933501.1042,991725435.062,,,
80003694.9936,643612998.663,,,
56449185.0976,89506756.8758,,,
102891759.288,166548721.607,,,
14974856.4369,348136256.103,,,
177606485.146,-14055868.2207,,,
262296478.317,527295277.735,,,
477895910.021,568746857.654,,,
19459966.9998,373590349.595,,,
142967464.862,139404881.913,,,
224384934.683,520770897.812,,,
386919822.04,548744425.393,,,
14693305.6106,122314832.15,,,
100382400.643,536056815.204,,,
568429093.515,734486585.993,,,
136083065.292,451897758.568,,,
87090573.6044,640328434.565,,,
456248352.474,776946780.679,,,
417364642.546,443063600.675,,,
171294981.404,860075396.48,,,
53942535.7231,678786478.344,,,
209802249.622,1015734289.49,,,
62479006.4501,300548041.715,,,
218838392.61,407401212.05,,,
210580944.508,660278536.629,,,
158783722.098,554132159.828,,,
-6971200.09828,1178273545.45,,,
283082317.953,489712260.062,,,
542202648.17,797210076.365,,,
183563015.268,55325072.2247,,,
71938508.5616,319421113.326,,,
1319390.26209,372670964.013,,,
211771012.615,293512103.518,,,
57393322.1442,548728003.979,,,
166520542.152,139630999.749,,,
384572085.991,472731506.189,,,
138372379.18,366315701.528,,,
38151293.7014,95933713.3102,,,
79680007.3078,950238671.642,,,
-27819833.0073,256752021.009,,,
69378299.6123,433618887.347,,,
45905758.9683,639296352.114,,,
-34844083.5314,852770024.178,,,
50263746.4865,56775516.6837,,,
186176766.541,747252657.733,,,
40536360.0317,76690504.7985,,,
145120719.119,485820295.02,,,
77880786.537,993400263.974,,,
115413472.988,1070917509.02,,,
476570058.537,612520321.896,,,
138337994.61,62647819.8124,,,
117497461.154,813463613.698,,,
162144712.261,1074269565.76,,,
330026031.372,706117828.516,,,
100111564.578,613164715.906,,,
506843368.104,795963870.126,,,
353055719.237,283643118.865,,,
51134889.9277,275774276.426,,,
211810745.383,296938593.804,,,
200718569.411,447565178.859,,,
36622211.3936,264248450.778,,,
536110954.645,43549893.6765,,,
390869663.858,402798413.061,,,
424281917.601,566204987.594,,,
382016741.611,1139945520.2,,,
56169873.4634,566366952.806,,,
305854310.302,434359692.626,,,
155257513.303,336082713.419,,,
316496540.366,220793281.892,,,
333706800.354,73250211.5523,,,
39862886.2947,242581501.846,,,
35818444.1576,300423873.768,,,
212199814.574,754097215.065,,,
97307097.9395,1057160278.05,,,
83999546.0353,-8528489.88399,,,
326600469.603,468477486.826,,,
92636905.5254,380879051.067,,,
155722488.751,693239302.439,,,
198802749.086,298753849.154,,,
225959831.326,761018490.73,,,
315160324.35,380618663.48,,,
9615044.36506,281141464.18,,,
164700691.5,189486337.563,,,
9611115.30743,1175463665.15,,,
