Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
278336255.533,117953116.028,262430517.077,696671725.126,61516405.2694
122660554.547,970808280.34,172363641.836,426008460.946,21571514.7866
26504427.5346,193110947.875,148778154.821,374132459.295,117663705.166
339641020.125,507739920.609,190190909.63,718135727.403,48952185.3053
162578123.787,490085016.303,318003127.021,370275655.84,224185054.734
29001363.8714,384059127.622,178336153.823,871084343.381,736589468.275
94085106.9581,524050262.054,432019793.147,624300509.98,66351605.6655
91298659.6194,189337681.943,563673603.026,259163732.638,603127995.088
86336283.7934,143500802.977,196744657.608,1160618146.19,
52156434.6491,979124495.38,-30237019.1751,174646333.233,
210719139.719,474013958.039,,617536896.762,
143847871.071,854568668.624,,698448947.561,
356921850.467,110952509.625,,765450461.406,
77896156.144,303421028.822,,231487518.845,
120181908.863,242439302.956,,886678867.995,
202981084.287,213475697.802,,283533398.006,
202809543.948,467420271.557,,586658173.705,
282595320.552,534968603.703,,397326765.276,
215480206.919,1368268708.73,,814998152.448,
302942093.325,792486293.57,,547548440.713,
369580371.111,602788000.374,,1263408554.79,
293407612.227,117170108.802,,1015925155.57,
243940158.625,820383217.13,,614573507.1,
170334523.401,728755962.727,,280052945.492,
-22632076.841,226109630.719,,515199195.359,
80648281.1971,151108840.015,,333439259.502,
76423049.9798,209026896.238,,1149204924.56,
29528634.9127,418869942.965,,780538633.904,
73178715.1664,952679121.307,,664681099.873,
115419528.695,543211908.671,,778528421.589,
73571123.5658,567708915.417,,891388328.834,
284533686.605,798192915.961,,698430037.181,
28081396.3129,677263710.205,,18844465.5983,
362297689.985,787135468.293,,803922433.926,
204081693.45,615225409.913,,722803740.782,
4605512.88507,899409725.627,,384319648.496,
60755627.5561,805485567.851,,337489718.136,
-30481616.5171,716371438.387,,1300597403.89,
20970684.9492,185903804.5,,,
124172866.21,869469140.552,,,
103372876.484,66149690.3406,,,
36988923.8679,703994184.69,,,
112068008.437,574401659.497,,,
165689632.346,294023999.241,,,
304600416.412,249840553.925,,,
140384613.649,245825077.652,,,
-26052605.3451,236133284.671,,,
-20012834.4232,674533978.151,,,
71017887.2128,706623173.266,,,
-5879666.71314,494906695.368,,,
171415267.55,350668117.787,,,
-52472503.8121,316670182.312,,,
48421154.3115,197595684.581,,,
105292288.654,444880052.443,,,
189542467.786,885011208.561,,,
40004626.2696,692323551.273,,,
110426423.503,183338683.31,,,
125212666.673,511635255.991,,,
159735846.094,495315262.893,,,
132246499.081,317126304.847,,,
352205894.538,454029284.114,,,
284268813.633,218557440.467,,,
59106087.8559,1162172228.96,,,
65454871.0526,497815067.676,,,
94518620.9174,240809052.536,,,
234816983.984,979329601.784,,,
339036043.355,901719907.262,,,
-24060185.7431,557550993.196,,,
338634678.378,454751434.307,,,
122273173.944,728810130.477,,,
250589983.368,462661815.748,,,
86711446.3579,758438944.544,,,
133431402.8,443293659.054,,,
-25579641.9828,741658574.267,,,
483759006.03,672998676.89,,,
119834700.595,211549234.646,,,
215263978.449,196324270.254,,,
185085800.407,347942571.91,,,
-14804165.8646,959994382.214,,,
316710485.879,361522773.229,,,
285117807.353,103133505.285,,,
210369302.04,263084019.117,,,
40676068.7908,817822497.86,,,
195464594.852,335879263.512,,,
5325644.26487,448612743.687,,,
77656663.04,1124019761.31,,,
-7056984.99583,490067419.928,,,
332983348.153,547797622.523,,,
4347436.43845,50871685.0887,,,
103440879.729,515912105.39,,,
72165542.9903,236202032.886,,,
176852728.941,195906482.289,,,
367505348.777,567971631.935,,,
138832499.769,1277179801.93,,,
28854487.3644,88747600.0937,,,
394094409.355,511762598.91,,,
292785332.872,82888745.2491,,,
48711830.3487,810909668.321,,,
60431357.8645,473816902.454,,,
253094602.125,285281793.708,,,
349454436.602,306073972.121,,,
76660757.1384,152299118.683,,,
-25721052.0537,160155927.959,,,
202671066.643,740360307.777,,,
126202128.916,1362254682.15,,,
159504534.015,510432018.673,,,
14058097.4288,167466365.015,,,
49021521.4906,174766546.486,,,
5631762.7867,336151249.888,,,
19742702.4816,474492943.282,,,
48637477.219,194877083.729,,,
,135055691.613,,,
,968130406.731,,,
,556596505.773,,,
,379601524.301,,,
,1040115848.24,,,
