Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
149901986.189,252289761.191,-6880837.53447,49615763.994,100704033.559
104815590.022,502137241.331,741302942.075,407329755.245,384379875.663
297922199.38,376587032.628,899841.153281,1164730534.8,282823712.789
477437525.568,666954576.342,134997071.785,662519587.693,95348304.0333
125583467.718,232046192.162,394057072.386,1323592320.35,57408999.9333
224507334.003,849700644.746,129203410.198,660087794.001,333909359.26
172473803.786,974513579.027,19385465.6954,1563389220.55,337723352.137
129205407.657,299110934.334,-18458932.5825,699550937.467,483435675.535
533976503.482,532553852.806,22426417.5704,826382692.982,
436418579.364,460318176.868,8288523.0154,351873486.04,
20666746.4385,385042956.869,,347622290.617,
63342478.3791,915484325.561,,316105536.333,
231848987.905,799828717.449,,199805202.518,
27148453.3993,492539841.471,,98535931.1936,
177749389.125,820322045.138,,587299640.298,
190448631.548,216762418.628,,474159741.097,
268588344.536,330711418.073,,282261189.655,
230408753.934,587980020.192,,456121177.297,
98899896.1764,59871075.8416,,287667038.64,
111918782.152,709050756.008,,571973875.7,
14352955.8774,595275633.051,,665686252.084,
18483766.1294,722408855.636,,663529366.903,
37747289.915,274740568.455,,561994428.893,
181343696.956,1015360405.75,,759016338.258,
103692380.013,1102702270.82,,1303956054.33,
68660395.5132,483680443.058,,719027310.848,
40574945.4861,215212376.323,,872201446.232,
542921738.144,222708009.401,,188728207.559,
250009747.315,890064997.508,,517105512.835,
19011513.0075,680753730.311,,1072862658.43,
87833435.718,35406139.1174,,412804750.73,
89224514.2982,788932128.23,,652407958.701,
74115627.2183,281865816.929,,666677293.917,
-42022170.9022,127749166.552,,259350018.13,
133181898.285,438964958.277,,668165282.032,
134770847.473,1036756612.39,,1205566019.08,
98613442.7517,537831355.039,,304670023.372,
323037447.613,426125519.438,,122126766.071,
85061283.0691,153326025.438,,,
351410040.697,589239979.762,,,
654598319.458,530277180.563,,,
172539661.374,945954894.026,,,
405468875.796,437531018.222,,,
142548647.35,269967325.623,,,
408461659.581,149634442.019,,,
-490509.814647,333787372.894,,,
136563360.394,99552585.9837,,,
18174302.0737,304711744.282,,,
47340983.5355,289070273.376,,,
261175250.67,772530609.769,,,
100896892.293,-31073571.0937,,,
130034161.699,587191958.644,,,
-11922867.1791,1537371.05892,,,
89190788.6539,415634511.76,,,
12309256.8989,221307799.228,,,
107872656.233,1340612664.2,,,
44411005.5679,432808796.026,,,
116714920.165,491053463.471,,,
103045125.92,125892986.612,,,
26831879.4774,402999634.553,,,
35013991.9149,435863837.266,,,
39029933.8136,326855684.909,,,
178999666.269,518851610.631,,,
3615181.37728,618560814.461,,,
32183368.3527,303423018.724,,,
95251452.2159,238888745.947,,,
143088890.293,195861412.805,,,
114622756.033,562517809.854,,,
29106261.3486,233883273.599,,,
89797045.409,305612990.4,,,
16516678.5443,1090126920.7,,,
69614533.8531,985876591.493,,,
43812985.6046,43566389.2006,,,
84471108.8712,708530490.705,,,
98343348.7491,67179502.3526,,,
59333244.1029,398039252.48,,,
44151788.1315,163060219.691,,,
108390294.782,422426567.056,,,
194452919.823,1087729030.39,,,
-6257300.21284,81634563.8316,,,
3195150.64014,1528343856.54,,,
93108575.8457,880728354.597,,,
181283053.018,173872694.666,,,
-38140536.3032,33553264.7697,,,
667530394.509,143709094.902,,,
1395342.10752,29979995.2722,,,
49373223.0201,40845494.5764,,,
50560007.6428,513415338.061,,,
153803586.215,524517076.583,,,
105105628.513,20530470.8364,,,
122370765.015,497479124.83,,,
493907790.911,379515852.882,,,
72676681.7056,156762209.149,,,
144381047.09,894130652.196,,,
24628862.5984,434675746.811,,,
204606126.828,396879563.742,,,
279440389.642,371021346.916,,,
56126756.8715,1435634529.79,,,
413283782.094,614874752.621,,,
-17565953.1468,38302135.5773,,,
136652245.042,677245898.827,,,
191564996.223,184525939.646,,,
464996248.464,724808647.354,,,
216547745.309,61307499.984,,,
131099580.418,201908741.487,,,
130642439.965,280963233.342,,,
101900255.556,277253353.249,,,
71786082.606,76725889.431,,,
108762931.923,562490451.428,,,
79483332.5362,219653025.219,,,
77858226.0196,78277124.7159,,,
,742213816.862,,,
,96988979.8738,,,
,462484193.966,,,
,855160378.917,,,
,133507513.128,,,
